case,input_width,output_width,num_inputs,unique_outputs,constant_bits,support_min,support_max,support_avg,support_masks,run_count_min,run_count_max,run_count_avg,anf_degree_max,anf_terms_total,anf_terms_max_bit,word_best_pattern,word_best_matches,word_best_fraction,equiv_best_pattern,equiv_best_matches,equiv_best_fraction,symmetry_best,symmetry_best_matches,symmetry_best_fraction,split_best_variant,split_best_exceptions,split_best_fraction,split_best_full_default_groups,bdd_best_order,bdd_best_nodes,bdd_status,current_frontend_adp,current_frontend_ratio,current_frontend_candidate,current_project_best_adp,current_project_ratio,current_project_candidate,reference_adp,reference_area,reference_delay,hypothesis,next_action
ex290,12,12,4096,1340,,12,12,12.000,0:1:2:3:4:5:6:7:8:9:10:11;0:1:2:3:4:5:6:7:8:9:10:11;0:1:2:3:4:5:6:7:8:9:10:11;0:1:2:3:4:5:6:7:8:9:10:11;0:1:2:3:4:5:6:7:8:9:10:11;0:1:2:3:4:5:6:7:8:9:10:11;0:1:2:3:4:5:6:7:8:9:10:11;0:1:2:3:4:5:6:7:8:9:10:11;0:1:2:3:4:5:6:7:8:9:10:11;0:1:2:3:4:5:6:7:8:9:10:11;0:1:2:3:4:5:6:7:8:9:10:11;0:1:2:3:4:5:6:7:8:9:10:11,1774,2022,1839.667,12,18188,1799,ones,120,0.029297,rotl_input_invariant_6,98,0.023926,swap_in_4_5,2132,0.520508,rotate4_low11,1768,0.431641,280,interleave,2310,ok,71744,1.694954,ex290_unknown_12x12_rotate_high_split_default,71744,1.694954,ex290_unknown_12x12_rotate_high_split_default,42328,3256,13,non-half split/default structure,generate arbitrary-width split/default RTL around this cut and compare against old half split
ex291,13,13,8192,2490,,13,13,13.000,0:1:2:3:4:5:6:7:8:9:10:11:12;0:1:2:3:4:5:6:7:8:9:10:11:12;0:1:2:3:4:5:6:7:8:9:10:11:12;0:1:2:3:4:5:6:7:8:9:10:11:12;0:1:2:3:4:5:6:7:8:9:10:11:12;0:1:2:3:4:5:6:7:8:9:10:11:12;0:1:2:3:4:5:6:7:8:9:10:11:12;0:1:2:3:4:5:6:7:8:9:10:11:12;0:1:2:3:4:5:6:7:8:9:10:11:12;0:1:2:3:4:5:6:7:8:9:10:11:12;0:1:2:3:4:5:6:7:8:9:10:11:12;0:1:2:3:4:5:6:7:8:9:10:11:12;0:1:2:3:4:5:6:7:8:9:10:11:12,3462,3970,3704.923,12,32915,3401,ones,150,0.018311,rotl_equiv_4,125,0.015259,swap_in_4_7,4310,0.526123,rotate8_low12,3456,0.421875,640,interleave,3083,ok,105984,1.585400,ex291_unknown_13x13_rotate_high_split_default,105984,1.585400,ex291_unknown_13x13_rotate_high_split_default,66850,4775,14,non-half split/default structure,generate arbitrary-width split/default RTL around this cut and compare against old half split
ex292,14,14,16384,4695,,14,14,14.000,0:1:2:3:4:5:6:7:8:9:10:11:12:13;0:1:2:3:4:5:6:7:8:9:10:11:12:13;0:1:2:3:4:5:6:7:8:9:10:11:12:13;0:1:2:3:4:5:6:7:8:9:10:11:12:13;0:1:2:3:4:5:6:7:8:9:10:11:12:13;0:1:2:3:4:5:6:7:8:9:10:11:12:13;0:1:2:3:4:5:6:7:8:9:10:11:12:13;0:1:2:3:4:5:6:7:8:9:10:11:12:13;0:1:2:3:4:5:6:7:8:9:10:11:12:13;0:1:2:3:4:5:6:7:8:9:10:11:12:13;0:1:2:3:4:5:6:7:8:9:10:11:12:13;0:1:2:3:4:5:6:7:8:9:10:11:12:13;0:1:2:3:4:5:6:7:8:9:10:11:12:13;0:1:2:3:4:5:6:7:8:9:10:11:12:13,6786,7868,7303.000,12,55694,5683,ones,197,0.012024,rotl_equiv_10,268,0.016357,swap_in_5_7,8580,0.523682,rotate4_low13,7024,0.428711,1168,interleave,3807,ok,168300,1.983407,ex292_unknown_14x14_rotate_high_split_default,168300,1.983407,ex292_unknown_14x14_rotate_high_split_default,84854,6061,14,non-half split/default structure,generate arbitrary-width split/default RTL around this cut and compare against old half split
ex293,15,15,32768,8548,,15,15,15.000,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,13666,15534,14569.467,11,81375,7929,ones,476,0.014526,rotl_equiv_1,1442,0.044006,swap_in_5_10,17450,0.532532,rotate10_low14,14176,0.432617,2208,interleave,4759,ok,146844,1.299896,ex293_unknown_15x15_rotate_low_split_default,146844,1.299896,ex293_unknown_15x15_rotate_low_split_default,112966,8069,14,non-half split/default structure,generate arbitrary-width split/default RTL around this cut and compare against old half split
ex294,16,16,65536,15966,,16,16,16.000,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,27938,30398,29032.500,12,110192,9519,ones,496,0.007568,rotl_equiv_12,746,0.011383,swap_in_7_8,34068,0.519836,rotate8_low15,27648,0.421875,5120,interleave,6020,ok,349258,2.618813,ex294_unknown_16x16_rotate_high_split_default,349258,2.618813,ex294_unknown_16x16_rotate_high_split_default,133365,8891,15,non-half split/default structure,generate arbitrary-width split/default RTL around this cut and compare against old half split
ex295,12,12,4096,1838,,12,12,12.000,0:1:2:3:4:5:6:7:8:9:10:11;0:1:2:3:4:5:6:7:8:9:10:11;0:1:2:3:4:5:6:7:8:9:10:11;0:1:2:3:4:5:6:7:8:9:10:11;0:1:2:3:4:5:6:7:8:9:10:11;0:1:2:3:4:5:6:7:8:9:10:11;0:1:2:3:4:5:6:7:8:9:10:11;0:1:2:3:4:5:6:7:8:9:10:11;0:1:2:3:4:5:6:7:8:9:10:11;0:1:2:3:4:5:6:7:8:9:10:11;0:1:2:3:4:5:6:7:8:9:10:11;0:1:2:3:4:5:6:7:8:9:10:11,1737,2237,1948.500,12,21516,1838,input,277,0.067627,rotl_equiv_10,4096,1.000000,swap_in_1_5,2110,0.515137,rotate0_low11,1826,0.445801,222,center,5265,ok,156456,2.298660,ex295_unknown_12x12_low_split_default,156456,2.298660,ex295_unknown_12x12_low_split_default,68064,2127,32,rotation/reversal equivariant classifier,write shared canonical class predicate plus rotated output reconstruction
ex296,13,13,8192,2292,out[12]=0,0,13,12.000,0:1:2:3:4:5:6:7:8:9:10:11:12;0:1:2:3:4:5:6:7:8:9:10:11:12;0:1:2:3:4:5:6:7:8:9:10:11:12;0:1:2:3:4:5:6:7:8:9:10:11:12;0:1:2:3:4:5:6:7:8:9:10:11:12;0:1:2:3:4:5:6:7:8:9:10:11:12;0:1:2:3:4:5:6:7:8:9:10:11:12;0:1:2:3:4:5:6:7:8:9:10:11:12;0:1:2:3:4:5:6:7:8:9:10:11:12;0:1:2:3:4:5:6:7:8:9:10:11:12;0:1:2:3:4:5:6:7:8:9:10:11:12;0:1:2:3:4:5:6:7:8:9:10:11:12;,1,4859,2592.692,13,31458,3072,input,269,0.032837,rotl_equiv_11,899,0.109741,swap_in_1_3,4680,0.571289,rotate11_low12,2568,0.313477,1528,reverse,5462,ok,153544,1.476030,ex296_unknown_13x13_high_split_default,153544,1.476030,ex296_unknown_13x13_high_split_default,104025,6935,15,selected-bit or support-limited LUT decomposition,emit exact selected-bit overrides for low-support bits and keep current structural base for the rest
ex297,14,14,16384,6660,,14,14,14.000,0:1:2:3:4:5:6:7:8:9:10:11:12:13;0:1:2:3:4:5:6:7:8:9:10:11:12:13;0:1:2:3:4:5:6:7:8:9:10:11:12:13;0:1:2:3:4:5:6:7:8:9:10:11:12:13;0:1:2:3:4:5:6:7:8:9:10:11:12:13;0:1:2:3:4:5:6:7:8:9:10:11:12:13;0:1:2:3:4:5:6:7:8:9:10:11:12:13;0:1:2:3:4:5:6:7:8:9:10:11:12:13;0:1:2:3:4:5:6:7:8:9:10:11:12:13;0:1:2:3:4:5:6:7:8:9:10:11:12:13;0:1:2:3:4:5:6:7:8:9:10:11:12:13;0:1:2:3:4:5:6:7:8:9:10:11:12:13;0:1:2:3:4:5:6:7:8:9:10:11:12:13;0:1:2:3:4:5:6:7:8:9:10:11:12:13,6495,9203,7507.714,14,103236,7394,input,479,0.029236,rotl_equiv_10,16384,1.000000,swap_in_1_11,8420,0.513916,rotate0_low13,7343,0.448181,849,natural,20187,ok,683613,3.026175,ex297_unknown_14x14_low_split_default,683613,3.026175,ex297_unknown_14x14_low_split_default,225900,6275,36,rotation/reversal equivariant classifier,write shared canonical class predicate plus rotated output reconstruction
ex298,15,15,32768,8219,out[14]=0,0,15,14.000,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14;,1,19565,10267.267,15,147354,12536,input,784,0.023926,rotl_equiv_13,3307,0.100922,swap_in_1_3,19012,0.580200,rotate13_low14,10131,0.309174,6253,interleave,18693,ok,683700,1.545797,ex298_unknown_15x15_rotate_high_split_default,683700,1.545797,ex298_unknown_15x15_rotate_high_split_default,442296,24572,18,selected-bit or support-limited LUT decomposition,emit exact selected-bit overrides for low-support bits and keep current structural base for the rest
ex299,16,16,65536,24485,,16,16,16.000,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15;0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,23891,37699,29409.750,15,479360,30086,input,1155,0.017624,rotl_equiv_10,65536,1.000000,swap_in_11_13,33504,0.511230,rotate0_low15,29509,0.450272,3259,natural,72177,ok,2851392,2.812559,ex299_unknown_16x16_high_split_default,2851392,2.812559,ex299_unknown_16x16_high_split_default,1013807,24727,41,rotation/reversal equivariant classifier,write shared canonical class predicate plus rotated output reconstruction
