case,kind,pattern,matches,fraction
ex280,word,ones,53,0.012939
ex280,word,rotl_11,50,0.012207
ex280,word,rotr_1,50,0.012207
ex280,word,zero,31,0.007568
ex280,word,rotl_9,28,0.006836
ex280,word,rotr_3,28,0.006836
ex280,word,bit_reverse,23,0.005615
ex280,word,rotl_5,12,0.002930
ex280,word,rotr_7,12,0.002930
ex280,word,rotl_1,8,0.001953
ex280,equivariance,rotl_equiv_6,359,0.087646
ex280,equivariance,complement_equiv,130,0.031738
ex280,equivariance,rotl_input_invariant_6,126,0.030762
ex280,equivariance,rotl_equiv_1,105,0.025635
ex280,equivariance,rotl_equiv_11,105,0.025635
ex280,equivariance,rotl_equiv_3,98,0.023926
ex280,equivariance,rotl_equiv_9,98,0.023926
ex280,equivariance,rotl_equiv_5,89,0.021729
ex280,equivariance,rotl_equiv_7,89,0.021729
ex280,equivariance,bit_reverse_equiv,73,0.017822
ex280,symmetry,swap_in_10_11,2408,0.587891
ex280,symmetry,swap_in_9_10,2400,0.585938
ex280,symmetry,swap_in_6_8,2376,0.580078
ex280,symmetry,swap_in_3_4,2372,0.579102
ex280,symmetry,swap_in_8_9,2372,0.579102
ex280,symmetry,swap_in_2_3,2370,0.578613
ex280,symmetry,swap_in_1_2,2368,0.578125
ex280,symmetry,swap_in_7_8,2356,0.575195
ex280,symmetry,swap_in_4_5,2304,0.562500
ex280,symmetry,swap_in_7_9,2276,0.555664
ex281,word,ones,76,0.009277
ex281,word,rotl_12,48,0.005859
ex281,word,rotr_1,48,0.005859
ex281,word,zero,35,0.004272
ex281,word,bit_reverse,19,0.002319
ex281,word,rotl_10,17,0.002075
ex281,word,rotr_3,17,0.002075
ex281,word,rotl_3,6,0.000732
ex281,word,rotl_4,6,0.000732
ex281,word,rotl_8,6,0.000732
ex281,equivariance,rotl_equiv_1,136,0.016602
ex281,equivariance,rotl_equiv_12,136,0.016602
ex281,equivariance,rotl_equiv_11,105,0.012817
ex281,equivariance,rotl_equiv_2,105,0.012817
ex281,equivariance,rotl_equiv_6,103,0.012573
ex281,equivariance,rotl_equiv_7,103,0.012573
ex281,equivariance,rotl_equiv_10,100,0.012207
ex281,equivariance,rotl_equiv_3,100,0.012207
ex281,equivariance,rotl_equiv_4,96,0.011719
ex281,equivariance,rotl_equiv_9,96,0.011719
ex281,symmetry,swap_in_5_6,5304,0.647461
ex281,symmetry,swap_in_7_8,4936,0.602539
ex281,symmetry,swap_in_8_9,4880,0.595703
ex281,symmetry,swap_in_11_12,4816,0.587891
ex281,symmetry,swap_in_4_5,4812,0.587402
ex281,symmetry,swap_in_9_10,4806,0.586670
ex281,symmetry,swap_in_10_11,4796,0.585449
ex281,symmetry,swap_in_3_4,4778,0.583252
ex281,symmetry,swap_in_2_3,4764,0.581543
ex281,symmetry,swap_in_1_2,4740,0.578613
ex282,word,ones,108,0.006592
ex282,word,rotl_13,83,0.005066
ex282,word,rotr_1,83,0.005066
ex282,word,zero,42,0.002563
ex282,word,rotl_11,39,0.002380
ex282,word,rotr_3,39,0.002380
ex282,word,bit_reverse,37,0.002258
ex282,word,rotl_5,15,0.000916
ex282,word,rotr_9,15,0.000916
ex282,word,rotl_1,11,0.000671
ex282,equivariance,rotl_equiv_7,1248,0.076172
ex282,equivariance,complement_equiv,334,0.020386
ex282,equivariance,rotl_equiv_1,257,0.015686
ex282,equivariance,rotl_equiv_13,257,0.015686
ex282,equivariance,rotl_input_invariant_7,236,0.014404
ex282,equivariance,rotl_equiv_6,182,0.011108
ex282,equivariance,rotl_equiv_8,182,0.011108
ex282,equivariance,rotl_equiv_11,178,0.010864
ex282,equivariance,rotl_equiv_3,178,0.010864
ex282,equivariance,rotl_equiv_12,155,0.009460
ex282,symmetry,swap_in_12_13,9616,0.586914
ex282,symmetry,swap_in_11_12,9568,0.583984
ex282,symmetry,swap_in_3_4,9516,0.580811
ex282,symmetry,swap_in_9_10,9496,0.579590
ex282,symmetry,swap_in_7_9,9488,0.579102
ex282,symmetry,swap_in_2_3,9484,0.578857
ex282,symmetry,swap_in_4_5,9480,0.578613
ex282,symmetry,swap_in_10_11,9472,0.578125
ex282,symmetry,swap_in_1_2,9472,0.578125
ex282,symmetry,swap_in_8_9,9416,0.574707
ex283,word,ones,176,0.005371
ex283,word,rotl_14,78,0.002380
ex283,word,rotr_1,78,0.002380
ex283,word,zero,47,0.001434
ex283,word,bit_reverse,28,0.000854
ex283,word,rotl_12,27,0.000824
ex283,word,rotr_3,27,0.000824
ex283,word,neg_input,6,0.000183
ex283,word,rotl_1,6,0.000183
ex283,word,rotl_10,6,0.000183
ex283,equivariance,rotl_equiv_1,342,0.010437
ex283,equivariance,rotl_equiv_14,342,0.010437
ex283,equivariance,rotl_equiv_13,238,0.007263
ex283,equivariance,rotl_equiv_2,238,0.007263
ex283,equivariance,rotl_equiv_7,233,0.007111
ex283,equivariance,rotl_equiv_8,233,0.007111
ex283,equivariance,rotl_equiv_12,232,0.007080
ex283,equivariance,rotl_equiv_3,232,0.007080
ex283,equivariance,rotl_equiv_6,217,0.006622
ex283,equivariance,rotl_equiv_9,217,0.006622
ex283,symmetry,swap_in_6_7,21232,0.647949
ex283,symmetry,swap_in_8_9,19728,0.602051
ex283,symmetry,swap_in_9_10,19488,0.594727
ex283,symmetry,swap_in_5_6,19256,0.587646
ex283,symmetry,swap_in_13_14,19226,0.586731
ex283,symmetry,swap_in_10_11,19220,0.586548
ex283,symmetry,swap_in_12_13,19122,0.583557
ex283,symmetry,swap_in_4_5,19100,0.582886
ex283,symmetry,swap_in_3_4,19088,0.582520
ex283,symmetry,swap_in_11_12,19014,0.580261
ex284,word,ones,204,0.003113
ex284,word,rotl_15,144,0.002197
ex284,word,rotr_1,144,0.002197
ex284,word,rotl_13,65,0.000992
ex284,word,rotr_3,65,0.000992
ex284,word,zero,55,0.000839
ex284,word,bit_reverse,54,0.000824
ex284,word,rotl_7,16,0.000244
ex284,word,rotr_9,16,0.000244
ex284,word,rotl_1,11,0.000168
ex284,equivariance,rotl_equiv_8,4642,0.070831
ex284,equivariance,rotl_equiv_1,607,0.009262
ex284,equivariance,rotl_equiv_15,607,0.009262
ex284,equivariance,rotl_input_invariant_8,564,0.008606
ex284,equivariance,complement_equiv,536,0.008179
ex284,equivariance,rotl_equiv_13,420,0.006409
ex284,equivariance,rotl_equiv_3,420,0.006409
ex284,equivariance,rotl_equiv_12,406,0.006195
ex284,equivariance,rotl_equiv_4,406,0.006195
ex284,equivariance,rotl_equiv_7,402,0.006134
ex284,symmetry,swap_in_14_15,38432,0.586426
ex284,symmetry,swap_in_13_14,38208,0.583008
ex284,symmetry,swap_in_3_4,38120,0.581665
ex284,symmetry,swap_in_4_5,38008,0.579956
ex284,symmetry,swap_in_10_11,38000,0.579834
ex284,symmetry,swap_in_11_12,37952,0.579102
ex284,symmetry,swap_in_2_3,37944,0.578979
ex284,symmetry,swap_in_8_10,37920,0.578613
ex284,symmetry,swap_in_5_6,37904,0.578369
ex284,symmetry,swap_in_1_2,37888,0.578125
ex285,word,input,75,0.018311
ex285,word,bit_reverse,67,0.016357
ex285,word,rotl_4,62,0.015137
ex285,word,rotr_8,62,0.015137
ex285,word,rotl_1,43,0.010498
ex285,word,rotr_11,43,0.010498
ex285,word,rotl_2,41,0.010010
ex285,word,rotr_10,41,0.010010
ex285,word,rotl_3,35,0.008545
ex285,word,rotr_9,35,0.008545
ex285,equivariance,rotl_equiv_4,286,0.069824
ex285,equivariance,rotl_equiv_8,286,0.069824
ex285,equivariance,rotl_input_invariant_4,232,0.056641
ex285,equivariance,rotl_input_invariant_8,232,0.056641
ex285,equivariance,complement_input_invariant,228,0.055664
ex285,equivariance,rotl_equiv_6,168,0.041016
ex285,equivariance,rotl_equiv_10,162,0.039551
ex285,equivariance,rotl_equiv_2,162,0.039551
ex285,equivariance,rotl_input_invariant_6,148,0.036133
ex285,equivariance,rotl_input_invariant_10,133,0.032471
ex285,symmetry,swap_in_4_5,4096,1.000000
ex285,symmetry,swap_in_6_7,4096,1.000000
ex285,symmetry,swap_in_2_6,2432,0.593750
ex285,symmetry,swap_in_2_7,2432,0.593750
ex285,symmetry,swap_in_6_11,2204,0.538086
ex285,symmetry,swap_in_7_11,2204,0.538086
ex285,symmetry,swap_in_9_10,2184,0.533203
ex285,symmetry,swap_in_2_11,2132,0.520508
ex285,symmetry,swap_in_3_10,2132,0.520508
ex285,symmetry,swap_in_10_11,2128,0.519531
ex286,word,input,82,0.010010
ex286,word,bit_reverse,57,0.006958
ex286,word,rotl_5,50,0.006104
ex286,word,rotr_8,50,0.006104
ex286,word,rotl_1,40,0.004883
ex286,word,rotr_12,40,0.004883
ex286,word,rotl_4,39,0.004761
ex286,word,rotr_9,39,0.004761
ex286,word,rotl_2,37,0.004517
ex286,word,rotr_11,37,0.004517
ex286,equivariance,rotl_input_invariant_11,111,0.013550
ex286,equivariance,rotl_input_invariant_2,111,0.013550
ex286,equivariance,rotl_input_invariant_4,84,0.010254
ex286,equivariance,rotl_input_invariant_9,84,0.010254
ex286,equivariance,bit_reverse_equiv,62,0.007568
ex286,equivariance,rotl_input_invariant_6,60,0.007324
ex286,equivariance,rotl_input_invariant_7,60,0.007324
ex286,equivariance,rotl_equiv_11,57,0.006958
ex286,equivariance,rotl_equiv_2,57,0.006958
ex286,equivariance,rotl_input_invariant_5,51,0.006226
ex286,symmetry,swap_in_4_5,8192,1.000000
ex286,symmetry,swap_in_6_7,8192,1.000000
ex286,symmetry,swap_in_2_6,4480,0.546875
ex286,symmetry,swap_in_2_7,4480,0.546875
ex286,symmetry,swap_in_8_10,4384,0.535156
ex286,symmetry,swap_in_6_12,4266,0.520752
ex286,symmetry,swap_in_7_12,4266,0.520752
ex286,symmetry,swap_in_10_11,4232,0.516602
ex286,symmetry,swap_in_2_3,4232,0.516602
ex286,symmetry,swap_in_4_12,4216,0.514648
ex287,word,input,107,0.006531
ex287,word,rotl_6,75,0.004578
ex287,word,rotr_8,75,0.004578
ex287,word,rotl_1,74,0.004517
ex287,word,rotr_13,74,0.004517
ex287,word,bit_reverse,57,0.003479
ex287,word,rotl_13,49,0.002991
ex287,word,rotr_1,49,0.002991
ex287,word,rotl_2,48,0.002930
ex287,word,rotr_12,48,0.002930
ex287,equivariance,complement_input_invariant,456,0.027832
ex287,equivariance,rotl_equiv_12,389,0.023743
ex287,equivariance,rotl_equiv_2,389,0.023743
ex287,equivariance,rotl_equiv_10,368,0.022461
ex287,equivariance,rotl_equiv_4,368,0.022461
ex287,equivariance,rotl_equiv_6,300,0.018311
ex287,equivariance,rotl_equiv_8,300,0.018311
ex287,equivariance,rotl_input_invariant_10,289,0.017639
ex287,equivariance,rotl_input_invariant_12,289,0.017639
ex287,equivariance,rotl_input_invariant_2,289,0.017639
ex287,symmetry,swap_in_4_5,16384,1.000000
ex287,symmetry,swap_in_6_7,16384,1.000000
ex287,symmetry,swap_in_8_9,16384,1.000000
ex287,symmetry,swap_in_2_6,8768,0.535156
ex287,symmetry,swap_in_2_7,8768,0.535156
ex287,symmetry,swap_in_8_11,8768,0.535156
ex287,symmetry,swap_in_9_11,8768,0.535156
ex287,symmetry,swap_in_6_13,8498,0.518677
ex287,symmetry,swap_in_7_13,8498,0.518677
ex287,symmetry,swap_in_2_3,8460,0.516357
ex288,word,input,138,0.004211
ex288,word,rotl_7,117,0.003571
ex288,word,rotr_8,117,0.003571
ex288,word,bit_reverse,95,0.002899
ex288,word,rotl_1,64,0.001953
ex288,word,rotr_14,64,0.001953
ex288,word,rotl_3,47,0.001434
ex288,word,rotr_12,47,0.001434
ex288,word,rotl_4,43,0.001312
ex288,word,rotr_11,43,0.001312
ex288,equivariance,rotl_input_invariant_13,222,0.006775
ex288,equivariance,rotl_input_invariant_2,222,0.006775
ex288,equivariance,rotl_input_invariant_11,212,0.006470
ex288,equivariance,rotl_input_invariant_4,212,0.006470
ex288,equivariance,rotl_input_invariant_7,190,0.005798
ex288,equivariance,rotl_input_invariant_8,190,0.005798
ex288,equivariance,rotl_equiv_13,134,0.004089
ex288,equivariance,rotl_equiv_2,134,0.004089
ex288,equivariance,bit_reverse_equiv,127,0.003876
ex288,equivariance,rotl_input_invariant_6,122,0.003723
ex288,symmetry,swap_in_4_5,32768,1.000000
ex288,symmetry,swap_in_6_7,32768,1.000000
ex288,symmetry,swap_in_8_9,32768,1.000000
ex288,symmetry,swap_in_2_6,16952,0.517334
ex288,symmetry,swap_in_2_7,16952,0.517334
ex288,symmetry,swap_in_6_14,16832,0.513672
ex288,symmetry,swap_in_7_14,16832,0.513672
ex288,symmetry,swap_in_12_13,16792,0.512451
ex288,symmetry,swap_in_2_3,16780,0.512085
ex288,symmetry,swap_in_3_10,16744,0.510986
ex289,word,bit_reverse,162,0.002472
ex289,word,input,162,0.002472
ex289,word,rotl_1,127,0.001938
ex289,word,rotr_15,127,0.001938
ex289,word,rotl_7,124,0.001892
ex289,word,rotr_9,124,0.001892
ex289,word,rotl_12,118,0.001801
ex289,word,rotl_15,118,0.001801
ex289,word,rotr_1,118,0.001801
ex289,word,rotr_4,118,0.001801
ex289,equivariance,rotl_input_invariant_8,3816,0.058228
ex289,equivariance,rotl_equiv_8,3198,0.048798
ex289,equivariance,rotl_input_invariant_12,2500,0.038147
ex289,equivariance,rotl_input_invariant_4,2500,0.038147
ex289,equivariance,rotl_equiv_12,2246,0.034271
ex289,equivariance,rotl_equiv_4,2246,0.034271
ex289,equivariance,complement_input_invariant,1606,0.024506
ex289,equivariance,bit_reverse_equiv,1202,0.018341
ex289,equivariance,rotl_equiv_14,1155,0.017624
ex289,equivariance,rotl_equiv_2,1155,0.017624
ex289,symmetry,swap_in_10_11,65536,1.000000
ex289,symmetry,swap_in_4_5,65536,1.000000
ex289,symmetry,swap_in_6_7,65536,1.000000
ex289,symmetry,swap_in_8_9,65536,1.000000
ex289,symmetry,swap_in_10_14,33680,0.513916
ex289,symmetry,swap_in_11_14,33680,0.513916
ex289,symmetry,swap_in_2_6,33680,0.513916
ex289,symmetry,swap_in_2_7,33680,0.513916
ex289,symmetry,swap_in_6_15,33680,0.513916
ex289,symmetry,swap_in_7_15,33680,0.513916
ex290,word,ones,120,0.029297
ex290,word,zero,13,0.003174
ex290,word,input_plus_one,10,0.002441
ex290,word,rotl_4,6,0.001465
ex290,word,rotl_6,6,0.001465
ex290,word,rotr_6,6,0.001465
ex290,word,rotr_8,6,0.001465
ex290,word,input,5,0.001221
ex290,word,rotl_9,5,0.001221
ex290,word,rotr_3,5,0.001221
ex290,equivariance,rotl_input_invariant_6,98,0.023926
ex290,equivariance,rotl_equiv_6,90,0.021973
