case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex276,ex276_isqrt_prefix6_ge_bitwise_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix6_ge_bitwise+wreduce_abc_g_aig,student/work/ex276_frontend_isqrt_prefix6_tree_20260609_1656/ex276/verilog/ex276_isqrt_prefix6_ge_bitwise.v,student/work/ex276_frontend_isqrt_prefix6_tree_20260609_1656/ex276/aigs/ex276_isqrt_prefix6_ge_bitwise_wreduce_abc_g_aig.aig,1,1,1,149,9,1341,632,2.121835,0,0,0.298,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix6_ge_bitwise; flow=wreduce_abc_g_aig
ex276,ex276_isqrt_prefix6_ge_bitwise_arith_wreduce_aig,unsigned_floor_isqrt,prefix6_ge_bitwise+arith_wreduce_aig,student/work/ex276_frontend_isqrt_prefix6_tree_20260609_1656/ex276/verilog/ex276_isqrt_prefix6_ge_bitwise.v,student/work/ex276_frontend_isqrt_prefix6_tree_20260609_1656/ex276/aigs/ex276_isqrt_prefix6_ge_bitwise_arith_wreduce_aig.aig,1,1,1,151,10,1510,632,2.389241,0,0,0.334,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix6_ge_bitwise; flow=arith_wreduce_aig
ex276,ex276_isqrt_prefix6_ge_bitwise_synth_preset,unsigned_floor_isqrt,prefix6_ge_bitwise+synth_preset,student/work/ex276_frontend_isqrt_prefix6_tree_20260609_1656/ex276/verilog/ex276_isqrt_prefix6_ge_bitwise.v,student/work/ex276_frontend_isqrt_prefix6_tree_20260609_1656/ex276/aigs/ex276_isqrt_prefix6_ge_bitwise_synth_preset.aig,1,1,1,148,11,1628,632,2.575949,0,0,0.386,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix6_ge_bitwise; flow=synth_preset
ex276,ex276_isqrt_prefix6_ge_bitwise_synth_preset_d6,unsigned_floor_isqrt,prefix6_ge_bitwise+synth_preset_d6,student/work/ex276_frontend_isqrt_prefix6_tree_20260609_1656/ex276/verilog/ex276_isqrt_prefix6_ge_bitwise.v,student/work/ex276_frontend_isqrt_prefix6_tree_20260609_1656/ex276/aigs/ex276_isqrt_prefix6_ge_bitwise_synth_preset_d6.aig,1,1,1,148,11,1628,632,2.575949,0,0,0.393,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix6_ge_bitwise; flow=synth_preset_d6
ex276,ex276_isqrt_prefix6_ge_bitwise_synth_preset_d8,unsigned_floor_isqrt,prefix6_ge_bitwise+synth_preset_d8,student/work/ex276_frontend_isqrt_prefix6_tree_20260609_1656/ex276/verilog/ex276_isqrt_prefix6_ge_bitwise.v,student/work/ex276_frontend_isqrt_prefix6_tree_20260609_1656/ex276/aigs/ex276_isqrt_prefix6_ge_bitwise_synth_preset_d8.aig,1,1,1,148,11,1628,632,2.575949,0,0,0.385,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix6_ge_bitwise; flow=synth_preset_d8
ex276,ex276_isqrt_prefix6_ge_bitwise_synth_preset_d10,unsigned_floor_isqrt,prefix6_ge_bitwise+synth_preset_d10,student/work/ex276_frontend_isqrt_prefix6_tree_20260609_1656/ex276/verilog/ex276_isqrt_prefix6_ge_bitwise.v,student/work/ex276_frontend_isqrt_prefix6_tree_20260609_1656/ex276/aigs/ex276_isqrt_prefix6_ge_bitwise_synth_preset_d10.aig,1,1,1,148,11,1628,632,2.575949,0,0,0.386,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix6_ge_bitwise; flow=synth_preset_d10
ex276,ex276_isqrt_prefix5_ge_tree_lsb_abc_g_aig,unsigned_floor_isqrt,prefix5_ge_tree_lsb+abc_g_aig,student/work/ex276_frontend_isqrt_prefix6_tree_20260609_1656/ex276/verilog/ex276_isqrt_prefix5_ge_tree_lsb.v,student/work/ex276_frontend_isqrt_prefix6_tree_20260609_1656/ex276/aigs/ex276_isqrt_prefix5_ge_tree_lsb_abc_g_aig.aig,1,1,1,118,11,1298,632,2.053797,0,0,0.239,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix5_ge_tree_lsb; flow=abc_g_aig
ex276,ex276_isqrt_prefix5_ge_tree_lsb_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix5_ge_tree_lsb+wreduce_abc_g_aig,student/work/ex276_frontend_isqrt_prefix6_tree_20260609_1656/ex276/verilog/ex276_isqrt_prefix5_ge_tree_lsb.v,student/work/ex276_frontend_isqrt_prefix6_tree_20260609_1656/ex276/aigs/ex276_isqrt_prefix5_ge_tree_lsb_wreduce_abc_g_aig.aig,1,1,1,121,11,1331,632,2.106013,0,0,0.247,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix5_ge_tree_lsb; flow=wreduce_abc_g_aig
ex276,ex276_isqrt_prefix5_ge_tree_lsb_arith_wreduce_aig,unsigned_floor_isqrt,prefix5_ge_tree_lsb+arith_wreduce_aig,student/work/ex276_frontend_isqrt_prefix6_tree_20260609_1656/ex276/verilog/ex276_isqrt_prefix5_ge_tree_lsb.v,student/work/ex276_frontend_isqrt_prefix6_tree_20260609_1656/ex276/aigs/ex276_isqrt_prefix5_ge_tree_lsb_arith_wreduce_aig.aig,1,1,1,118,11,1298,632,2.053797,0,0,0.256,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix5_ge_tree_lsb; flow=arith_wreduce_aig
ex276,ex276_isqrt_prefix5_ge_tree_lsb_synth_preset,unsigned_floor_isqrt,prefix5_ge_tree_lsb+synth_preset,student/work/ex276_frontend_isqrt_prefix6_tree_20260609_1656/ex276/verilog/ex276_isqrt_prefix5_ge_tree_lsb.v,student/work/ex276_frontend_isqrt_prefix6_tree_20260609_1656/ex276/aigs/ex276_isqrt_prefix5_ge_tree_lsb_synth_preset.aig,1,1,1,115,12,1380,632,2.183544,0,0,0.330,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix5_ge_tree_lsb; flow=synth_preset
