case,domain,frontend_best_adp,reference_adp,frontend_ratio_to_reference,candidate_id,frontend_best_run
ex238,fp16,24848,16549,1.501480,ex238_b10_9_formula_expr_abc_g_aig,ex235_ex239_frontend_fp16_final_current_20260608_1055
ex271,integer,8275,5542,1.493143,ex271_square_wallace_square_outside_csel4_synth_preset,ex270_ex271_square_fullcase_20260609_1138
ex272,integer,16224,10880,1.491176,ex272_square_wallace_square_outside_csel5_synth_preset,ex270_ex274_square_carryselect2_20260609_1138
ex282,unknown,4032,2704,1.491124,ex282_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig,ex200_ex299_frontend_refgap_round3_20260612_1554
ex256,integer,2844,1911,1.488226,ex256_current_frontend_replay_post_dch,ex200_ex299_frontend_parallel_shared_20260612_1422
ex224,fp16,96224,64708,1.487050,ex224_log_nested_low12_hi6_abc_g_aig,ex200_ex299_frontend_parallel_shared_20260612_1422
ex215,bf16,4680,3150,1.485714,ex215_bf16_reciprocal_sqrt_delta_pair_mode_hilo3_bits_9_bh1_fix2_caseattrs_fix12,ex200_ex219_current
ex234,fp16,22967,15561,1.475933,ex234_abc_g_aig_abc_g_aig,ex231_ex233_ex234_frontend_fp16_power_nested_synthflow_20260607_2027
ex275,integer,301,204,1.475490,ex275_isqrt_prefix5_ge_tree_lsb_arith_wreduce_aig,ex275_ex276_frontend_isqrt_newbest_gateflow_20260609_1656
ex290,unknown,61992,42328,1.464562,ex290_rotate_high_split_default_abc_g_aig,ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320
ex289,unknown,19893,13620,1.460573,ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_onehot_group_xor_abc_g_aig,ex289_frontend_duality_symcof_split2_xorwrap_synthflow_20260609_1128
