case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex266,ex266_udiv_hybrid_bdd_hi1_interleave_lo_direct_abc_g_aig,1,97,31,3007,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/aigs/ex266_udiv_hybrid_bdd_hi1_interleave_lo_direct_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi1_interleave_lo_direct; flow=abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi1_interleave_lo_direct_wreduce_abc_g_aig,1,97,31,3007,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/aigs/ex266_udiv_hybrid_bdd_hi1_interleave_lo_direct_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi1_interleave_lo_direct; flow=wreduce_abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi1_interleave_lo_direct_synth_preset,1,90,30,2700,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/aigs/ex266_udiv_hybrid_bdd_hi1_interleave_lo_direct_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi1_interleave_lo_direct; flow=synth_preset
ex266,ex266_udiv_hybrid_bdd_hi2_interleave_lo_direct_abc_g_aig,1,91,29,2639,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/aigs/ex266_udiv_hybrid_bdd_hi2_interleave_lo_direct_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi2_interleave_lo_direct; flow=abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi2_interleave_lo_direct_wreduce_abc_g_aig,1,91,29,2639,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/aigs/ex266_udiv_hybrid_bdd_hi2_interleave_lo_direct_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi2_interleave_lo_direct; flow=wreduce_abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi2_interleave_lo_direct_synth_preset,1,89,28,2492,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/aigs/ex266_udiv_hybrid_bdd_hi2_interleave_lo_direct_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi2_interleave_lo_direct; flow=synth_preset
ex266,ex266_udiv_hybrid_bdd_hi3_interleave_lo_direct_abc_g_aig,1,103,28,2884,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/aigs/ex266_udiv_hybrid_bdd_hi3_interleave_lo_direct_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi3_interleave_lo_direct; flow=abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi3_interleave_lo_direct_wreduce_abc_g_aig,1,103,28,2884,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/aigs/ex266_udiv_hybrid_bdd_hi3_interleave_lo_direct_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi3_interleave_lo_direct; flow=wreduce_abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi3_interleave_lo_direct_synth_preset,1,103,28,2884,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/aigs/ex266_udiv_hybrid_bdd_hi3_interleave_lo_direct_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi3_interleave_lo_direct; flow=synth_preset
ex266,ex266_udiv_hybrid_bdd_hi4_interleave_lo_direct_abc_g_aig,1,151,27,4077,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/aigs/ex266_udiv_hybrid_bdd_hi4_interleave_lo_direct_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi4_interleave_lo_direct; flow=abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi4_interleave_lo_direct_wreduce_abc_g_aig,1,151,27,4077,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/aigs/ex266_udiv_hybrid_bdd_hi4_interleave_lo_direct_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi4_interleave_lo_direct; flow=wreduce_abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi4_interleave_lo_direct_synth_preset,1,152,28,4256,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/aigs/ex266_udiv_hybrid_bdd_hi4_interleave_lo_direct_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi4_interleave_lo_direct; flow=synth_preset
ex266,ex266_udiv_hybrid_bdd_hi2_bmsb_lo_direct_abc_g_aig,1,89,28,2492,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/aigs/ex266_udiv_hybrid_bdd_hi2_bmsb_lo_direct_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi2_bmsb_lo_direct; flow=abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi2_bmsb_lo_direct_wreduce_abc_g_aig,1,89,28,2492,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/aigs/ex266_udiv_hybrid_bdd_hi2_bmsb_lo_direct_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi2_bmsb_lo_direct; flow=wreduce_abc_g_aig
