case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,notes
ex266,ex266_udiv_hybrid_bdd_hi2_bmsb_lo_direct_abc_g_aig,unsigned low5_high5:a/b dbz=max,hybrid_bdd_hi2_bmsb_lo_direct+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/verilog/ex266_udiv_hybrid_bdd_hi2_bmsb_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/aigs/ex266_udiv_hybrid_bdd_hi2_bmsb_lo_direct_abc_g_aig.aig,89,28,2492,848,2.938679,0,0,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi2_bmsb_lo_direct; flow=abc_g_aig
ex267,ex267_udiv_hybrid_bdd_hi2_bmsb_lo_direct_abc_g_aig,unsigned low6_high6:a/b dbz=max,hybrid_bdd_hi2_bmsb_lo_direct+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex267/verilog/ex267_udiv_hybrid_bdd_hi2_bmsb_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex267/aigs/ex267_udiv_hybrid_bdd_hi2_bmsb_lo_direct_abc_g_aig.aig,136,42,5712,2651,2.154659,0,0,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi2_bmsb_lo_direct; flow=abc_g_aig
ex269,ex269_udiv_hybrid_bdd_hi2_bmsb_lo_direct_abc_g_aig,unsigned low8_high8:a/b dbz=max,hybrid_bdd_hi2_bmsb_lo_direct+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex269/verilog/ex269_udiv_hybrid_bdd_hi2_bmsb_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex269/aigs/ex269_udiv_hybrid_bdd_hi2_bmsb_lo_direct_abc_g_aig.aig,263,75,19725,11760,1.677296,0,0,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=hybrid_bdd_hi2_bmsb_lo_direct; flow=abc_g_aig
