case,best_area,best_delay,best_adp,reference_adp,ratio_to_reference,within_1p5_reference,beats_reference,candidate_id,notes
ex266,89,28,2492,848,2.938679,0,0,ex266_udiv_hybrid_bdd_hi2_bmsb_lo_direct_abc_g_aig,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi2_bmsb_lo_direct; flow=abc_g_aig
ex267,136,42,5712,2651,2.154659,0,0,ex267_udiv_hybrid_bdd_hi2_bmsb_lo_direct_abc_g_aig,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi2_bmsb_lo_direct; flow=abc_g_aig
ex269,263,75,19725,11760,1.677296,0,0,ex269_udiv_hybrid_bdd_hi2_bmsb_lo_direct_abc_g_aig,unsigned low8_high8:a/b dbz=max exact; source=hybrid_bdd_hi2_bmsb_lo_direct; flow=abc_g_aig
