case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex286,ex286_unknown_symcase_default_x,unknown_symmetry_case_dc,default_x,student/work/ex286_frontend_symcase_dc_20260609_0630/ex286/verilog/ex286_unknown_symcase_default_x.v,student/work/ex286_frontend_symcase_dc_20260609_0630/ex286/aigs/ex286_unknown_symcase_default_x.aig,1,1,1,4942,21,103782,3.124,"pairs=4:5,6:7; style=default_x; valid_entries=4608; invalid_entries=3584; hash=bd6cf2af698c",unknown canonical pair-symmetry case table with invalid-key don't-cares
ex286,ex286_unknown_symcase_default_zero,unknown_symmetry_case_dc,default_zero,student/work/ex286_frontend_symcase_dc_20260609_0630/ex286/verilog/ex286_unknown_symcase_default_zero.v,student/work/ex286_frontend_symcase_dc_20260609_0630/ex286/aigs/ex286_unknown_symcase_default_zero.aig,1,1,1,4942,21,103782,3.077,"pairs=4:5,6:7; style=default_zero; valid_entries=4608; invalid_entries=3584; hash=5d708d1eb3b9",unknown canonical pair-symmetry case table with invalid-key don't-cares
