case,candidate_id,equivalent,area,delay,adp,notes
ex286,ex286_unknown_symcof_interleave_f00_k4_onehot_group,1,1449,16,23184,unknown symmetry cofactor class-onehot Verilog seed
ex286,ex286_unknown_symcof_interleave_f00_bits_0_1_9_10_onehot_group,1,1473,18,26514,unknown symmetry cofactor class-onehot Verilog seed
