case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex270,ex270_square_low4_case_constmul_abc_g_aig,unsigned_square_x_times_x,low4_case_constmul+abc_g_aig,student/work/ex270_ex274_frontend_square_constcofactor_20260609_1138/ex270/verilog/ex270_square_low4_case_constmul.v,student/work/ex270_ex274_frontend_square_constcofactor_20260609_1138/ex270/aigs/ex270_square_low4_case_constmul_abc_g_aig.aig,1,1,1,418,12,5016,2076,2.416185,0,0,0.489,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=low4_case_constmul; flow=abc_g_aig
ex270,ex270_square_low4_case_constmul_wreduce_abc_g_aig,unsigned_square_x_times_x,low4_case_constmul+wreduce_abc_g_aig,student/work/ex270_ex274_frontend_square_constcofactor_20260609_1138/ex270/verilog/ex270_square_low4_case_constmul.v,student/work/ex270_ex274_frontend_square_constcofactor_20260609_1138/ex270/aigs/ex270_square_low4_case_constmul_wreduce_abc_g_aig.aig,1,1,1,423,11,4653,2076,2.241329,0,0,0.504,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=low4_case_constmul; flow=wreduce_abc_g_aig
ex270,ex270_square_low4_case_constmul_synth_preset,unsigned_square_x_times_x,low4_case_constmul+synth_preset,student/work/ex270_ex274_frontend_square_constcofactor_20260609_1138/ex270/verilog/ex270_square_low4_case_constmul.v,student/work/ex270_ex274_frontend_square_constcofactor_20260609_1138/ex270/aigs/ex270_square_low4_case_constmul_synth_preset.aig,1,1,1,410,10,4100,2076,1.974952,0,0,0.516,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=low4_case_constmul; flow=synth_preset
ex270,ex270_square_low4_case_constmul_synth_preset_d20,unsigned_square_x_times_x,low4_case_constmul+synth_preset_d20,student/work/ex270_ex274_frontend_square_constcofactor_20260609_1138/ex270/verilog/ex270_square_low4_case_constmul.v,student/work/ex270_ex274_frontend_square_constcofactor_20260609_1138/ex270/aigs/ex270_square_low4_case_constmul_synth_preset_d20.aig,1,1,1,410,10,4100,2076,1.974952,0,0,0.515,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=low4_case_constmul; flow=synth_preset_d20
ex270,ex270_square_low5_case_constmul_abc_g_aig,unsigned_square_x_times_x,low5_case_constmul+abc_g_aig,student/work/ex270_ex274_frontend_square_constcofactor_20260609_1138/ex270/verilog/ex270_square_low5_case_constmul.v,student/work/ex270_ex274_frontend_square_constcofactor_20260609_1138/ex270/aigs/ex270_square_low5_case_constmul_abc_g_aig.aig,1,1,1,430,10,4300,2076,2.071291,0,0,0.699,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=low5_case_constmul; flow=abc_g_aig
ex270,ex270_square_low5_case_constmul_wreduce_abc_g_aig,unsigned_square_x_times_x,low5_case_constmul+wreduce_abc_g_aig,student/work/ex270_ex274_frontend_square_constcofactor_20260609_1138/ex270/verilog/ex270_square_low5_case_constmul.v,student/work/ex270_ex274_frontend_square_constcofactor_20260609_1138/ex270/aigs/ex270_square_low5_case_constmul_wreduce_abc_g_aig.aig,1,1,1,421,10,4210,2076,2.027938,0,0,0.718,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=low5_case_constmul; flow=wreduce_abc_g_aig
ex270,ex270_square_low5_case_constmul_synth_preset,unsigned_square_x_times_x,low5_case_constmul+synth_preset,student/work/ex270_ex274_frontend_square_constcofactor_20260609_1138/ex270/verilog/ex270_square_low5_case_constmul.v,student/work/ex270_ex274_frontend_square_constcofactor_20260609_1138/ex270/aigs/ex270_square_low5_case_constmul_synth_preset.aig,1,1,1,433,10,4330,2076,2.085742,0,0,0.635,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=low5_case_constmul; flow=synth_preset
ex270,ex270_square_low5_case_constmul_synth_preset_d20,unsigned_square_x_times_x,low5_case_constmul+synth_preset_d20,student/work/ex270_ex274_frontend_square_constcofactor_20260609_1138/ex270/verilog/ex270_square_low5_case_constmul.v,student/work/ex270_ex274_frontend_square_constcofactor_20260609_1138/ex270/aigs/ex270_square_low5_case_constmul_synth_preset_d20.aig,1,1,1,433,10,4330,2076,2.085742,0,0,0.644,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=low5_case_constmul; flow=synth_preset_d20
ex270,ex270_square_low6_case_constmul_abc_g_aig,unsigned_square_x_times_x,low6_case_constmul+abc_g_aig,student/work/ex270_ex274_frontend_square_constcofactor_20260609_1138/ex270/verilog/ex270_square_low6_case_constmul.v,student/work/ex270_ex274_frontend_square_constcofactor_20260609_1138/ex270/aigs/ex270_square_low6_case_constmul_abc_g_aig.aig,1,1,1,551,12,6612,2076,3.184971,0,0,1.155,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=low6_case_constmul; flow=abc_g_aig
ex270,ex270_square_low6_case_constmul_wreduce_abc_g_aig,unsigned_square_x_times_x,low6_case_constmul+wreduce_abc_g_aig,student/work/ex270_ex274_frontend_square_constcofactor_20260609_1138/ex270/verilog/ex270_square_low6_case_constmul.v,student/work/ex270_ex274_frontend_square_constcofactor_20260609_1138/ex270/aigs/ex270_square_low6_case_constmul_wreduce_abc_g_aig.aig,1,1,1,572,11,6292,2076,3.030829,0,0,1.168,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=low6_case_constmul; flow=wreduce_abc_g_aig
ex270,ex270_square_low6_case_constmul_synth_preset,unsigned_square_x_times_x,low6_case_constmul+synth_preset,student/work/ex270_ex274_frontend_square_constcofactor_20260609_1138/ex270/verilog/ex270_square_low6_case_constmul.v,student/work/ex270_ex274_frontend_square_constcofactor_20260609_1138/ex270/aigs/ex270_square_low6_case_constmul_synth_preset.aig,1,1,1,539,11,5929,2076,2.855973,0,0,0.889,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=low6_case_constmul; flow=synth_preset
