case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,items,runtime_sec,notes
ex281,ex281_anf_davio_interleave_abc_g_aig,unknown_algebraic_13x13,abc_g_aig,student/work/ex281_ex284_frontend_anf_davio_20260608_1426/ex281/verilog/ex281_unknown_algebraic_13x13_anf_davio_interleave.v,student/work/ex281_ex284_frontend_anf_davio_synthflow_20260608_1432/ex281/aigs/ex281_anf_davio_interleave_abc_g_aig.aig,1,1,1,1171,27,31617,2336,13.534675,0,0,synthflow_exact,Yosys abc gate set aig,0.635,Yosys abc gate set aig
ex281,ex281_anf_davio_interleave_abc_g_aig_d20,unknown_algebraic_13x13,abc_g_aig_d20,student/work/ex281_ex284_frontend_anf_davio_20260608_1426/ex281/verilog/ex281_unknown_algebraic_13x13_anf_davio_interleave.v,student/work/ex281_ex284_frontend_anf_davio_synthflow_20260608_1432/ex281/aigs/ex281_anf_davio_interleave_abc_g_aig_d20.aig,1,1,1,1171,27,31617,2336,13.534675,0,0,synthflow_exact,Yosys abc gate set aig delay target 20,0.614,Yosys abc gate set aig delay target 20
ex281,ex281_anf_davio_interleave_extra_opt_share,unknown_algebraic_13x13,extra_opt_share,student/work/ex281_ex284_frontend_anf_davio_20260608_1426/ex281/verilog/ex281_unknown_algebraic_13x13_anf_davio_interleave.v,student/work/ex281_ex284_frontend_anf_davio_synthflow_20260608_1432/ex281/aigs/ex281_anf_davio_interleave_extra_opt_share.aig,1,1,1,1478,27,39906,2336,17.083048,0,0,synthflow_exact,extra opt_reduce/opt_muxtree/wreduce/share before techmap,1.074,extra opt_reduce/opt_muxtree/wreduce/share before techmap
ex281,ex281_anf_davio_interleave_synth_preset,unknown_algebraic_13x13,synth_preset,student/work/ex281_ex284_frontend_anf_davio_20260608_1426/ex281/verilog/ex281_unknown_algebraic_13x13_anf_davio_interleave.v,student/work/ex281_ex284_frontend_anf_davio_synthflow_20260608_1432/ex281/aigs/ex281_anf_davio_interleave_synth_preset.aig,1,1,1,1463,27,39501,2336,16.909675,0,0,synthflow_exact,Yosys synth preset with flatten,0.869,Yosys synth preset with flatten
ex282,ex282_anf_davio_interleave_abc_g_aig,unknown_algebraic_14x14,abc_g_aig,student/work/ex281_ex284_frontend_anf_davio_20260608_1426/ex282/verilog/ex282_unknown_algebraic_14x14_anf_davio_interleave.v,student/work/ex281_ex284_frontend_anf_davio_synthflow_20260608_1432/ex282/aigs/ex282_anf_davio_interleave_abc_g_aig.aig,1,1,1,1323,31,41013,2704,15.167530,0,0,synthflow_exact,Yosys abc gate set aig,0.793,Yosys abc gate set aig
ex282,ex282_anf_davio_interleave_abc_g_aig_d20,unknown_algebraic_14x14,abc_g_aig_d20,student/work/ex281_ex284_frontend_anf_davio_20260608_1426/ex282/verilog/ex282_unknown_algebraic_14x14_anf_davio_interleave.v,student/work/ex281_ex284_frontend_anf_davio_synthflow_20260608_1432/ex282/aigs/ex282_anf_davio_interleave_abc_g_aig_d20.aig,1,1,1,1323,31,41013,2704,15.167530,0,0,synthflow_exact,Yosys abc gate set aig delay target 20,0.830,Yosys abc gate set aig delay target 20
ex282,ex282_anf_davio_interleave_extra_opt_share,unknown_algebraic_14x14,extra_opt_share,student/work/ex281_ex284_frontend_anf_davio_20260608_1426/ex282/verilog/ex282_unknown_algebraic_14x14_anf_davio_interleave.v,student/work/ex281_ex284_frontend_anf_davio_synthflow_20260608_1432/ex282/aigs/ex282_anf_davio_interleave_extra_opt_share.aig,1,1,1,1634,31,50654,2704,18.732988,0,0,synthflow_exact,extra opt_reduce/opt_muxtree/wreduce/share before techmap,0.908,extra opt_reduce/opt_muxtree/wreduce/share before techmap
ex282,ex282_anf_davio_interleave_synth_preset,unknown_algebraic_14x14,synth_preset,student/work/ex281_ex284_frontend_anf_davio_20260608_1426/ex282/verilog/ex282_unknown_algebraic_14x14_anf_davio_interleave.v,student/work/ex281_ex284_frontend_anf_davio_synthflow_20260608_1432/ex282/aigs/ex282_anf_davio_interleave_synth_preset.aig,1,1,1,1635,32,52320,2704,19.349112,0,0,synthflow_exact,Yosys synth preset with flatten,1.169,Yosys synth preset with flatten
ex283,ex283_anf_davio_interleave_abc_g_aig,unknown_algebraic_15x15,abc_g_aig,student/work/ex281_ex284_frontend_anf_davio_20260608_1426/ex283/verilog/ex283_unknown_algebraic_15x15_anf_davio_interleave.v,student/work/ex281_ex284_frontend_anf_davio_synthflow_20260608_1432/ex283/aigs/ex283_anf_davio_interleave_abc_g_aig.aig,1,1,1,1584,34,53856,3168,17.000000,0,0,synthflow_exact,Yosys abc gate set aig,1.165,Yosys abc gate set aig
ex283,ex283_anf_davio_interleave_abc_g_aig_d20,unknown_algebraic_15x15,abc_g_aig_d20,student/work/ex281_ex284_frontend_anf_davio_20260608_1426/ex283/verilog/ex283_unknown_algebraic_15x15_anf_davio_interleave.v,student/work/ex281_ex284_frontend_anf_davio_synthflow_20260608_1432/ex283/aigs/ex283_anf_davio_interleave_abc_g_aig_d20.aig,1,1,1,1584,34,53856,3168,17.000000,0,0,synthflow_exact,Yosys abc gate set aig delay target 20,1.127,Yosys abc gate set aig delay target 20
