case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex266,ex266_udiv_shift_subtract_abc_g_aig,1,88,28,2464,student/work/ex266_ex267_frontend_udiv_shift_subtract_transfer_20260609_1025/ex266/aigs/ex266_udiv_shift_subtract_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=shift_subtract; flow=abc_g_aig
ex266,ex266_udiv_shift_subtract_wreduce_abc_g_aig,1,88,28,2464,student/work/ex266_ex267_frontend_udiv_shift_subtract_transfer_20260609_1025/ex266/aigs/ex266_udiv_shift_subtract_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=shift_subtract; flow=wreduce_abc_g_aig
ex266,ex266_udiv_shift_subtract_synth_preset,1,89,32,2848,student/work/ex266_ex267_frontend_udiv_shift_subtract_transfer_20260609_1025/ex266/aigs/ex266_udiv_shift_subtract_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=shift_subtract; flow=synth_preset
ex266,ex266_udiv_shift_subtract_gt_guard_abc_g_aig,1,111,31,3441,student/work/ex266_ex267_frontend_udiv_shift_subtract_transfer_20260609_1025/ex266/aigs/ex266_udiv_shift_subtract_gt_guard_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=shift_subtract_gt_guard; flow=abc_g_aig
ex266,ex266_udiv_shift_subtract_gt_guard_wreduce_abc_g_aig,1,110,34,3740,student/work/ex266_ex267_frontend_udiv_shift_subtract_transfer_20260609_1025/ex266/aigs/ex266_udiv_shift_subtract_gt_guard_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=shift_subtract_gt_guard; flow=wreduce_abc_g_aig
ex266,ex266_udiv_shift_subtract_gt_guard_synth_preset,1,89,32,2848,student/work/ex266_ex267_frontend_udiv_shift_subtract_transfer_20260609_1025/ex266/aigs/ex266_udiv_shift_subtract_gt_guard_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=shift_subtract_gt_guard; flow=synth_preset
ex267,ex267_udiv_shift_subtract_abc_g_aig,1,135,41,5535,student/work/ex266_ex267_frontend_udiv_shift_subtract_transfer_20260609_1025/ex267/aigs/ex267_udiv_shift_subtract_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=shift_subtract; flow=abc_g_aig
ex267,ex267_udiv_shift_subtract_wreduce_abc_g_aig,1,139,42,5838,student/work/ex266_ex267_frontend_udiv_shift_subtract_transfer_20260609_1025/ex267/aigs/ex267_udiv_shift_subtract_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=shift_subtract; flow=wreduce_abc_g_aig
ex267,ex267_udiv_shift_subtract_synth_preset,1,140,45,6300,student/work/ex266_ex267_frontend_udiv_shift_subtract_transfer_20260609_1025/ex267/aigs/ex267_udiv_shift_subtract_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=shift_subtract; flow=synth_preset
ex267,ex267_udiv_shift_subtract_gt_guard_abc_g_aig,1,163,47,7661,student/work/ex266_ex267_frontend_udiv_shift_subtract_transfer_20260609_1025/ex267/aigs/ex267_udiv_shift_subtract_gt_guard_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=shift_subtract_gt_guard; flow=abc_g_aig
ex267,ex267_udiv_shift_subtract_gt_guard_wreduce_abc_g_aig,1,163,46,7498,student/work/ex266_ex267_frontend_udiv_shift_subtract_transfer_20260609_1025/ex267/aigs/ex267_udiv_shift_subtract_gt_guard_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=shift_subtract_gt_guard; flow=wreduce_abc_g_aig
ex267,ex267_udiv_shift_subtract_gt_guard_synth_preset,1,137,46,6302,student/work/ex266_ex267_frontend_udiv_shift_subtract_transfer_20260609_1025/ex267/aigs/ex267_udiv_shift_subtract_gt_guard_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=shift_subtract_gt_guard; flow=synth_preset
