case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex266,ex266_udiv_shift_subtract_abc_g_aig,unsigned low5_high5:a/b dbz=max,shift_subtract+abc_g_aig,student/work/ex266_ex267_frontend_udiv_shift_subtract_transfer_20260609_1025/ex266/verilog/ex266_udiv_shift_subtract.v,student/work/ex266_ex267_frontend_udiv_shift_subtract_transfer_20260609_1025/ex266/aigs/ex266_udiv_shift_subtract_abc_g_aig.aig,1,1,1,88,28,2464,848,2.905660,0,0,0.258,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=shift_subtract; flow=abc_g_aig
ex266,ex266_udiv_shift_subtract_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,shift_subtract+wreduce_abc_g_aig,student/work/ex266_ex267_frontend_udiv_shift_subtract_transfer_20260609_1025/ex266/verilog/ex266_udiv_shift_subtract.v,student/work/ex266_ex267_frontend_udiv_shift_subtract_transfer_20260609_1025/ex266/aigs/ex266_udiv_shift_subtract_wreduce_abc_g_aig.aig,1,1,1,88,28,2464,848,2.905660,0,0,0.268,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=shift_subtract; flow=wreduce_abc_g_aig
ex266,ex266_udiv_shift_subtract_synth_preset,unsigned low5_high5:a/b dbz=max,shift_subtract+synth_preset,student/work/ex266_ex267_frontend_udiv_shift_subtract_transfer_20260609_1025/ex266/verilog/ex266_udiv_shift_subtract.v,student/work/ex266_ex267_frontend_udiv_shift_subtract_transfer_20260609_1025/ex266/aigs/ex266_udiv_shift_subtract_synth_preset.aig,1,1,1,89,32,2848,848,3.358491,0,0,0.330,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=shift_subtract; flow=synth_preset
ex266,ex266_udiv_shift_subtract_gt_guard_abc_g_aig,unsigned low5_high5:a/b dbz=max,shift_subtract_gt_guard+abc_g_aig,student/work/ex266_ex267_frontend_udiv_shift_subtract_transfer_20260609_1025/ex266/verilog/ex266_udiv_shift_subtract_gt_guard.v,student/work/ex266_ex267_frontend_udiv_shift_subtract_transfer_20260609_1025/ex266/aigs/ex266_udiv_shift_subtract_gt_guard_abc_g_aig.aig,1,1,1,111,31,3441,848,4.057783,0,0,0.279,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=shift_subtract_gt_guard; flow=abc_g_aig
ex266,ex266_udiv_shift_subtract_gt_guard_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,shift_subtract_gt_guard+wreduce_abc_g_aig,student/work/ex266_ex267_frontend_udiv_shift_subtract_transfer_20260609_1025/ex266/verilog/ex266_udiv_shift_subtract_gt_guard.v,student/work/ex266_ex267_frontend_udiv_shift_subtract_transfer_20260609_1025/ex266/aigs/ex266_udiv_shift_subtract_gt_guard_wreduce_abc_g_aig.aig,1,1,1,110,34,3740,848,4.410377,0,0,0.296,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=shift_subtract_gt_guard; flow=wreduce_abc_g_aig
ex266,ex266_udiv_shift_subtract_gt_guard_synth_preset,unsigned low5_high5:a/b dbz=max,shift_subtract_gt_guard+synth_preset,student/work/ex266_ex267_frontend_udiv_shift_subtract_transfer_20260609_1025/ex266/verilog/ex266_udiv_shift_subtract_gt_guard.v,student/work/ex266_ex267_frontend_udiv_shift_subtract_transfer_20260609_1025/ex266/aigs/ex266_udiv_shift_subtract_gt_guard_synth_preset.aig,1,1,1,89,32,2848,848,3.358491,0,0,0.369,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=shift_subtract_gt_guard; flow=synth_preset
ex267,ex267_udiv_shift_subtract_abc_g_aig,unsigned low6_high6:a/b dbz=max,shift_subtract+abc_g_aig,student/work/ex266_ex267_frontend_udiv_shift_subtract_transfer_20260609_1025/ex267/verilog/ex267_udiv_shift_subtract.v,student/work/ex266_ex267_frontend_udiv_shift_subtract_transfer_20260609_1025/ex267/aigs/ex267_udiv_shift_subtract_abc_g_aig.aig,1,1,1,135,41,5535,2651,2.087891,0,0,0.298,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=shift_subtract; flow=abc_g_aig
ex267,ex267_udiv_shift_subtract_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,shift_subtract+wreduce_abc_g_aig,student/work/ex266_ex267_frontend_udiv_shift_subtract_transfer_20260609_1025/ex267/verilog/ex267_udiv_shift_subtract.v,student/work/ex266_ex267_frontend_udiv_shift_subtract_transfer_20260609_1025/ex267/aigs/ex267_udiv_shift_subtract_wreduce_abc_g_aig.aig,1,1,1,139,42,5838,2651,2.202188,0,0,0.311,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=shift_subtract; flow=wreduce_abc_g_aig
ex267,ex267_udiv_shift_subtract_synth_preset,unsigned low6_high6:a/b dbz=max,shift_subtract+synth_preset,student/work/ex266_ex267_frontend_udiv_shift_subtract_transfer_20260609_1025/ex267/verilog/ex267_udiv_shift_subtract.v,student/work/ex266_ex267_frontend_udiv_shift_subtract_transfer_20260609_1025/ex267/aigs/ex267_udiv_shift_subtract_synth_preset.aig,1,1,1,140,45,6300,2651,2.376462,0,0,0.372,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=shift_subtract; flow=synth_preset
ex267,ex267_udiv_shift_subtract_gt_guard_abc_g_aig,unsigned low6_high6:a/b dbz=max,shift_subtract_gt_guard+abc_g_aig,student/work/ex266_ex267_frontend_udiv_shift_subtract_transfer_20260609_1025/ex267/verilog/ex267_udiv_shift_subtract_gt_guard.v,student/work/ex266_ex267_frontend_udiv_shift_subtract_transfer_20260609_1025/ex267/aigs/ex267_udiv_shift_subtract_gt_guard_abc_g_aig.aig,1,1,1,163,47,7661,2651,2.889853,0,0,0.323,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=shift_subtract_gt_guard; flow=abc_g_aig
ex267,ex267_udiv_shift_subtract_gt_guard_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,shift_subtract_gt_guard+wreduce_abc_g_aig,student/work/ex266_ex267_frontend_udiv_shift_subtract_transfer_20260609_1025/ex267/verilog/ex267_udiv_shift_subtract_gt_guard.v,student/work/ex266_ex267_frontend_udiv_shift_subtract_transfer_20260609_1025/ex267/aigs/ex267_udiv_shift_subtract_gt_guard_wreduce_abc_g_aig.aig,1,1,1,163,46,7498,2651,2.828367,0,0,0.354,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=shift_subtract_gt_guard; flow=wreduce_abc_g_aig
ex267,ex267_udiv_shift_subtract_gt_guard_synth_preset,unsigned low6_high6:a/b dbz=max,shift_subtract_gt_guard+synth_preset,student/work/ex266_ex267_frontend_udiv_shift_subtract_transfer_20260609_1025/ex267/verilog/ex267_udiv_shift_subtract_gt_guard.v,student/work/ex266_ex267_frontend_udiv_shift_subtract_transfer_20260609_1025/ex267/aigs/ex267_udiv_shift_subtract_gt_guard_synth_preset.aig,1,1,1,137,46,6302,2651,2.377216,0,0,0.389,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=shift_subtract_gt_guard; flow=synth_preset
