case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex263,ex263_smul_signcorr_core_mul_synth_preset_d11,1,350,37,12950,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/aigs/ex263_smul_signcorr_core_mul_synth_preset_d11.aig,exact signed low7 * signed high7 over 16384 inputs; source=signcorr_core_mul; flow=synth_preset_d11
ex263,ex263_smul_signcorr_core_mul_synth_preset_d13,1,350,37,12950,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/aigs/ex263_smul_signcorr_core_mul_synth_preset_d13.aig,exact signed low7 * signed high7 over 16384 inputs; source=signcorr_core_mul; flow=synth_preset_d13
ex263,ex263_smul_signcorr_core_wallace_abc_g_aig,1,362,36,13032,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/aigs/ex263_smul_signcorr_core_wallace_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=signcorr_core_wallace; flow=abc_g_aig
ex263,ex263_smul_signcorr_core_wallace_wreduce_abc_g_aig,1,361,36,12996,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/aigs/ex263_smul_signcorr_core_wallace_wreduce_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=signcorr_core_wallace; flow=wreduce_abc_g_aig
ex263,ex263_smul_signcorr_core_wallace_synth_preset_d11,1,365,35,12775,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/aigs/ex263_smul_signcorr_core_wallace_synth_preset_d11.aig,exact signed low7 * signed high7 over 16384 inputs; source=signcorr_core_wallace; flow=synth_preset_d11
ex263,ex263_smul_signcorr_core_wallace_synth_preset_d13,1,365,35,12775,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/aigs/ex263_smul_signcorr_core_wallace_synth_preset_d13.aig,exact signed low7 * signed high7 over 16384 inputs; source=signcorr_core_wallace; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig,1,354,28,9912,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/aigs/ex263_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig,1,354,28,9912,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/aigs/ex263_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d11,1,356,28,9968,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/aigs/ex263_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d11.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d11
ex263,ex263_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13,1,356,28,9968,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/aigs/ex263_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig,1,362,25,9050,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/aigs/ex263_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_outside_hcla1_wreduce_abc_g_aig,1,362,25,9050,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/aigs/ex263_smul_baugh_wooley_wallace_outside_hcla1_wreduce_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11,1,362,24,8688,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/aigs/ex263_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=synth_preset_d11
ex263,ex263_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d13,1,362,24,8688,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/aigs/ex263_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d13.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=synth_preset_d13
