case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_signcorr_core_mul_abc_g_aig,signed low4_high4:a*b,signcorr_core_mul+abc_g_aig,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/verilog/ex260_smul_signcorr_core_mul.v,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/aigs/ex260_smul_signcorr_core_mul_abc_g_aig.aig,1,1,1,88,21,1848,657,2.812785,0,0,0.251,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=signcorr_core_mul; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+synth_preset_d13,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13.aig,1,1,1,88,16,1408,657,2.143075,0,0,0.279,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla1+abc_g_aig,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.211,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla1+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_wreduce_abc_g_aig.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.213,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla1+synth_preset_d11,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.271,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla1+synth_preset_d13,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d13.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.270,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=synth_preset_d13
ex263,ex263_smul_signcorr_core_mul_abc_g_aig,signed low7_high7:a*b,signcorr_core_mul+abc_g_aig,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/verilog/ex263_smul_signcorr_core_mul.v,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/aigs/ex263_smul_signcorr_core_mul_abc_g_aig.aig,1,1,1,352,37,13024,6840,1.904094,0,0,0.534,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=signcorr_core_mul; flow=abc_g_aig
ex263,ex263_smul_signcorr_core_mul_wreduce_abc_g_aig,signed low7_high7:a*b,signcorr_core_mul+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/verilog/ex263_smul_signcorr_core_mul.v,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/aigs/ex263_smul_signcorr_core_mul_wreduce_abc_g_aig.aig,1,1,1,357,39,13923,6840,2.035526,0,0,0.563,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=signcorr_core_mul; flow=wreduce_abc_g_aig
ex263,ex263_smul_signcorr_core_mul_synth_preset_d11,signed low7_high7:a*b,signcorr_core_mul+synth_preset_d11,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/verilog/ex263_smul_signcorr_core_mul.v,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/aigs/ex263_smul_signcorr_core_mul_synth_preset_d11.aig,1,1,1,350,37,12950,6840,1.893275,0,0,0.597,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=signcorr_core_mul; flow=synth_preset_d11
ex263,ex263_smul_signcorr_core_mul_synth_preset_d13,signed low7_high7:a*b,signcorr_core_mul+synth_preset_d13,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/verilog/ex263_smul_signcorr_core_mul.v,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/aigs/ex263_smul_signcorr_core_mul_synth_preset_d13.aig,1,1,1,350,37,12950,6840,1.893275,0,0,0.600,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=signcorr_core_mul; flow=synth_preset_d13
ex263,ex263_smul_signcorr_core_wallace_abc_g_aig,signed low7_high7:a*b,signcorr_core_wallace+abc_g_aig,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/verilog/ex263_smul_signcorr_core_wallace.v,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/aigs/ex263_smul_signcorr_core_wallace_abc_g_aig.aig,1,1,1,362,36,13032,6840,1.905263,0,0,0.569,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=signcorr_core_wallace; flow=abc_g_aig
ex263,ex263_smul_signcorr_core_wallace_wreduce_abc_g_aig,signed low7_high7:a*b,signcorr_core_wallace+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/verilog/ex263_smul_signcorr_core_wallace.v,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/aigs/ex263_smul_signcorr_core_wallace_wreduce_abc_g_aig.aig,1,1,1,361,36,12996,6840,1.900000,0,0,0.572,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=signcorr_core_wallace; flow=wreduce_abc_g_aig
ex263,ex263_smul_signcorr_core_wallace_synth_preset_d11,signed low7_high7:a*b,signcorr_core_wallace+synth_preset_d11,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/verilog/ex263_smul_signcorr_core_wallace.v,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/aigs/ex263_smul_signcorr_core_wallace_synth_preset_d11.aig,1,1,1,365,35,12775,6840,1.867690,0,0,0.659,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=signcorr_core_wallace; flow=synth_preset_d11
ex263,ex263_smul_signcorr_core_wallace_synth_preset_d13,signed low7_high7:a*b,signcorr_core_wallace+synth_preset_d13,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/verilog/ex263_smul_signcorr_core_wallace.v,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/aigs/ex263_smul_signcorr_core_wallace_synth_preset_d13.aig,1,1,1,365,35,12775,6840,1.867690,0,0,0.665,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=signcorr_core_wallace; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig,signed low7_high7:a*b,baugh_wooley_wallace_rev_hcla4+abc_g_aig,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/verilog/ex263_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/aigs/ex263_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig.aig,1,1,1,354,28,9912,6840,1.449123,1,0,0.516,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig,signed low7_high7:a*b,baugh_wooley_wallace_rev_hcla4+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/verilog/ex263_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/aigs/ex263_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig.aig,1,1,1,354,28,9912,6840,1.449123,1,0,0.529,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d11,signed low7_high7:a*b,baugh_wooley_wallace_rev_hcla4+synth_preset_d11,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/verilog/ex263_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/aigs/ex263_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d11.aig,1,1,1,356,28,9968,6840,1.457310,1,0,0.664,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d11
ex263,ex263_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13,signed low7_high7:a*b,baugh_wooley_wallace_rev_hcla4+synth_preset_d13,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/verilog/ex263_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/aigs/ex263_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13.aig,1,1,1,356,28,9968,6840,1.457310,1,0,0.658,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig,signed low7_high7:a*b,baugh_wooley_wallace_outside_hcla1+abc_g_aig,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/verilog/ex263_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/aigs/ex263_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig.aig,1,1,1,362,25,9050,6840,1.323099,1,0,0.539,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_outside_hcla1_wreduce_abc_g_aig,signed low7_high7:a*b,baugh_wooley_wallace_outside_hcla1+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/verilog/ex263_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/aigs/ex263_smul_baugh_wooley_wallace_outside_hcla1_wreduce_abc_g_aig.aig,1,1,1,362,25,9050,6840,1.323099,1,0,0.553,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11,signed low7_high7:a*b,baugh_wooley_wallace_outside_hcla1+synth_preset_d11,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/verilog/ex263_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/aigs/ex263_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11.aig,1,1,1,362,24,8688,6840,1.270175,1,0,0.656,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=synth_preset_d11
ex263,ex263_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d13,signed low7_high7:a*b,baugh_wooley_wallace_outside_hcla1+synth_preset_d13,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/verilog/ex263_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_unsigned_core_highcorr_20260609_0654/ex263/aigs/ex263_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d13.aig,1,1,1,362,24,8688,6840,1.270175,1,0,1.340,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=synth_preset_d13
