case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,notes
ex275,ex275_isqrt_bdd_outside_synth_preset,unsigned_floor_isqrt,bdd_outside+synth_preset,student/work/ex275_ex279_frontend_isqrt_cofbdd_lowtarget_20260609_1551/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex279_frontend_isqrt_cofbdd_lowtarget_20260609_1551/ex275/aigs/ex275_isqrt_bdd_outside_synth_preset.aig,42,8,336,204,1.647059,0,0,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=synth_preset
ex276,ex276_isqrt_cofbdd4_reverse_abc_g_aig,unsigned_floor_isqrt,cofbdd4_reverse+abc_g_aig,student/work/ex275_ex279_frontend_isqrt_cofbdd_lowtarget_20260609_1551/ex276/verilog/ex276_isqrt_cofbdd4_reverse.v,student/work/ex275_ex279_frontend_isqrt_cofbdd_lowtarget_20260609_1551/ex276/aigs/ex276_isqrt_cofbdd4_reverse_abc_g_aig.aig,114,10,1140,632,1.803797,0,0,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=cofbdd4_reverse; flow=abc_g_aig
ex277,ex277_isqrt_cofbdd4_reverse_synth_preset,unsigned_floor_isqrt,cofbdd4_reverse+synth_preset,student/work/ex275_ex279_frontend_isqrt_cofbdd_lowtarget_20260609_1551/ex277/verilog/ex277_isqrt_cofbdd4_reverse.v,student/work/ex275_ex279_frontend_isqrt_cofbdd_lowtarget_20260609_1551/ex277/aigs/ex277_isqrt_cofbdd4_reverse_synth_preset.aig,237,12,2844,1980,1.436364,1,0,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 4096 inputs; source=cofbdd4_reverse; flow=synth_preset
ex278,ex278_isqrt_prefix5_range_synth_preset,unsigned_floor_isqrt,prefix5_range+synth_preset,student/work/ex275_ex279_frontend_isqrt_cofbdd_lowtarget_20260609_1551/ex278/verilog/ex278_isqrt_prefix5_range.v,student/work/ex275_ex279_frontend_isqrt_cofbdd_lowtarget_20260609_1551/ex278/aigs/ex278_isqrt_prefix5_range_synth_preset.aig,502,14,7028,5198,1.352058,1,0,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 16384 inputs; source=prefix5_range; flow=synth_preset
ex279,ex279_isqrt_cofbdd4_reverse_synth_preset,unsigned_floor_isqrt,cofbdd4_reverse+synth_preset,student/work/ex275_ex279_frontend_isqrt_cofbdd_lowtarget_20260609_1551/ex279/verilog/ex279_isqrt_cofbdd4_reverse.v,student/work/ex275_ex279_frontend_isqrt_cofbdd_lowtarget_20260609_1551/ex279/aigs/ex279_isqrt_cofbdd4_reverse_synth_preset.aig,1020,18,18360,10952,1.676406,0,0,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 65536 inputs; source=cofbdd4_reverse; flow=synth_preset
