case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_baugh_wooley_wallace_rhcla3_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rhcla3+abc_g_aig,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex260/verilog/ex260_smul_baugh_wooley_wallace_rhcla3.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex260/aigs/ex260_smul_baugh_wooley_wallace_rhcla3_abc_g_aig.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.210,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rhcla3; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rhcla3_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rhcla3+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex260/verilog/ex260_smul_baugh_wooley_wallace_rhcla3.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex260/aigs/ex260_smul_baugh_wooley_wallace_rhcla3_wreduce_abc_g_aig.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.215,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rhcla3; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rhcla3_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_rhcla3+synth_preset_d13,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex260/verilog/ex260_smul_baugh_wooley_wallace_rhcla3.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex260/aigs/ex260_smul_baugh_wooley_wallace_rhcla3_synth_preset_d13.aig,1,1,1,90,14,1260,657,1.917808,0,0,0.249,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rhcla3; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rhcla4_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rhcla4+abc_g_aig,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex260/verilog/ex260_smul_baugh_wooley_wallace_rhcla4.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex260/aigs/ex260_smul_baugh_wooley_wallace_rhcla4_abc_g_aig.aig,1,1,1,92,13,1196,657,1.820396,0,0,0.210,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rhcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rhcla4_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rhcla4+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex260/verilog/ex260_smul_baugh_wooley_wallace_rhcla4.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex260/aigs/ex260_smul_baugh_wooley_wallace_rhcla4_wreduce_abc_g_aig.aig,1,1,1,92,13,1196,657,1.820396,0,0,0.209,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rhcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rhcla4_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_rhcla4+synth_preset_d13,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex260/verilog/ex260_smul_baugh_wooley_wallace_rhcla4.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex260/aigs/ex260_smul_baugh_wooley_wallace_rhcla4_synth_preset_d13.aig,1,1,1,90,14,1260,657,1.917808,0,0,0.253,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rhcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rhcla5_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rhcla5+abc_g_aig,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex260/verilog/ex260_smul_baugh_wooley_wallace_rhcla5.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex260/aigs/ex260_smul_baugh_wooley_wallace_rhcla5_abc_g_aig.aig,1,1,1,89,16,1424,657,2.167428,0,0,0.196,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rhcla5; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rhcla5_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rhcla5+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex260/verilog/ex260_smul_baugh_wooley_wallace_rhcla5.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex260/aigs/ex260_smul_baugh_wooley_wallace_rhcla5_wreduce_abc_g_aig.aig,1,1,1,89,16,1424,657,2.167428,0,0,0.199,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rhcla5; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rhcla5_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_rhcla5+synth_preset_d13,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex260/verilog/ex260_smul_baugh_wooley_wallace_rhcla5.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex260/aigs/ex260_smul_baugh_wooley_wallace_rhcla5_synth_preset_d13.aig,1,1,1,89,16,1424,657,2.167428,0,0,0.241,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rhcla5; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rpfx6_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rpfx6+abc_g_aig,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex260/verilog/ex260_smul_baugh_wooley_wallace_rpfx6.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex260/aigs/ex260_smul_baugh_wooley_wallace_rpfx6_abc_g_aig.aig,1,1,1,89,16,1424,657,2.167428,0,0,0.196,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rpfx6; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rpfx6_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rpfx6+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex260/verilog/ex260_smul_baugh_wooley_wallace_rpfx6.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex260/aigs/ex260_smul_baugh_wooley_wallace_rpfx6_wreduce_abc_g_aig.aig,1,1,1,89,16,1424,657,2.167428,0,0,0.198,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rpfx6; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rpfx6_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_rpfx6+synth_preset_d13,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex260/verilog/ex260_smul_baugh_wooley_wallace_rpfx6.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex260/aigs/ex260_smul_baugh_wooley_wallace_rpfx6_synth_preset_d13.aig,1,1,1,89,16,1424,657,2.167428,0,0,0.240,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rpfx6; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+abc_g_aig,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,1,1,1,92,13,1196,657,1.820396,0,0,0.237,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig
