case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex261,ex261_smul_baugh_wooley_wallace_rhcla4_wreduce_abc_g_aig,1,167,19,3173,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/aigs/ex261_smul_baugh_wooley_wallace_rhcla4_wreduce_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rhcla4; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_rhcla4_synth_preset_d13,1,161,20,3220,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/aigs/ex261_smul_baugh_wooley_wallace_rhcla4_synth_preset_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rhcla4; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_rhcla5_abc_g_aig,1,164,18,2952,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/aigs/ex261_smul_baugh_wooley_wallace_rhcla5_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rhcla5; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_rhcla5_wreduce_abc_g_aig,1,164,18,2952,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/aigs/ex261_smul_baugh_wooley_wallace_rhcla5_wreduce_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rhcla5; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_rhcla5_synth_preset_d13,1,164,18,2952,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/aigs/ex261_smul_baugh_wooley_wallace_rhcla5_synth_preset_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rhcla5; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_rpfx6_abc_g_aig,1,156,21,3276,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/aigs/ex261_smul_baugh_wooley_wallace_rpfx6_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rpfx6; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_rpfx6_wreduce_abc_g_aig,1,156,21,3276,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/aigs/ex261_smul_baugh_wooley_wallace_rpfx6_wreduce_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rpfx6; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_rpfx6_synth_preset_d13,1,156,21,3276,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/aigs/ex261_smul_baugh_wooley_wallace_rpfx6_synth_preset_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rpfx6; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig,1,164,18,2952,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig,1,164,18,2952,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d13,1,164,18,2952,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_pfx6_abc_g_aig,1,156,21,3276,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx6_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx6; flow=abc_g_aig
