case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_baugh_wooley_wallace4_rev_hcla4_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace4_rev_hcla4+abc_g_aig,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/verilog/ex260_smul_baugh_wooley_wallace4_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/aigs/ex260_smul_baugh_wooley_wallace4_rev_hcla4_abc_g_aig.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.228,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace4_rev_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace4_rev_hcla4_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace4_rev_hcla4+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/verilog/ex260_smul_baugh_wooley_wallace4_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/aigs/ex260_smul_baugh_wooley_wallace4_rev_hcla4_wreduce_abc_g_aig.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.219,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace4_rev_hcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace4_rev_hcla4_synth_preset_d11,signed low4_high4:a*b,baugh_wooley_wallace4_rev_hcla4+synth_preset_d11,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/verilog/ex260_smul_baugh_wooley_wallace4_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/aigs/ex260_smul_baugh_wooley_wallace4_rev_hcla4_synth_preset_d11.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.305,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace4_rev_hcla4; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace4_rev_hcla4_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace4_rev_hcla4+synth_preset_d13,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/verilog/ex260_smul_baugh_wooley_wallace4_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/aigs/ex260_smul_baugh_wooley_wallace4_rev_hcla4_synth_preset_d13.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.302,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace4_rev_hcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace4_outside_hcla1_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace4_outside_hcla1+abc_g_aig,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/verilog/ex260_smul_baugh_wooley_wallace4_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/aigs/ex260_smul_baugh_wooley_wallace4_outside_hcla1_abc_g_aig.aig,1,1,1,96,13,1248,657,1.899543,0,0,0.221,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace4_outside_hcla1; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace4_outside_hcla1_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace4_outside_hcla1+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/verilog/ex260_smul_baugh_wooley_wallace4_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/aigs/ex260_smul_baugh_wooley_wallace4_outside_hcla1_wreduce_abc_g_aig.aig,1,1,1,94,14,1316,657,2.003044,0,0,0.250,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace4_outside_hcla1; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace4_outside_hcla1_synth_preset_d11,signed low4_high4:a*b,baugh_wooley_wallace4_outside_hcla1+synth_preset_d11,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/verilog/ex260_smul_baugh_wooley_wallace4_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/aigs/ex260_smul_baugh_wooley_wallace4_outside_hcla1_synth_preset_d11.aig,1,1,1,94,14,1316,657,2.003044,0,0,0.287,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace4_outside_hcla1; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace4_outside_hcla1_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace4_outside_hcla1+synth_preset_d13,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/verilog/ex260_smul_baugh_wooley_wallace4_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/aigs/ex260_smul_baugh_wooley_wallace4_outside_hcla1_synth_preset_d13.aig,1,1,1,94,14,1316,657,2.003044,0,0,0.287,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace4_outside_hcla1; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace4_outside_hcla2_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace4_outside_hcla2+abc_g_aig,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/verilog/ex260_smul_baugh_wooley_wallace4_outside_hcla2.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/aigs/ex260_smul_baugh_wooley_wallace4_outside_hcla2_abc_g_aig.aig,1,1,1,96,13,1248,657,1.899543,0,0,0.259,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace4_outside_hcla2; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace4_outside_hcla2_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace4_outside_hcla2+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/verilog/ex260_smul_baugh_wooley_wallace4_outside_hcla2.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/aigs/ex260_smul_baugh_wooley_wallace4_outside_hcla2_wreduce_abc_g_aig.aig,1,1,1,96,13,1248,657,1.899543,0,0,0.228,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace4_outside_hcla2; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace4_outside_hcla2_synth_preset_d11,signed low4_high4:a*b,baugh_wooley_wallace4_outside_hcla2+synth_preset_d11,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/verilog/ex260_smul_baugh_wooley_wallace4_outside_hcla2.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/aigs/ex260_smul_baugh_wooley_wallace4_outside_hcla2_synth_preset_d11.aig,1,1,1,93,13,1209,657,1.840183,0,0,0.266,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace4_outside_hcla2; flow=synth_preset_d11
