case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex273,ex273_square_hybrid_bddtop2_hcla0_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_hcla0+abc_g_aig,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop2_hcla0.v,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop2_hcla0_abc_g_aig.aig,1,1,1,738,39,28782,15078,1.908874,0,0,0.825,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_hcla0; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop2_hcla0_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_hcla0+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop2_hcla0.v,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop2_hcla0_wreduce_abc_g_aig.aig,1,1,1,738,39,28782,15078,1.908874,0,0,0.844,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_hcla0; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_bddtop2_hcla0_synth_preset,unsigned_square_x_times_x,hybrid_bddtop2_hcla0+synth_preset,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop2_hcla0.v,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop2_hcla0_synth_preset.aig,1,1,1,718,44,31592,15078,2.095238,0,0,1.004,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_hcla0; flow=synth_preset
ex273,ex273_square_hybrid_bddtop2_hcla4_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_hcla4+abc_g_aig,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop2_hcla4.v,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop2_hcla4_abc_g_aig.aig,1,1,1,725,45,32625,15078,2.163749,0,0,0.832,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_hcla4; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop2_hcla4_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_hcla4+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop2_hcla4.v,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop2_hcla4_wreduce_abc_g_aig.aig,1,1,1,725,45,32625,15078,2.163749,0,0,0.872,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_hcla4; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_bddtop2_hcla4_synth_preset,unsigned_square_x_times_x,hybrid_bddtop2_hcla4+synth_preset,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop2_hcla4.v,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop2_hcla4_synth_preset.aig,1,1,1,723,49,35427,15078,2.349582,0,0,1.027,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_hcla4; flow=synth_preset
ex273,ex273_square_hybrid_bddtop2_hcla8_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_hcla8+abc_g_aig,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop2_hcla8.v,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop2_hcla8_abc_g_aig.aig,1,1,1,728,44,32032,15078,2.124420,0,0,0.845,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_hcla8; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop2_hcla8_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_hcla8+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop2_hcla8.v,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop2_hcla8_wreduce_abc_g_aig.aig,1,1,1,729,44,32076,15078,2.127338,0,0,0.848,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_hcla8; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_bddtop2_hcla8_synth_preset,unsigned_square_x_times_x,hybrid_bddtop2_hcla8+synth_preset,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop2_hcla8.v,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop2_hcla8_synth_preset.aig,1,1,1,725,48,34800,15078,2.307998,0,0,1.031,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_hcla8; flow=synth_preset
ex273,ex273_square_hybrid_bddtop3_hcla4_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop3_hcla4+abc_g_aig,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop3_hcla4.v,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop3_hcla4_abc_g_aig.aig,1,1,1,756,42,31752,15078,2.105850,0,0,0.821,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop3_hcla4; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop3_hcla4_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop3_hcla4+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop3_hcla4.v,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop3_hcla4_wreduce_abc_g_aig.aig,1,1,1,757,42,31794,15078,2.108635,0,0,0.844,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop3_hcla4; flow=wreduce_abc_g_aig
