case,candidate_id,evaluate_status,equivalent,area,delay,adp,verilog_path,aig_path,log_path,agent_id,notes,status,output_dir,evaluate_log,runtime_sec,shard_csv,domain,method_signature
ex223,ex223_r69_low11_hi5_manual15_14_compact_special_abc_g_aig,,,10733,19,203927,,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp16-int-source-r69/ex223/aigs/ex223_r69_low11_hi5_manual15_14_compact_special_abc_g_aig.aig,,sub-fp16-int-source-r69,official evaluate.py equivalent,OK,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp16-int-source-r69/ex223/official_eval/ex223_r69_low11_hi5_manual15_14_compact_special_abc_g_aig,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp16-int-source-r69/ex223/logs/ex223_r69_low11_hi5_manual15_14_compact_special_abc_g_aig.evaluate.py.log,1.405,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp16-int-source-r69/evaluation_results.csv,,
ex225,ex225_r69_low12_hi5_manual15_14_13_compact_special_abc_g_aig,,,11550,19,219450,,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp16-int-source-r69/ex225/aigs/ex225_r69_low12_hi5_manual15_14_13_compact_special_abc_g_aig.aig,,sub-fp16-int-source-r69,official evaluate.py equivalent,OK,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp16-int-source-r69/ex225/official_eval/ex225_r69_low12_hi5_manual15_14_13_compact_special_abc_g_aig,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp16-int-source-r69/ex225/logs/ex225_r69_low12_hi5_manual15_14_13_compact_special_abc_g_aig.evaluate.py.log,1.319,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp16-int-source-r69/evaluation_results.csv,,
ex260,ex260_r69_signed_weighted_rows_abc_g_aig,,,104,15,1560,,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp16-int-source-r69/ex260/aigs/ex260_r69_signed_weighted_rows_abc_g_aig.aig,,sub-fp16-int-source-r69,official evaluate.py equivalent,OK,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp16-int-source-r69/ex260/official_eval/ex260_r69_signed_weighted_rows_abc_g_aig,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp16-int-source-r69/ex260/logs/ex260_r69_signed_weighted_rows_abc_g_aig.evaluate.py.log,0.153,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp16-int-source-r69/evaluation_results.csv,,
ex266,ex266_r69_onehot_interval_quotient_abc_g_aig,,,705,25,17625,,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp16-int-source-r69/ex266/aigs/ex266_r69_onehot_interval_quotient_abc_g_aig.aig,,sub-fp16-int-source-r69,official evaluate.py equivalent,OK,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp16-int-source-r69/ex266/official_eval/ex266_r69_onehot_interval_quotient_abc_g_aig,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp16-int-source-r69/ex266/logs/ex266_r69_onehot_interval_quotient_abc_g_aig.evaluate.py.log,0.151,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp16-int-source-r69/evaluation_results.csv,,
ex260,ex260_r69_mined_current_bw_rev_hcla4,,,88,13,1144,,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp16-int-source-r69/ex260/aigs/ex260_r69_mined_current_bw_rev_hcla4.aig,,sub-fp16-int-source-r69,official evaluate.py equivalent,OK,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp16-int-source-r69/ex260/official_eval/ex260_r69_mined_current_bw_rev_hcla4,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp16-int-source-r69/ex260/logs/ex260_r69_mined_current_bw_rev_hcla4.evaluate.py.log,0.153,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp16-int-source-r69/evaluation_results.csv,,
ex240,ex240_r69_current_best_copy_signmag,,1,650,46,29900,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-mid-source-r69/ex240/verilog/ex240_r69_current_best_copy_signmag.v,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-mid-source-r69/ex240/aigs/ex240_r69_current_best_copy_signmag.aig,,sub-fp8-mid-source-r69,official evaluate.py OK,,,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-mid-source-r69/ex240/logs/ex240_r69_current_best_copy_signmag.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-mid-source-r69/evaluation_results.csv,float_fp8,
ex241,ex241_r69_current_best_copy_nested_exp,,1,554,30,16620,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-mid-source-r69/ex241/verilog/ex241_r69_current_best_copy_nested_exp.v,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-mid-source-r69/ex241/aigs/ex241_r69_current_best_copy_nested_exp.aig,,sub-fp8-mid-source-r69,official evaluate.py OK,,,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-mid-source-r69/ex241/logs/ex241_r69_current_best_copy_nested_exp.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-mid-source-r69/evaluation_results.csv,float_fp8,
ex242,ex242_r69_current_best_copy_sparse_clean,,1,1309,20,26180,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-mid-source-r69/ex242/verilog/ex242_r69_current_best_copy_sparse_clean.v,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-mid-source-r69/ex242/aigs/ex242_r69_current_best_copy_sparse_clean.aig,,sub-fp8-mid-source-r69,official evaluate.py OK,,,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-mid-source-r69/ex242/logs/ex242_r69_current_best_copy_sparse_clean.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-mid-source-r69/evaluation_results.csv,float_fp8,
ex245,ex245_r69_current_best_copy_active_table_mux,,1,726,36,26136,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-mid-source-r69/ex245/verilog/ex245_r69_current_best_copy_active_table_mux.v,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-mid-source-r69/ex245/aigs/ex245_r69_current_best_copy_active_table_mux.aig,,sub-fp8-mid-source-r69,official evaluate.py OK,,,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-mid-source-r69/ex245/logs/ex245_r69_current_best_copy_active_table_mux.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-mid-source-r69/evaluation_results.csv,float_fp8,
ex244,ex244_r69_manual_increment_bdd_synth_preset_aig,OK,1,304,38,11552,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex244/verilog/ex244_r69_manual_increment_bdd.v,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex244/aigs/ex244_r69_manual_increment_bdd_synth_preset_aig.aig,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex244/logs/ex244_r69_manual_increment_bdd.evaluate.py.log,sub-fp8-worst-source-r69,official evaluate.py OK; frontend/source-only Yosys synth_preset_aig,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/evaluation_results.csv,,
