case,candidate_id,simulator,status,vector_count,log_path,agent_id,notes,shard_csv,domain,simulation_pass
ex223,,not_run,not_run,,,sub-fp16-int-source-r69,No iverilog debug needed; candidates are truth-derived or semantic-guarded and officially checked with evaluate.py.,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp16-int-source-r69/simulation_results.csv,,
ex225,,not_run,not_run,,,sub-fp16-int-source-r69,No iverilog debug needed; candidates are truth-derived or semantic-guarded and officially checked with evaluate.py.,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp16-int-source-r69/simulation_results.csv,,
ex260,,not_run,not_run,,,sub-fp16-int-source-r69,No iverilog debug needed; candidates are truth-derived or semantic-guarded and officially checked with evaluate.py.,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp16-int-source-r69/simulation_results.csv,,
ex266,,not_run,not_run,,,sub-fp16-int-source-r69,No iverilog debug needed; candidates are truth-derived or semantic-guarded and officially checked with evaluate.py.,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp16-int-source-r69/simulation_results.csv,,
ex240,ex240_r69_current_best_copy_signmag,,,,,sub-fp8-mid-source-r69,iverilog not used; official evaluate.py row produced,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-mid-source-r69/simulation_results.csv,float_fp8,not_run
ex241,ex241_r69_current_best_copy_nested_exp,,,,,sub-fp8-mid-source-r69,iverilog not used; official evaluate.py row produced,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-mid-source-r69/simulation_results.csv,float_fp8,not_run
ex242,ex242_r69_current_best_copy_sparse_clean,,,,,sub-fp8-mid-source-r69,iverilog not used; official evaluate.py row produced,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-mid-source-r69/simulation_results.csv,float_fp8,not_run
ex245,ex245_r69_current_best_copy_active_table_mux,,,,,sub-fp8-mid-source-r69,iverilog not used; official evaluate.py row produced,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-mid-source-r69/simulation_results.csv,float_fp8,not_run
ex244,ex244_r69_manual_increment_bdd_synth_preset_aig,not_run,not_run,0,,sub-fp8-worst-source-r69,debug simulation skipped; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/simulation_results.csv,,
ex244,ex244_r69_explicit_sat_bdd_synth_preset_aig,not_run,not_run,0,,sub-fp8-worst-source-r69,debug simulation skipped; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/simulation_results.csv,,
ex246,ex246_r69_product_selected_outputs_synth_preset_aig,not_run,not_run,0,,sub-fp8-worst-source-r69,debug simulation skipped; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/simulation_results.csv,,
ex246,ex246_r69_predecoded_product_zero_synth_preset_aig,not_run,not_run,0,,sub-fp8-worst-source-r69,debug simulation skipped; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/simulation_results.csv,,
ex247,ex247_r69_lowpat_boolean_synth_preset_aig,not_run,not_run,0,,sub-fp8-worst-source-r69,debug simulation skipped; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/simulation_results.csv,,
ex247,ex247_r69_lowpat_boolean_assign_synth_preset_aig,not_run,not_run,0,,sub-fp8-worst-source-r69,debug simulation skipped; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/simulation_results.csv,,
ex249,ex249_r69_split_gap_delta_synth_preset_aig,not_run,not_run,0,,sub-fp8-worst-source-r69,debug simulation skipped; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/simulation_results.csv,,
ex249,ex249_r69_manual_sat_increment_synth_preset_aig,not_run,not_run,0,,sub-fp8-worst-source-r69,debug simulation skipped; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/simulation_results.csv,,
ex244,ex244_r69_gapmask_delta_select,not_run,not_run,0,,sub-fp8-worst-source-r69,debug simulation skipped; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/simulation_results.csv,,
ex246,ex246_r69_product_zero_select,not_run,not_run,0,,sub-fp8-worst-source-r69,debug simulation skipped; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/simulation_results.csv,,
ex247,ex247_r69_ternary_region_mux,not_run,not_run,0,,sub-fp8-worst-source-r69,debug simulation skipped; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/simulation_results.csv,,
ex249,ex249_r69_gap_split_delta_select,not_run,not_run,0,,sub-fp8-worst-source-r69,debug simulation skipped; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/simulation_results.csv,,
ex244,ex244_r69_copyfact_gap_delta,not_run,not_run,0,,sub-fp8-worst-source-r69,debug simulation skipped; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/simulation_results.csv,,
ex246,ex246_r69_copyfact_product_sign,not_run,not_run,0,,sub-fp8-worst-source-r69,debug simulation skipped; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/simulation_results.csv,,
ex247,ex247_r69_copyfact_region_select,not_run,not_run,0,,sub-fp8-worst-source-r69,debug simulation skipped; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/simulation_results.csv,,
ex249,ex249_r69_copyfact_active_delta,not_run,not_run,0,,sub-fp8-worst-source-r69,debug simulation skipped; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/simulation_results.csv,,
ex285,ex285_r69_copy_preserve_decision_tree,,,,,sub-unknown-source-r69,skipped; official evaluate.py CEC is the required authority,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-unknown-source-r69/simulation_results.csv,unknown,not_run
ex285,ex285_r69_route_state_selected_residual,,,,,sub-unknown-source-r69,skipped; official evaluate.py CEC is the required authority,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-unknown-source-r69/simulation_results.csv,unknown,not_run
ex288,ex288_r69_copy_preserve_keybdd_selected,,,,,sub-unknown-source-r69,skipped; official evaluate.py CEC is the required authority,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-unknown-source-r69/simulation_results.csv,unknown,not_run
ex288,ex288_r69_route_state_selected_residual,,,,,sub-unknown-source-r69,skipped; official evaluate.py CEC is the required authority,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-unknown-source-r69/simulation_results.csv,unknown,not_run
