case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex273,ex273_square_hybrid_cmptop6_trunc_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_cmptop6_trunc+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex273/verilog/ex273_square_hybrid_cmptop6_trunc.v,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex273/aigs/ex273_square_hybrid_cmptop6_trunc_wreduce_abc_g_aig.aig,1,1,1,1017,32,32544,15078,2.158376,0,0,1.253,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_cmptop6_trunc; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_cmptop6_trunc_synth_preset,unsigned_square_x_times_x,hybrid_cmptop6_trunc+synth_preset,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex273/verilog/ex273_square_hybrid_cmptop6_trunc.v,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex273/aigs/ex273_square_hybrid_cmptop6_trunc_synth_preset.aig,1,1,1,1048,31,32488,15078,2.154662,0,0,1.420,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_cmptop6_trunc; flow=synth_preset
ex273,ex273_square_hybrid_cmptop6_trunc_synth_preset_d20,unsigned_square_x_times_x,hybrid_cmptop6_trunc+synth_preset_d20,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex273/verilog/ex273_square_hybrid_cmptop6_trunc.v,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex273/aigs/ex273_square_hybrid_cmptop6_trunc_synth_preset_d20.aig,1,1,1,1048,31,32488,15078,2.154662,0,0,1.427,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_cmptop6_trunc; flow=synth_preset_d20
ex274,ex274_square_hybrid_cmptop1_trunc_abc_g_aig,unsigned_square_x_times_x,hybrid_cmptop1_trunc+abc_g_aig,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex274/verilog/ex274_square_hybrid_cmptop1_trunc.v,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex274/aigs/ex274_square_hybrid_cmptop1_trunc_abc_g_aig.aig,1,1,1,985,44,43340,21630,2.003699,0,0,3.489,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_cmptop1_trunc; flow=abc_g_aig
ex274,ex274_square_hybrid_cmptop1_trunc_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_cmptop1_trunc+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex274/verilog/ex274_square_hybrid_cmptop1_trunc.v,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex274/aigs/ex274_square_hybrid_cmptop1_trunc_wreduce_abc_g_aig.aig,1,1,1,980,44,43120,21630,1.993528,0,0,3.532,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_cmptop1_trunc; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_cmptop1_trunc_synth_preset,unsigned_square_x_times_x,hybrid_cmptop1_trunc+synth_preset,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex274/verilog/ex274_square_hybrid_cmptop1_trunc.v,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex274/aigs/ex274_square_hybrid_cmptop1_trunc_synth_preset.aig,1,1,1,982,44,43208,21630,1.997596,0,0,3.709,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_cmptop1_trunc; flow=synth_preset
ex274,ex274_square_hybrid_cmptop1_trunc_synth_preset_d20,unsigned_square_x_times_x,hybrid_cmptop1_trunc+synth_preset_d20,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex274/verilog/ex274_square_hybrid_cmptop1_trunc.v,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex274/aigs/ex274_square_hybrid_cmptop1_trunc_synth_preset_d20.aig,1,1,1,982,44,43208,21630,1.997596,0,0,3.710,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_cmptop1_trunc; flow=synth_preset_d20
ex274,ex274_square_hybrid_cmptop2_trunc_abc_g_aig,unsigned_square_x_times_x,hybrid_cmptop2_trunc+abc_g_aig,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex274/verilog/ex274_square_hybrid_cmptop2_trunc.v,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex274/aigs/ex274_square_hybrid_cmptop2_trunc_abc_g_aig.aig,1,1,1,986,42,41412,21630,1.914563,0,0,4.150,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_cmptop2_trunc; flow=abc_g_aig
ex274,ex274_square_hybrid_cmptop2_trunc_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_cmptop2_trunc+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex274/verilog/ex274_square_hybrid_cmptop2_trunc.v,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex274/aigs/ex274_square_hybrid_cmptop2_trunc_wreduce_abc_g_aig.aig,1,1,1,988,42,41496,21630,1.918447,0,0,3.921,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_cmptop2_trunc; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_cmptop2_trunc_synth_preset,unsigned_square_x_times_x,hybrid_cmptop2_trunc+synth_preset,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex274/verilog/ex274_square_hybrid_cmptop2_trunc.v,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex274/aigs/ex274_square_hybrid_cmptop2_trunc_synth_preset.aig,1,1,1,988,42,41496,21630,1.918447,0,0,3.701,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_cmptop2_trunc; flow=synth_preset
