case,candidate_id,equivalent,area,delay,adp,notes
ex289,ex289_unknown_duality_symcof_split2_f00_bits_0_1_12_13_onehot_group,1,1097,21,23037,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_f00_bits_0_1_12_13_onehot_global,1,1097,21,23037,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_f00_bits_0_1_12_13_case_group,1,1116,21,23436,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_f00_bits_0_1_12_13_case_global,1,1116,21,23436,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_f00_bits_0_1_12_13_tree_group,1,1166,24,27984,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_f00_bits_0_1_12_13_tree_global,1,1166,24,27984,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_onehot_group,1,1114,21,23394,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_onehot_global,1,1114,21,23394,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_case_group,1,1100,21,23100,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_case_global,1,1100,21,23100,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_tree_group,1,1151,23,26473,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_tree_global,1,1151,23,26473,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_reverse_f00_bits_0_1_12_13_onehot_group,1,1199,24,28776,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_reverse_f00_bits_0_1_12_13_onehot_global,1,1199,24,28776,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_reverse_f00_bits_0_1_12_13_case_group,1,1194,24,28656,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_reverse_f00_bits_0_1_12_13_case_global,1,1194,24,28656,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_reverse_f00_bits_0_1_12_13_tree_group,1,1242,28,34776,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_reverse_f00_bits_0_1_12_13_tree_global,1,1242,28,34776,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_reverse_f10_bits_0_1_12_13_onehot_group,1,1201,22,26422,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_reverse_f10_bits_0_1_12_13_onehot_global,1,1201,22,26422,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_reverse_f10_bits_0_1_12_13_case_group,1,1199,23,27577,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_reverse_f10_bits_0_1_12_13_case_global,1,1199,23,27577,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_reverse_f10_bits_0_1_12_13_tree_group,1,1249,25,31225,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_reverse_f10_bits_0_1_12_13_tree_global,1,1249,25,31225,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_natural_f00_bits_0_1_12_13_onehot_group,1,1774,22,39028,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_natural_f00_bits_0_1_12_13_onehot_global,1,1774,22,39028,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_natural_f00_bits_0_1_12_13_case_group,1,1819,22,40018,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_natural_f00_bits_0_1_12_13_case_global,1,1819,22,40018,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_natural_f00_bits_0_1_12_13_tree_group,1,1890,25,47250,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_natural_f00_bits_0_1_12_13_tree_global,1,1890,25,47250,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_natural_f10_bits_0_1_12_13_onehot_group,1,2038,24,48912,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_natural_f10_bits_0_1_12_13_onehot_global,1,2038,24,48912,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_natural_f10_bits_0_1_12_13_case_group,1,2060,24,49440,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_natural_f10_bits_0_1_12_13_case_global,1,2060,24,49440,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_natural_f10_bits_0_1_12_13_tree_group,1,2131,27,57537,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_natural_f10_bits_0_1_12_13_tree_global,1,2131,27,57537,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_sym_first_f00_bits_0_1_12_13_onehot_group,1,2190,21,45990,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_sym_first_f00_bits_0_1_12_13_onehot_global,1,2190,21,45990,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_sym_first_f00_bits_0_1_12_13_case_group,1,2228,22,49016,unknown duality-wrapped symmetry cofactor seed
ex289,ex289_unknown_duality_symcof_split2_sym_first_f00_bits_0_1_12_13_case_global,1,2228,22,49016,unknown duality-wrapped symmetry cofactor seed
