case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex289,ex289_unknown_duality_half_bdd_order_0_1_2_3_4_5_6_7_8_9_10_11_12_13_14,unknown_duality_half_bdd,order_0_1_2_3_4_5_6_7_8_9_10_11_12_13_14,student/work/ex289_frontend_duality_half_bdd_20260609_1048/ex289/verilog/ex289_unknown_duality_half_bdd_order_0_1_2_3_4_5_6_7_8_9_10_11_12_13_14.v,student/work/ex289_frontend_duality_half_bdd_20260609_1048/ex289/aigs/ex289_unknown_duality_half_bdd_order_0_1_2_3_4_5_6_7_8_9_10_11_12_13_14.aig,1,1,1,5834,28,163352,11.419,duality=f(~x)=~reverse(f(x)); half_width=15; order=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14; bdd_nodes=3752,unknown duality half-BDD Verilog seed
ex289,ex289_unknown_duality_half_bdd_order_14_13_12_11_10_9_8_7_6_5_4_3_2_1_0,unknown_duality_half_bdd,order_14_13_12_11_10_9_8_7_6_5_4_3_2_1_0,student/work/ex289_frontend_duality_half_bdd_20260609_1048/ex289/verilog/ex289_unknown_duality_half_bdd_order_14_13_12_11_10_9_8_7_6_5_4_3_2_1_0.v,student/work/ex289_frontend_duality_half_bdd_20260609_1048/ex289/aigs/ex289_unknown_duality_half_bdd_order_14_13_12_11_10_9_8_7_6_5_4_3_2_1_0.aig,1,1,1,17650,29,511850,17.415,duality=f(~x)=~reverse(f(x)); half_width=15; order=14:13:12:11:10:9:8:7:6:5:4:3:2:1:0; bdd_nodes=11260,unknown duality half-BDD Verilog seed
ex289,ex289_unknown_duality_half_bdd_order_0_14_1_13_2_12_3_11_4_10_5_9_6_8_7,unknown_duality_half_bdd,order_0_14_1_13_2_12_3_11_4_10_5_9_6_8_7,student/work/ex289_frontend_duality_half_bdd_20260609_1048/ex289/verilog/ex289_unknown_duality_half_bdd_order_0_14_1_13_2_12_3_11_4_10_5_9_6_8_7.v,student/work/ex289_frontend_duality_half_bdd_20260609_1048/ex289/aigs/ex289_unknown_duality_half_bdd_order_0_14_1_13_2_12_3_11_4_10_5_9_6_8_7.aig,1,1,1,1415,27,38205,7.676,duality=f(~x)=~reverse(f(x)); half_width=15; order=0:14:1:13:2:12:3:11:4:10:5:9:6:8:7; bdd_nodes=753,unknown duality half-BDD Verilog seed
ex289,ex289_unknown_duality_half_bdd_order_0_1_12_13_2_14_3_11_4_5_6_7_8_9_10,unknown_duality_half_bdd,order_0_1_12_13_2_14_3_11_4_5_6_7_8_9_10,student/work/ex289_frontend_duality_half_bdd_20260609_1048/ex289/verilog/ex289_unknown_duality_half_bdd_order_0_1_12_13_2_14_3_11_4_5_6_7_8_9_10.v,student/work/ex289_frontend_duality_half_bdd_20260609_1048/ex289/aigs/ex289_unknown_duality_half_bdd_order_0_1_12_13_2_14_3_11_4_5_6_7_8_9_10.aig,1,1,1,1176,24,28224,7.599,duality=f(~x)=~reverse(f(x)); half_width=15; order=0:1:12:13:2:14:3:11:4:5:6:7:8:9:10; bdd_nodes=681,unknown duality half-BDD Verilog seed
