case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex280,ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic,unknown_quadratic_compressor,prefix_parity_reduce_full_clamp_basic,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex280/verilog/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.v,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex280/aigs/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.aig,1,1,1,162,31,5022,1.069,transform=prefix_parity_reduce; coord_mode=full_clamp; style=basic; coord_width=17; candidate_basis=2062; raw_pair_terms=156; selected_terms=42; unique_products=37; compound_products=12; linear_forms=23; terms_by_bit=1:3:2:2:2:2:2:3:7:6:5:7; hash=f51186a27d5b,unknown quadratic shared-compressor Verilog seed
ex280,ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_basic,unknown_quadratic_compressor,prefix_parity_reduce_full_clamp_simplified_basic,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex280/verilog/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_basic.v,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex280/aigs/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_basic.aig,1,1,1,171,31,5301,1.030,transform=prefix_parity_reduce; coord_mode=full_clamp_simplified; style=basic; coord_width=17; candidate_basis=2062; raw_pair_terms=156; selected_terms=42; unique_products=37; compound_products=12; linear_forms=23; terms_by_bit=1:3:2:2:2:2:2:3:7:6:5:7; hash=03fb5c01014e,unknown quadratic shared-compressor Verilog seed
ex280,ex280_unknown_quadratic_compressor_prefix_parity_full_clamp_basic,unknown_quadratic_compressor,prefix_parity_full_clamp_basic,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex280/verilog/ex280_unknown_quadratic_compressor_prefix_parity_full_clamp_basic.v,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex280/aigs/ex280_unknown_quadratic_compressor_prefix_parity_full_clamp_basic.aig,1,1,1,174,31,5394,1.037,transform=prefix_parity; coord_mode=full_clamp; style=basic; coord_width=17; candidate_basis=2062; raw_pair_terms=156; selected_terms=42; unique_products=37; compound_products=12; linear_forms=23; terms_by_bit=1:3:2:2:2:2:2:3:7:6:5:7; hash=b720aa9e1954,unknown quadratic shared-compressor Verilog seed
ex280,ex280_unknown_quadratic_compressor_prefix_parity_full_clamp_simplified_basic,unknown_quadratic_compressor,prefix_parity_full_clamp_simplified_basic,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex280/verilog/ex280_unknown_quadratic_compressor_prefix_parity_full_clamp_simplified_basic.v,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex280/aigs/ex280_unknown_quadratic_compressor_prefix_parity_full_clamp_simplified_basic.aig,1,1,1,174,31,5394,1.028,transform=prefix_parity; coord_mode=full_clamp_simplified; style=basic; coord_width=17; candidate_basis=2062; raw_pair_terms=156; selected_terms=42; unique_products=37; compound_products=12; linear_forms=23; terms_by_bit=1:3:2:2:2:2:2:3:7:6:5:7; hash=ebaa4526d453,unknown quadratic shared-compressor Verilog seed
ex281,ex281_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic,unknown_quadratic_compressor,prefix_parity_reduce_full_clamp_basic,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex281/verilog/ex281_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.v,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex281/aigs/ex281_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.aig,1,1,1,176,34,5984,1.710,transform=prefix_parity_reduce; coord_mode=full_clamp; style=basic; coord_width=18; candidate_basis=2636; raw_pair_terms=181; selected_terms=44; unique_products=39; compound_products=13; linear_forms=25; terms_by_bit=1:3:2:2:2:2:2:2:3:7:6:5:7; hash=f91b9f5aebda,unknown quadratic shared-compressor Verilog seed
ex281,ex281_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_basic,unknown_quadratic_compressor,prefix_parity_reduce_full_clamp_simplified_basic,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex281/verilog/ex281_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_basic.v,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex281/aigs/ex281_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_basic.aig,1,1,1,190,34,6460,1.688,transform=prefix_parity_reduce; coord_mode=full_clamp_simplified; style=basic; coord_width=18; candidate_basis=2636; raw_pair_terms=181; selected_terms=44; unique_products=39; compound_products=13; linear_forms=25; terms_by_bit=1:3:2:2:2:2:2:2:3:7:6:5:7; hash=74a15dcbee0d,unknown quadratic shared-compressor Verilog seed
ex281,ex281_unknown_quadratic_compressor_prefix_parity_full_clamp_basic,unknown_quadratic_compressor,prefix_parity_full_clamp_basic,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex281/verilog/ex281_unknown_quadratic_compressor_prefix_parity_full_clamp_basic.v,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex281/aigs/ex281_unknown_quadratic_compressor_prefix_parity_full_clamp_basic.aig,1,1,1,182,33,6006,1.718,transform=prefix_parity; coord_mode=full_clamp; style=basic; coord_width=18; candidate_basis=2636; raw_pair_terms=181; selected_terms=44; unique_products=39; compound_products=13; linear_forms=25; terms_by_bit=1:3:2:2:2:2:2:2:3:7:6:5:7; hash=84460cc9d69a,unknown quadratic shared-compressor Verilog seed
ex281,ex281_unknown_quadratic_compressor_prefix_parity_full_clamp_simplified_basic,unknown_quadratic_compressor,prefix_parity_full_clamp_simplified_basic,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex281/verilog/ex281_unknown_quadratic_compressor_prefix_parity_full_clamp_simplified_basic.v,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex281/aigs/ex281_unknown_quadratic_compressor_prefix_parity_full_clamp_simplified_basic.aig,1,1,1,198,33,6534,1.692,transform=prefix_parity; coord_mode=full_clamp_simplified; style=basic; coord_width=18; candidate_basis=2636; raw_pair_terms=181; selected_terms=44; unique_products=39; compound_products=13; linear_forms=25; terms_by_bit=1:3:2:2:2:2:2:2:3:7:6:5:7; hash=aa20a199abf1,unknown quadratic shared-compressor Verilog seed
ex282,ex282_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic,unknown_quadratic_compressor,prefix_parity_reduce_full_clamp_basic,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex282/verilog/ex282_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.v,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex282/aigs/ex282_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.aig,1,1,1,203,35,7105,3.026,transform=prefix_parity_reduce; coord_mode=full_clamp; style=basic; coord_width=19; candidate_basis=3311; raw_pair_terms=208; selected_terms=46; unique_products=41; compound_products=14; linear_forms=27; terms_by_bit=1:3:2:2:2:2:2:2:2:3:7:6:5:7; hash=f626a524a892,unknown quadratic shared-compressor Verilog seed
ex282,ex282_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_basic,unknown_quadratic_compressor,prefix_parity_reduce_full_clamp_simplified_basic,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex282/verilog/ex282_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_basic.v,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex282/aigs/ex282_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_basic.aig,1,1,1,205,36,7380,3.005,transform=prefix_parity_reduce; coord_mode=full_clamp_simplified; style=basic; coord_width=19; candidate_basis=3311; raw_pair_terms=208; selected_terms=46; unique_products=41; compound_products=14; linear_forms=27; terms_by_bit=1:3:2:2:2:2:2:2:2:3:7:6:5:7; hash=21cdfb424fc5,unknown quadratic shared-compressor Verilog seed
ex282,ex282_unknown_quadratic_compressor_prefix_parity_full_clamp_basic,unknown_quadratic_compressor,prefix_parity_full_clamp_basic,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex282/verilog/ex282_unknown_quadratic_compressor_prefix_parity_full_clamp_basic.v,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex282/aigs/ex282_unknown_quadratic_compressor_prefix_parity_full_clamp_basic.aig,1,1,1,195,36,7020,3.002,transform=prefix_parity; coord_mode=full_clamp; style=basic; coord_width=19; candidate_basis=3311; raw_pair_terms=208; selected_terms=46; unique_products=41; compound_products=14; linear_forms=27; terms_by_bit=1:3:2:2:2:2:2:2:2:3:7:6:5:7; hash=f819726111b0,unknown quadratic shared-compressor Verilog seed
