case,output_bit,input_width,output_width,field_count,fields,max_subset,best_subset,best_subset_size,best_conflicts,best_match,best_keys,total_rows,small_exact,greedy_subset,greedy_subset_size,greedy_conflicts,greedy_match,greedy_keys
ex286,0,13,13,11,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7:sel0_raw3:sel1_raw10:sel2_xor6_7,5,cnt1:cnt2:cnt3:cnt4:cnt5,5,3251,5981,72,8192,0,cnt5:cnt6:sel0_raw3:cnt0:cnt2:sel2_xor6_7:cnt7:cnt3:cnt4:cnt1:sel1_raw10,11,0,8192,4608
ex286,1,13,13,11,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7:sel0_raw3:sel1_raw10:sel2_xor6_7,5,cnt1:cnt2:cnt3:cnt4:cnt5,5,3000,6366,72,8192,0,cnt0:cnt2:cnt3:cnt1:cnt4:cnt5:sel0_raw3:sel1_raw10:cnt6:cnt7:sel2_xor6_7,11,0,8192,4608
ex286,2,13,13,11,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7:sel0_raw3:sel1_raw10:sel2_xor6_7,5,cnt0:cnt1:cnt2:cnt3:cnt4,5,2478,6414,72,8192,0,cnt1:cnt4:sel1_raw10:cnt3:cnt2:cnt0:cnt5:sel0_raw3:cnt6:cnt7:sel2_xor6_7,11,0,8192,4608
ex286,3,13,13,11,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7:sel0_raw3:sel1_raw10:sel2_xor6_7,5,cnt0:cnt1:cnt2:cnt3:cnt4,5,2652,6522,72,8192,0,sel1_raw10:cnt3:cnt0:cnt6:cnt5:cnt4:cnt1:cnt2:sel0_raw3:cnt7:sel2_xor6_7,11,0,8192,4608
ex286,4,13,13,11,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7:sel0_raw3:sel1_raw10:sel2_xor6_7,5,cnt1:cnt2:cnt3:cnt4:cnt5,5,2999,5941,72,8192,0,cnt5:cnt6:cnt0:sel0_raw3:sel2_xor6_7:cnt7:cnt2:cnt3:sel1_raw10:cnt4:cnt1,11,0,8192,4608
ex286,5,13,13,11,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7:sel0_raw3:sel1_raw10:sel2_xor6_7,5,cnt1:cnt3:cnt4:cnt6:sel1_raw10,5,2752,6544,96,8192,0,cnt6:cnt7:cnt3:cnt0:sel1_raw10:cnt4:cnt1:sel0_raw3:sel2_xor6_7,9,0,8192,1152
ex286,6,13,13,11,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7:sel0_raw3:sel1_raw10:sel2_xor6_7,5,cnt1:cnt3:cnt4:cnt6:sel1_raw10,5,2752,6544,96,8192,0,cnt6:cnt7:cnt3:cnt0:sel1_raw10:cnt4:cnt1:sel0_raw3:sel2_xor6_7,9,0,8192,1152
ex286,7,13,13,11,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7:sel0_raw3:sel1_raw10:sel2_xor6_7,5,cnt1:cnt3:cnt4:cnt6:sel1_raw10,5,2752,6544,96,8192,0,cnt6:cnt3:cnt7:cnt0:sel1_raw10:cnt4:cnt1:sel0_raw3:sel2_xor6_7,9,0,8192,1152
ex286,8,13,13,11,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7:sel0_raw3:sel1_raw10:sel2_xor6_7,5,cnt1:cnt2:cnt3:cnt4:cnt5,5,3045,5975,72,8192,0,cnt5:cnt6:cnt0:sel0_raw3:sel2_xor6_7:cnt7:cnt2:cnt3:cnt4:cnt1:sel1_raw10,11,0,8192,4608
ex286,9,13,13,11,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7:sel0_raw3:sel1_raw10:sel2_xor6_7,5,cnt1:cnt2:cnt3:cnt4:cnt5,5,3000,6366,72,8192,0,sel1_raw10:cnt3:cnt0:sel0_raw3:cnt1:cnt4:cnt2:cnt5:cnt6:cnt7:sel2_xor6_7,11,0,8192,4608
ex286,10,13,13,11,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7:sel0_raw3:sel1_raw10:sel2_xor6_7,5,cnt0:cnt1:cnt2:cnt3:cnt4,5,3422,6414,72,8192,0,sel1_raw10:cnt3:cnt0:cnt1:cnt4:cnt2:cnt5:sel0_raw3:cnt6:cnt7:sel2_xor6_7,11,0,8192,4608
ex286,11,13,13,11,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7:sel0_raw3:sel1_raw10:sel2_xor6_7,5,cnt0:cnt1:cnt2:cnt3:cnt4,5,3188,6522,72,8192,0,sel1_raw10:cnt3:cnt0:cnt6:cnt5:cnt4:cnt1:cnt2:sel0_raw3:cnt7:sel2_xor6_7,11,0,8192,4608
