case,candidate_id,area,delay,adp,reference_adp,adp_ratio_to_reference,current_best_adp,delta_vs_current,beats_current,variant,items,notes
ex280,ex280_prefix_parity_reduce_full_clamp_grouped_direct_deg2_abc_g_aig,223,26,5798,2415,2.400828,5460,338,0,abc_g_aig,,Yosys abc gate set aig
ex284,ex284_prefix_parity_reduce_full_clamp_grouped_balanced_deg2_abc_g_aig,309,37,11433,4240,2.696462,9139,2294,0,abc_g_aig,,Yosys abc gate set aig
