case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex261,ex261_smul_baugh_wooley_wallace_plus_abc_g_aig,1,156,21,3276,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/aigs/ex261_smul_baugh_wooley_wallace_plus_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_plus; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_plus_wreduce_abc_g_aig,1,156,21,3276,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/aigs/ex261_smul_baugh_wooley_wallace_plus_wreduce_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_plus; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_plus_synth_preset_d13,1,163,20,3260,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/aigs/ex261_smul_baugh_wooley_wallace_plus_synth_preset_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_plus; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_plus_synth_preset_d18,1,163,20,3260,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/aigs/ex261_smul_baugh_wooley_wallace_plus_synth_preset_d18.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_plus; flow=synth_preset_d18
ex264,ex264_smul_baugh_wooley_wallace_hcla4_abc_g_aig,1,488,28,13664,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex264/aigs/ex264_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig,1,489,28,13692,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex264/aigs/ex264_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_hcla4; flow=wreduce_abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_hcla4_synth_preset_d13,1,489,27,13203,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex264/aigs/ex264_smul_baugh_wooley_wallace_hcla4_synth_preset_d13.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d13
ex264,ex264_smul_baugh_wooley_wallace_hcla4_synth_preset_d18,1,489,27,13203,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex264/aigs/ex264_smul_baugh_wooley_wallace_hcla4_synth_preset_d18.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d18
ex264,ex264_smul_baugh_wooley_wallace_hcla6_abc_g_aig,1,491,28,13748,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex264/aigs/ex264_smul_baugh_wooley_wallace_hcla6_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_hcla6; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_hcla6_wreduce_abc_g_aig,1,491,28,13748,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex264/aigs/ex264_smul_baugh_wooley_wallace_hcla6_wreduce_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_hcla6; flow=wreduce_abc_g_aig
