case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex261,ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_hcla4+abc_g_aig,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla4.v,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,1,1,1,164,18,2952,2041,1.446350,1,0,0.242,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_hcla4+wreduce_abc_g_aig,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla4.v,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig.aig,1,1,1,164,18,2952,2041,1.446350,1,0,0.254,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_wallace_hcla4+synth_preset_d13,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla4.v,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d13.aig,1,1,1,164,18,2952,2041,1.446350,1,0,0.314,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d18,signed low5_high5:a*b,baugh_wooley_wallace_hcla4+synth_preset_d18,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla4.v,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d18.aig,1,1,1,164,18,2952,2041,1.446350,1,0,0.345,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d18
ex261,ex261_smul_baugh_wooley_wallace_hcla6_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_hcla6+abc_g_aig,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla6.v,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla6_abc_g_aig.aig,1,1,1,156,21,3276,2041,1.605096,0,0,0.228,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla6; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_hcla6_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_hcla6+wreduce_abc_g_aig,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla6.v,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla6_wreduce_abc_g_aig.aig,1,1,1,156,21,3276,2041,1.605096,0,0,0.230,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla6; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_hcla6_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_wallace_hcla6+synth_preset_d13,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla6.v,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla6_synth_preset_d13.aig,1,1,1,156,22,3432,2041,1.681529,0,0,0.270,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla6; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_hcla6_synth_preset_d18,signed low5_high5:a*b,baugh_wooley_wallace_hcla6+synth_preset_d18,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla6.v,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla6_synth_preset_d18.aig,1,1,1,156,22,3432,2041,1.681529,0,0,0.271,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla6; flow=synth_preset_d18
ex261,ex261_smul_baugh_wooley_wallace_hcla8_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_hcla8+abc_g_aig,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla8.v,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla8_abc_g_aig.aig,1,1,1,156,21,3276,2041,1.605096,0,0,0.220,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla8; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_hcla8_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_hcla8+wreduce_abc_g_aig,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla8.v,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla8_wreduce_abc_g_aig.aig,1,1,1,156,21,3276,2041,1.605096,0,0,0.260,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla8; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_hcla8_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_wallace_hcla8+synth_preset_d13,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla8.v,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla8_synth_preset_d13.aig,1,1,1,156,21,3276,2041,1.605096,0,0,0.271,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla8; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_hcla8_synth_preset_d18,signed low5_high5:a*b,baugh_wooley_wallace_hcla8+synth_preset_d18,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla8.v,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla8_synth_preset_d18.aig,1,1,1,156,21,3276,2041,1.605096,0,0,0.268,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla8; flow=synth_preset_d18
ex261,ex261_smul_baugh_wooley_wallace_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace+abc_g_aig,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/verilog/ex261_smul_baugh_wooley_wallace.v,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/aigs/ex261_smul_baugh_wooley_wallace_abc_g_aig.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.222,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace+wreduce_abc_g_aig,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/verilog/ex261_smul_baugh_wooley_wallace.v,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/aigs/ex261_smul_baugh_wooley_wallace_wreduce_abc_g_aig.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.247,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_wallace+synth_preset_d13,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/verilog/ex261_smul_baugh_wooley_wallace.v,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/aigs/ex261_smul_baugh_wooley_wallace_synth_preset_d13.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.281,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_synth_preset_d18,signed low5_high5:a*b,baugh_wooley_wallace+synth_preset_d18,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/verilog/ex261_smul_baugh_wooley_wallace.v,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/aigs/ex261_smul_baugh_wooley_wallace_synth_preset_d18.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.281,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace; flow=synth_preset_d18
ex261,ex261_smul_baugh_wooley_wallace_plus_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_plus+abc_g_aig,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/verilog/ex261_smul_baugh_wooley_wallace_plus.v,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/aigs/ex261_smul_baugh_wooley_wallace_plus_abc_g_aig.aig,1,1,1,156,21,3276,2041,1.605096,0,0,0.224,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_plus; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_plus_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_plus+wreduce_abc_g_aig,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/verilog/ex261_smul_baugh_wooley_wallace_plus.v,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/aigs/ex261_smul_baugh_wooley_wallace_plus_wreduce_abc_g_aig.aig,1,1,1,156,21,3276,2041,1.605096,0,0,0.225,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_plus; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_plus_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_wallace_plus+synth_preset_d13,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/verilog/ex261_smul_baugh_wooley_wallace_plus.v,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/aigs/ex261_smul_baugh_wooley_wallace_plus_synth_preset_d13.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.282,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_plus; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_plus_synth_preset_d18,signed low5_high5:a*b,baugh_wooley_wallace_plus+synth_preset_d18,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/verilog/ex261_smul_baugh_wooley_wallace_plus.v,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex261/aigs/ex261_smul_baugh_wooley_wallace_plus_synth_preset_d18.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.285,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_plus; flow=synth_preset_d18
ex264,ex264_smul_baugh_wooley_wallace_hcla4_abc_g_aig,signed low8_high8:a*b,baugh_wooley_wallace_hcla4+abc_g_aig,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex264/verilog/ex264_smul_baugh_wooley_wallace_hcla4.v,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex264/aigs/ex264_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,1,1,1,488,28,13664,9724,1.405183,1,0,1.810,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig,signed low8_high8:a*b,baugh_wooley_wallace_hcla4+wreduce_abc_g_aig,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex264/verilog/ex264_smul_baugh_wooley_wallace_hcla4.v,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex264/aigs/ex264_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig.aig,1,1,1,489,28,13692,9724,1.408063,1,0,1.817,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_hcla4; flow=wreduce_abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_hcla4_synth_preset_d13,signed low8_high8:a*b,baugh_wooley_wallace_hcla4+synth_preset_d13,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex264/verilog/ex264_smul_baugh_wooley_wallace_hcla4.v,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex264/aigs/ex264_smul_baugh_wooley_wallace_hcla4_synth_preset_d13.aig,1,1,1,489,27,13203,9724,1.357775,1,0,1.942,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d13
ex264,ex264_smul_baugh_wooley_wallace_hcla4_synth_preset_d18,signed low8_high8:a*b,baugh_wooley_wallace_hcla4+synth_preset_d18,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex264/verilog/ex264_smul_baugh_wooley_wallace_hcla4.v,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex264/aigs/ex264_smul_baugh_wooley_wallace_hcla4_synth_preset_d18.aig,1,1,1,489,27,13203,9724,1.357775,1,0,2.083,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d18
ex264,ex264_smul_baugh_wooley_wallace_hcla6_abc_g_aig,signed low8_high8:a*b,baugh_wooley_wallace_hcla6+abc_g_aig,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex264/verilog/ex264_smul_baugh_wooley_wallace_hcla6.v,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex264/aigs/ex264_smul_baugh_wooley_wallace_hcla6_abc_g_aig.aig,1,1,1,491,28,13748,9724,1.413821,1,0,1.820,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_hcla6; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_hcla6_wreduce_abc_g_aig,signed low8_high8:a*b,baugh_wooley_wallace_hcla6+wreduce_abc_g_aig,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex264/verilog/ex264_smul_baugh_wooley_wallace_hcla6.v,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex264/aigs/ex264_smul_baugh_wooley_wallace_hcla6_wreduce_abc_g_aig.aig,1,1,1,491,28,13748,9724,1.413821,1,0,1.823,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_hcla6; flow=wreduce_abc_g_aig
