case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,notes
ex265,ex265_udiv_bdd_greedy_interleave_msb_synth_preset,unsigned low4_high4:a/b dbz=max,bdd_greedy_interleave_msb+synth_preset,student/work/ex265_ex267_frontend_udiv_bdd_greedy_20260609_0845/ex265/verilog/ex265_udiv_bdd_greedy_interleave_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_greedy_20260609_0845/ex265/aigs/ex265_udiv_bdd_greedy_interleave_msb_synth_preset.aig,59,9,531,322,1.649068,0,0,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_greedy_interleave_msb; flow=synth_preset
ex266,ex266_udiv_bdd_greedy_interleave_msb_synth_preset,unsigned low5_high5:a/b dbz=max,bdd_greedy_interleave_msb+synth_preset,student/work/ex265_ex267_frontend_udiv_bdd_greedy_20260609_0845/ex266/verilog/ex266_udiv_bdd_greedy_interleave_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_greedy_20260609_0845/ex266/aigs/ex266_udiv_bdd_greedy_interleave_msb_synth_preset.aig,146,13,1898,848,2.238208,0,0,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_greedy_interleave_msb; flow=synth_preset
ex267,ex267_udiv_bdd_greedy_interleave_msb_abc_g_aig,unsigned low6_high6:a/b dbz=max,bdd_greedy_interleave_msb+abc_g_aig,student/work/ex265_ex267_frontend_udiv_bdd_greedy_20260609_0845/ex267/verilog/ex267_udiv_bdd_greedy_interleave_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_greedy_20260609_0845/ex267/aigs/ex267_udiv_bdd_greedy_interleave_msb_abc_g_aig.aig,329,16,5264,2651,1.985666,0,0,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_greedy_interleave_msb; flow=abc_g_aig
