case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex270,ex270_square_wallace_square_outside_csel3_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel3+abc_g_aig,student/work/ex270_ex274_square_carryselect2_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel3.v,student/work/ex270_ex274_square_carryselect2_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel3_abc_g_aig.aig,1,1,1,192,20,3840,2076,1.849711,0,0,0.262,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel3; flow=abc_g_aig
ex270,ex270_square_wallace_square_outside_csel3_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel3+wreduce_abc_g_aig,student/work/ex270_ex274_square_carryselect2_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel3.v,student/work/ex270_ex274_square_carryselect2_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel3_wreduce_abc_g_aig.aig,1,1,1,192,20,3840,2076,1.849711,0,0,0.272,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel3; flow=wreduce_abc_g_aig
ex270,ex270_square_wallace_square_outside_csel3_synth_preset,unsigned_square_x_times_x,wallace_square_outside_csel3+synth_preset,student/work/ex270_ex274_square_carryselect2_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel3.v,student/work/ex270_ex274_square_carryselect2_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel3_synth_preset.aig,1,1,1,188,19,3572,2076,1.720617,0,0,0.346,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel3; flow=synth_preset
ex270,ex270_square_wallace_square_outside_csel3_synth_preset_d20,unsigned_square_x_times_x,wallace_square_outside_csel3+synth_preset_d20,student/work/ex270_ex274_square_carryselect2_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel3.v,student/work/ex270_ex274_square_carryselect2_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel3_synth_preset_d20.aig,1,1,1,188,19,3572,2076,1.720617,0,0,0.347,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel3; flow=synth_preset_d20
ex270,ex270_square_wallace_square_outside_csel4_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel4+abc_g_aig,student/work/ex270_ex274_square_carryselect2_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel4.v,student/work/ex270_ex274_square_carryselect2_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel4_abc_g_aig.aig,1,1,1,193,20,3860,2076,1.859345,0,0,0.267,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel4; flow=abc_g_aig
ex270,ex270_square_wallace_square_outside_csel4_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel4+wreduce_abc_g_aig,student/work/ex270_ex274_square_carryselect2_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel4.v,student/work/ex270_ex274_square_carryselect2_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel4_wreduce_abc_g_aig.aig,1,1,1,193,20,3860,2076,1.859345,0,0,0.279,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel4; flow=wreduce_abc_g_aig
ex270,ex270_square_wallace_square_outside_csel4_synth_preset,unsigned_square_x_times_x,wallace_square_outside_csel4+synth_preset,student/work/ex270_ex274_square_carryselect2_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel4.v,student/work/ex270_ex274_square_carryselect2_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel4_synth_preset.aig,1,1,1,189,20,3780,2076,1.820809,0,0,0.352,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel4; flow=synth_preset
ex270,ex270_square_wallace_square_outside_csel4_synth_preset_d20,unsigned_square_x_times_x,wallace_square_outside_csel4+synth_preset_d20,student/work/ex270_ex274_square_carryselect2_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel4.v,student/work/ex270_ex274_square_carryselect2_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel4_synth_preset_d20.aig,1,1,1,189,20,3780,2076,1.820809,0,0,0.373,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel4; flow=synth_preset_d20
ex270,ex270_square_wallace_square_outside_csel5_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel5+abc_g_aig,student/work/ex270_ex274_square_carryselect2_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel5.v,student/work/ex270_ex274_square_carryselect2_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel5_abc_g_aig.aig,1,1,1,191,17,3247,2076,1.564066,0,0,0.252,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel5; flow=abc_g_aig
ex270,ex270_square_wallace_square_outside_csel5_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel5+wreduce_abc_g_aig,student/work/ex270_ex274_square_carryselect2_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel5.v,student/work/ex270_ex274_square_carryselect2_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel5_wreduce_abc_g_aig.aig,1,1,1,194,17,3298,2076,1.588632,0,0,0.272,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel5; flow=wreduce_abc_g_aig
ex270,ex270_square_wallace_square_outside_csel5_synth_preset,unsigned_square_x_times_x,wallace_square_outside_csel5+synth_preset,student/work/ex270_ex274_square_carryselect2_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel5.v,student/work/ex270_ex274_square_carryselect2_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel5_synth_preset.aig,1,1,1,191,17,3247,2076,1.564066,0,0,0.352,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel5; flow=synth_preset
