case,candidate_id,verified_truth,equivalent,area,delay,adp,verilog_path,aig_path,notes
ex280,ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg0_best_residual,1,1,703,36,25308,student/work/ex280_ex284_frontend_prefix_davio_20260608_2305/ex280/verilog/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg0_best_residual.v,student/work/ex280_ex284_frontend_prefix_davio_20260608_2305/ex280/aigs/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg0_best_residual.aig,unknown layered ANF/Davio Verilog seed
ex281,ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg0_best_residual,1,1,812,40,32480,student/work/ex280_ex284_frontend_prefix_davio_20260608_2305/ex281/verilog/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg0_best_residual.v,student/work/ex280_ex284_frontend_prefix_davio_20260608_2305/ex281/aigs/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg0_best_residual.aig,unknown layered ANF/Davio Verilog seed
ex282,ex282_unknown_layered_anf_davio_prefix_parity_reduce_deg0_best_residual,1,1,882,42,37044,student/work/ex280_ex284_frontend_prefix_davio_20260608_2305/ex282/verilog/ex282_unknown_layered_anf_davio_prefix_parity_reduce_deg0_best_residual.v,student/work/ex280_ex284_frontend_prefix_davio_20260608_2305/ex282/aigs/ex282_unknown_layered_anf_davio_prefix_parity_reduce_deg0_best_residual.aig,unknown layered ANF/Davio Verilog seed
ex283,ex283_unknown_layered_anf_davio_prefix_parity_reduce_deg0_best_residual,1,1,1049,46,48254,student/work/ex280_ex284_frontend_prefix_davio_20260608_2305/ex283/verilog/ex283_unknown_layered_anf_davio_prefix_parity_reduce_deg0_best_residual.v,student/work/ex280_ex284_frontend_prefix_davio_20260608_2305/ex283/aigs/ex283_unknown_layered_anf_davio_prefix_parity_reduce_deg0_best_residual.aig,unknown layered ANF/Davio Verilog seed
ex284,ex284_unknown_layered_anf_davio_prefix_parity_reduce_deg0_best_residual,1,1,1097,44,48268,student/work/ex280_ex284_frontend_prefix_davio_20260608_2305/ex284/verilog/ex284_unknown_layered_anf_davio_prefix_parity_reduce_deg0_best_residual.v,student/work/ex280_ex284_frontend_prefix_davio_20260608_2305/ex284/aigs/ex284_unknown_layered_anf_davio_prefix_parity_reduce_deg0_best_residual.aig,unknown layered ANF/Davio Verilog seed
