case,candidate_id,area,delay,adp,reference_adp,adp_ratio_to_reference,current_best_adp,delta_vs_current,beats_current,variant,items,notes
ex280,ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg0_best_residual,703,36,25308,2415,10.479503,17220,8088,0,prefix_parity_reduce_deg0_best_residual,transform=prefix_parity_reduce; threshold=0; order=center; direct_terms=0; residual_terms=932; direct_unique=0; residual_nodes_est=320; davio_nodes=556; hash=d72feb352a5c,unknown layered ANF/Davio Verilog seed
ex281,ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg0_best_residual,812,40,32480,2336,13.904110,20592,11888,0,prefix_parity_reduce_deg0_best_residual,transform=prefix_parity_reduce; threshold=0; order=center; direct_terms=0; residual_terms=1160; direct_unique=0; residual_nodes_est=389; davio_nodes=672; hash=9311aec3cd70,unknown layered ANF/Davio Verilog seed
ex282,ex282_unknown_layered_anf_davio_prefix_parity_reduce_deg0_best_residual,882,42,37044,2704,13.699704,28740,8304,0,prefix_parity_reduce_deg0_best_residual,transform=prefix_parity_reduce; threshold=0; order=center; direct_terms=0; residual_terms=1400; direct_unique=0; residual_nodes_est=408; davio_nodes=711; hash=50328cb75fff,unknown layered ANF/Davio Verilog seed
ex283,ex283_unknown_layered_anf_davio_prefix_parity_reduce_deg0_best_residual,1049,46,48254,3168,15.231692,34317,13937,0,prefix_parity_reduce_deg0_best_residual,transform=prefix_parity_reduce; threshold=0; order=center; direct_terms=0; residual_terms=1676; direct_unique=0; residual_nodes_est=485; davio_nodes=841; hash=80da87858c2b,unknown layered ANF/Davio Verilog seed
ex284,ex284_unknown_layered_anf_davio_prefix_parity_reduce_deg0_best_residual,1097,44,48268,4240,11.383962,42624,5644,0,prefix_parity_reduce_deg0_best_residual,transform=prefix_parity_reduce; threshold=0; order=center; direct_terms=0; residual_terms=1964; direct_unique=0; residual_nodes_est=500; davio_nodes=874; hash=32f13aacf77e,unknown layered ANF/Davio Verilog seed
