case,variant,matches,total_rows,match_ratio,bit_mismatches,total_bits,bit_match_ratio,notes
ex286,interval_superpose_or,142,8192,0.017334,47670,106496,0.552378,diagnostic-only semantic model
ex286,interval_superpose_xor,142,8192,0.017334,48378,106496,0.545729,diagnostic-only semantic model
ex286,mul_1,82,8192,0.010010,47686,106496,0.552227,diagnostic-only semantic model
ex286,rev_mul_1,82,8192,0.010010,47686,106496,0.552227,diagnostic-only semantic model
ex286,comb_step_-1_rd1_ro1,54,8192,0.006592,47718,106496,0.551927,diagnostic-only semantic model
ex286,rotl_5,50,8192,0.006104,47544,106496,0.553561,diagnostic-only semantic model
ex286,comb_step_-1_rd1_ro0,49,8192,0.005981,47704,106496,0.552058,diagnostic-only semantic model
ex286,comb_step_-1_rd0_ro0,43,8192,0.005249,48992,106496,0.539964,diagnostic-only semantic model
ex286,rotl_1,40,8192,0.004883,47984,106496,0.549429,diagnostic-only semantic model
ex286,rotl_4,39,8192,0.004761,49028,106496,0.539626,diagnostic-only semantic model
ex286,comb_step_6_rd1_ro1,37,8192,0.004517,48074,106496,0.548584,diagnostic-only semantic model
ex286,comb_step_-7_rd0_ro0,37,8192,0.004517,49008,106496,0.539814,diagnostic-only semantic model
ex286,rotl_2,37,8192,0.004517,49350,106496,0.536602,diagnostic-only semantic model
ex286,comb_step_1_rd1_ro1,36,8192,0.004395,47872,106496,0.550481,diagnostic-only semantic model
ex286,comb_step_-3_rd1_ro1,36,8192,0.004395,47898,106496,0.550237,diagnostic-only semantic model
ex286,comb_step_-7_rd1_ro1,36,8192,0.004395,47962,106496,0.549636,diagnostic-only semantic model
ex286,comb_step_1_rd0_ro0,36,8192,0.004395,49334,106496,0.536753,diagnostic-only semantic model
ex286,comb_step_-6_rd1_ro1,35,8192,0.004272,47752,106496,0.551608,diagnostic-only semantic model
ex286,rotl_6,35,8192,0.004272,48668,106496,0.543006,diagnostic-only semantic model
ex286,comb_step_-4_rd1_ro0,34,8192,0.004150,47566,106496,0.553354,diagnostic-only semantic model
ex286,comb_step_-7_rd1_ro0,34,8192,0.004150,47754,106496,0.551589,diagnostic-only semantic model
ex286,rotl_7,33,8192,0.004028,49580,106496,0.534443,diagnostic-only semantic model
