case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex266,ex266_udiv_ex266_cof_bhi1_a4_bitbdd_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi1_a4_bitbdd+abc_g_aig,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/verilog/ex266_udiv_ex266_cof_bhi1_a4_bitbdd.v,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/aigs/ex266_udiv_ex266_cof_bhi1_a4_bitbdd_abc_g_aig.aig,1,1,1,153,12,1836,848,2.165094,0,0,0.236,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi1_a4_bitbdd; flow=abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi1_a4_bitbdd_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi1_a4_bitbdd+wreduce_abc_g_aig,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/verilog/ex266_udiv_ex266_cof_bhi1_a4_bitbdd.v,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/aigs/ex266_udiv_ex266_cof_bhi1_a4_bitbdd_wreduce_abc_g_aig.aig,1,1,1,153,12,1836,848,2.165094,0,0,0.242,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi1_a4_bitbdd; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi1_a4_bitbdd_synth_preset,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi1_a4_bitbdd+synth_preset,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/verilog/ex266_udiv_ex266_cof_bhi1_a4_bitbdd.v,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/aigs/ex266_udiv_ex266_cof_bhi1_a4_bitbdd_synth_preset.aig,1,1,1,150,12,1800,848,2.122642,0,0,0.314,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi1_a4_bitbdd; flow=synth_preset
ex266,ex266_udiv_ex266_cof_bhi1_a4_bitbdd_synth_preset_d8,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi1_a4_bitbdd+synth_preset_d8,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/verilog/ex266_udiv_ex266_cof_bhi1_a4_bitbdd.v,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/aigs/ex266_udiv_ex266_cof_bhi1_a4_bitbdd_synth_preset_d8.aig,1,1,1,150,12,1800,848,2.122642,0,0,0.311,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi1_a4_bitbdd; flow=synth_preset_d8
ex266,ex266_udiv_ex266_cof_bhi1_a4_bitbdd_synth_preset_d10,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi1_a4_bitbdd+synth_preset_d10,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/verilog/ex266_udiv_ex266_cof_bhi1_a4_bitbdd.v,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/aigs/ex266_udiv_ex266_cof_bhi1_a4_bitbdd_synth_preset_d10.aig,1,1,1,150,12,1800,848,2.122642,0,0,0.313,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi1_a4_bitbdd; flow=synth_preset_d10
ex266,ex266_udiv_ex266_cof_bhi1_a4_bitbdd_synth_preset_d12,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi1_a4_bitbdd+synth_preset_d12,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/verilog/ex266_udiv_ex266_cof_bhi1_a4_bitbdd.v,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/aigs/ex266_udiv_ex266_cof_bhi1_a4_bitbdd_synth_preset_d12.aig,1,1,1,150,12,1800,848,2.122642,0,0,0.310,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi1_a4_bitbdd; flow=synth_preset_d12
ex266,ex266_udiv_ex266_cof_bhi2_a4_bitbdd_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a4_bitbdd+abc_g_aig,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a4_bitbdd.v,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_abc_g_aig.aig,1,1,1,152,11,1672,848,1.971698,0,0,0.242,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a4_bitbdd; flow=abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a4_bitbdd+wreduce_abc_g_aig,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a4_bitbdd.v,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wreduce_abc_g_aig.aig,1,1,1,152,11,1672,848,1.971698,0,0,0.271,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a4_bitbdd; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi2_a4_bitbdd_synth_preset,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a4_bitbdd+synth_preset,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a4_bitbdd.v,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_synth_preset.aig,1,1,1,152,12,1824,848,2.150943,0,0,0.317,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a4_bitbdd; flow=synth_preset
ex266,ex266_udiv_ex266_cof_bhi2_a4_bitbdd_synth_preset_d8,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a4_bitbdd+synth_preset_d8,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a4_bitbdd.v,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_synth_preset_d8.aig,1,1,1,152,12,1824,848,2.150943,0,0,0.341,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a4_bitbdd; flow=synth_preset_d8
ex266,ex266_udiv_ex266_cof_bhi2_a4_bitbdd_synth_preset_d10,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a4_bitbdd+synth_preset_d10,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a4_bitbdd.v,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_synth_preset_d10.aig,1,1,1,152,12,1824,848,2.150943,0,0,0.345,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a4_bitbdd; flow=synth_preset_d10
