case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex266,ex266_udiv_ex266_cof_bhi1_a4_bitbdd_abc_g_aig,1,153,12,1836,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/aigs/ex266_udiv_ex266_cof_bhi1_a4_bitbdd_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi1_a4_bitbdd; flow=abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi1_a4_bitbdd_wreduce_abc_g_aig,1,153,12,1836,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/aigs/ex266_udiv_ex266_cof_bhi1_a4_bitbdd_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi1_a4_bitbdd; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi1_a4_bitbdd_synth_preset,1,150,12,1800,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/aigs/ex266_udiv_ex266_cof_bhi1_a4_bitbdd_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi1_a4_bitbdd; flow=synth_preset
ex266,ex266_udiv_ex266_cof_bhi1_a4_bitbdd_synth_preset_d8,1,150,12,1800,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/aigs/ex266_udiv_ex266_cof_bhi1_a4_bitbdd_synth_preset_d8.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi1_a4_bitbdd; flow=synth_preset_d8
ex266,ex266_udiv_ex266_cof_bhi1_a4_bitbdd_synth_preset_d10,1,150,12,1800,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/aigs/ex266_udiv_ex266_cof_bhi1_a4_bitbdd_synth_preset_d10.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi1_a4_bitbdd; flow=synth_preset_d10
ex266,ex266_udiv_ex266_cof_bhi1_a4_bitbdd_synth_preset_d12,1,150,12,1800,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/aigs/ex266_udiv_ex266_cof_bhi1_a4_bitbdd_synth_preset_d12.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi1_a4_bitbdd; flow=synth_preset_d12
ex266,ex266_udiv_ex266_cof_bhi2_a4_bitbdd_abc_g_aig,1,152,11,1672,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a4_bitbdd; flow=abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wreduce_abc_g_aig,1,152,11,1672,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a4_bitbdd; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi2_a4_bitbdd_synth_preset,1,152,12,1824,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a4_bitbdd; flow=synth_preset
ex266,ex266_udiv_ex266_cof_bhi2_a4_bitbdd_synth_preset_d8,1,152,12,1824,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_synth_preset_d8.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a4_bitbdd; flow=synth_preset_d8
ex266,ex266_udiv_ex266_cof_bhi2_a4_bitbdd_synth_preset_d10,1,152,12,1824,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_synth_preset_d10.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a4_bitbdd; flow=synth_preset_d10
ex266,ex266_udiv_ex266_cof_bhi2_a4_bitbdd_synth_preset_d12,1,152,12,1824,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_synth_preset_d12.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a4_bitbdd; flow=synth_preset_d12
ex266,ex266_udiv_ex266_cof_bhi2_a43_bitbdd_abc_g_aig,1,155,12,1860,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a43_bitbdd_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a43_bitbdd; flow=abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi2_a43_bitbdd_wreduce_abc_g_aig,1,155,12,1860,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a43_bitbdd_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a43_bitbdd; flow=wreduce_abc_g_aig
ex266,ex266_udiv_ex266_cof_bhi2_a43_bitbdd_synth_preset,1,152,11,1672,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a43_bitbdd_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a43_bitbdd; flow=synth_preset
ex266,ex266_udiv_ex266_cof_bhi2_a43_bitbdd_synth_preset_d8,1,152,11,1672,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a43_bitbdd_synth_preset_d8.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a43_bitbdd; flow=synth_preset_d8
ex266,ex266_udiv_ex266_cof_bhi2_a43_bitbdd_synth_preset_d10,1,152,11,1672,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a43_bitbdd_synth_preset_d10.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a43_bitbdd; flow=synth_preset_d10
ex266,ex266_udiv_ex266_cof_bhi2_a43_bitbdd_synth_preset_d12,1,152,11,1672,student/work/ex266_frontend_udiv_cofactor_mixed_selector_20260609_1108/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a43_bitbdd_synth_preset_d12.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a43_bitbdd; flow=synth_preset_d12
