case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex276,ex276_isqrt_mix_p4_p5_p5b0_abc_g_aig,unsigned_floor_isqrt,mix_p4_p5_p5b0+abc_g_aig,student/work/ex276_frontend_isqrt_mixed_prefix_bits_20260609_1656/ex276/verilog/ex276_isqrt_mix_p4_p5_p5b0.v,student/work/ex276_frontend_isqrt_mixed_prefix_bits_20260609_1656/ex276/aigs/ex276_isqrt_mix_p4_p5_p5b0_abc_g_aig.aig,1,1,1,123,12,1476,632,2.335443,0,0,0.285,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=mix_p4_p5_p5b0; flow=abc_g_aig
ex276,ex276_isqrt_mix_p4_p5_p5b0_wreduce_abc_g_aig,unsigned_floor_isqrt,mix_p4_p5_p5b0+wreduce_abc_g_aig,student/work/ex276_frontend_isqrt_mixed_prefix_bits_20260609_1656/ex276/verilog/ex276_isqrt_mix_p4_p5_p5b0.v,student/work/ex276_frontend_isqrt_mixed_prefix_bits_20260609_1656/ex276/aigs/ex276_isqrt_mix_p4_p5_p5b0_wreduce_abc_g_aig.aig,1,1,1,125,10,1250,632,1.977848,0,0,0.283,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=mix_p4_p5_p5b0; flow=wreduce_abc_g_aig
ex276,ex276_isqrt_mix_p4_p5_p5b0_arith_wreduce_aig,unsigned_floor_isqrt,mix_p4_p5_p5b0+arith_wreduce_aig,student/work/ex276_frontend_isqrt_mixed_prefix_bits_20260609_1656/ex276/verilog/ex276_isqrt_mix_p4_p5_p5b0.v,student/work/ex276_frontend_isqrt_mixed_prefix_bits_20260609_1656/ex276/aigs/ex276_isqrt_mix_p4_p5_p5b0_arith_wreduce_aig.aig,1,1,1,128,12,1536,632,2.430380,0,0,0.287,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=mix_p4_p5_p5b0; flow=arith_wreduce_aig
ex276,ex276_isqrt_mix_p4_p5_p5b0_synth_preset,unsigned_floor_isqrt,mix_p4_p5_p5b0+synth_preset,student/work/ex276_frontend_isqrt_mixed_prefix_bits_20260609_1656/ex276/verilog/ex276_isqrt_mix_p4_p5_p5b0.v,student/work/ex276_frontend_isqrt_mixed_prefix_bits_20260609_1656/ex276/aigs/ex276_isqrt_mix_p4_p5_p5b0_synth_preset.aig,1,1,1,130,10,1300,632,2.056962,0,0,0.357,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=mix_p4_p5_p5b0; flow=synth_preset
ex276,ex276_isqrt_mix_p4_p5_p5b0_synth_preset_d6,unsigned_floor_isqrt,mix_p4_p5_p5b0+synth_preset_d6,student/work/ex276_frontend_isqrt_mixed_prefix_bits_20260609_1656/ex276/verilog/ex276_isqrt_mix_p4_p5_p5b0.v,student/work/ex276_frontend_isqrt_mixed_prefix_bits_20260609_1656/ex276/aigs/ex276_isqrt_mix_p4_p5_p5b0_synth_preset_d6.aig,1,1,1,130,10,1300,632,2.056962,0,0,0.357,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=mix_p4_p5_p5b0; flow=synth_preset_d6
ex276,ex276_isqrt_mix_p4_p5_p5b0_synth_preset_d8,unsigned_floor_isqrt,mix_p4_p5_p5b0+synth_preset_d8,student/work/ex276_frontend_isqrt_mixed_prefix_bits_20260609_1656/ex276/verilog/ex276_isqrt_mix_p4_p5_p5b0.v,student/work/ex276_frontend_isqrt_mixed_prefix_bits_20260609_1656/ex276/aigs/ex276_isqrt_mix_p4_p5_p5b0_synth_preset_d8.aig,1,1,1,130,10,1300,632,2.056962,0,0,0.356,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=mix_p4_p5_p5b0; flow=synth_preset_d8
ex276,ex276_isqrt_mix_p4_p5_p5b0_synth_preset_d10,unsigned_floor_isqrt,mix_p4_p5_p5b0+synth_preset_d10,student/work/ex276_frontend_isqrt_mixed_prefix_bits_20260609_1656/ex276/verilog/ex276_isqrt_mix_p4_p5_p5b0.v,student/work/ex276_frontend_isqrt_mixed_prefix_bits_20260609_1656/ex276/aigs/ex276_isqrt_mix_p4_p5_p5b0_synth_preset_d10.aig,1,1,1,130,10,1300,632,2.056962,0,0,0.354,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=mix_p4_p5_p5b0; flow=synth_preset_d10
ex276,ex276_isqrt_mix_p4_p5_p5b1_abc_g_aig,unsigned_floor_isqrt,mix_p4_p5_p5b1+abc_g_aig,student/work/ex276_frontend_isqrt_mixed_prefix_bits_20260609_1656/ex276/verilog/ex276_isqrt_mix_p4_p5_p5b1.v,student/work/ex276_frontend_isqrt_mixed_prefix_bits_20260609_1656/ex276/aigs/ex276_isqrt_mix_p4_p5_p5b1_abc_g_aig.aig,1,1,1,113,12,1356,632,2.145570,0,0,0.286,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=mix_p4_p5_p5b1; flow=abc_g_aig
ex276,ex276_isqrt_mix_p4_p5_p5b1_wreduce_abc_g_aig,unsigned_floor_isqrt,mix_p4_p5_p5b1+wreduce_abc_g_aig,student/work/ex276_frontend_isqrt_mixed_prefix_bits_20260609_1656/ex276/verilog/ex276_isqrt_mix_p4_p5_p5b1.v,student/work/ex276_frontend_isqrt_mixed_prefix_bits_20260609_1656/ex276/aigs/ex276_isqrt_mix_p4_p5_p5b1_wreduce_abc_g_aig.aig,1,1,1,129,12,1548,632,2.449367,0,0,0.291,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=mix_p4_p5_p5b1; flow=wreduce_abc_g_aig
ex276,ex276_isqrt_mix_p4_p5_p5b1_arith_wreduce_aig,unsigned_floor_isqrt,mix_p4_p5_p5b1+arith_wreduce_aig,student/work/ex276_frontend_isqrt_mixed_prefix_bits_20260609_1656/ex276/verilog/ex276_isqrt_mix_p4_p5_p5b1.v,student/work/ex276_frontend_isqrt_mixed_prefix_bits_20260609_1656/ex276/aigs/ex276_isqrt_mix_p4_p5_p5b1_arith_wreduce_aig.aig,1,1,1,120,12,1440,632,2.278481,0,0,0.295,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=mix_p4_p5_p5b1; flow=arith_wreduce_aig
ex276,ex276_isqrt_mix_p4_p5_p5b1_synth_preset,unsigned_floor_isqrt,mix_p4_p5_p5b1+synth_preset,student/work/ex276_frontend_isqrt_mixed_prefix_bits_20260609_1656/ex276/verilog/ex276_isqrt_mix_p4_p5_p5b1.v,student/work/ex276_frontend_isqrt_mixed_prefix_bits_20260609_1656/ex276/aigs/ex276_isqrt_mix_p4_p5_p5b1_synth_preset.aig,1,1,1,129,11,1419,632,2.245253,0,0,0.385,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=mix_p4_p5_p5b1; flow=synth_preset
