case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex265,ex265_udiv_case_denominator_manual_default,unsigned low4_high4:a/b dbz=max,case_denominator_manual+default,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/verilog/ex265_udiv_case_denominator_manual.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_case_denominator_manual_default.aig,1,1,1,81,8,648,322,2.012422,0,0,0.406,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=case_denominator_manual; flow=default
ex265,ex265_udiv_case_denominator_manual_abc_g_aig,unsigned low4_high4:a/b dbz=max,case_denominator_manual+abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/verilog/ex265_udiv_case_denominator_manual.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_case_denominator_manual_abc_g_aig.aig,1,1,1,81,8,648,322,2.012422,0,0,0.389,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=case_denominator_manual; flow=abc_g_aig
ex265,ex265_udiv_case_denominator_manual_wreduce_abc_g_aig,unsigned low4_high4:a/b dbz=max,case_denominator_manual+wreduce_abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/verilog/ex265_udiv_case_denominator_manual.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_case_denominator_manual_wreduce_abc_g_aig.aig,1,1,1,81,8,648,322,2.012422,0,0,0.381,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=case_denominator_manual; flow=wreduce_abc_g_aig
ex265,ex265_udiv_case_denominator_manual_synth_preset,unsigned low4_high4:a/b dbz=max,case_denominator_manual+synth_preset,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/verilog/ex265_udiv_case_denominator_manual.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_case_denominator_manual_synth_preset.aig,1,1,1,82,18,1476,322,4.583851,0,0,0.354,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=case_denominator_manual; flow=synth_preset
ex265,ex265_udiv_case_dividend_ranges_default,unsigned low4_high4:a/b dbz=max,case_dividend_ranges+default,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/verilog/ex265_udiv_case_dividend_ranges.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_case_dividend_ranges_default.aig,1,1,1,105,11,1155,322,3.586957,0,0,0.283,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=case_dividend_ranges; flow=default
ex265,ex265_udiv_case_dividend_ranges_abc_g_aig,unsigned low4_high4:a/b dbz=max,case_dividend_ranges+abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/verilog/ex265_udiv_case_dividend_ranges.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_case_dividend_ranges_abc_g_aig.aig,1,1,1,105,10,1050,322,3.260870,0,0,0.297,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=case_dividend_ranges; flow=abc_g_aig
ex265,ex265_udiv_case_dividend_ranges_wreduce_abc_g_aig,unsigned low4_high4:a/b dbz=max,case_dividend_ranges+wreduce_abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/verilog/ex265_udiv_case_dividend_ranges.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_case_dividend_ranges_wreduce_abc_g_aig.aig,1,1,1,105,10,1050,322,3.260870,0,0,0.291,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=case_dividend_ranges; flow=wreduce_abc_g_aig
ex265,ex265_udiv_case_dividend_ranges_synth_preset,unsigned low4_high4:a/b dbz=max,case_dividend_ranges+synth_preset,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/verilog/ex265_udiv_case_dividend_ranges.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_case_dividend_ranges_synth_preset.aig,1,1,1,102,10,1020,322,3.167702,0,0,0.375,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=case_dividend_ranges; flow=synth_preset
ex265,ex265_udiv_threshold_desc_default,unsigned low4_high4:a/b dbz=max,threshold_desc+default,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/verilog/ex265_udiv_threshold_desc.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_threshold_desc_default.aig,1,1,0,,,,322,,,,0.277,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=threshold_desc; flow=default
ex265,ex265_udiv_threshold_desc_abc_g_aig,unsigned low4_high4:a/b dbz=max,threshold_desc+abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/verilog/ex265_udiv_threshold_desc.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_threshold_desc_abc_g_aig.aig,1,1,0,,,,322,,,,0.291,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=threshold_desc; flow=abc_g_aig
ex265,ex265_udiv_threshold_desc_wreduce_abc_g_aig,unsigned low4_high4:a/b dbz=max,threshold_desc+wreduce_abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/verilog/ex265_udiv_threshold_desc.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_threshold_desc_wreduce_abc_g_aig.aig,1,1,0,,,,322,,,,0.288,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=threshold_desc; flow=wreduce_abc_g_aig
ex265,ex265_udiv_threshold_desc_synth_preset,unsigned low4_high4:a/b dbz=max,threshold_desc+synth_preset,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/verilog/ex265_udiv_threshold_desc.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_threshold_desc_synth_preset.aig,1,1,0,,,,322,,,,0.344,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=threshold_desc; flow=synth_preset
ex265,ex265_udiv_threshold_desc_guarded_default,unsigned low4_high4:a/b dbz=max,threshold_desc_guarded+default,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/verilog/ex265_udiv_threshold_desc_guarded.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_threshold_desc_guarded_default.aig,1,1,0,,,,322,,,,0.282,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=threshold_desc_guarded; flow=default
ex265,ex265_udiv_threshold_desc_guarded_abc_g_aig,unsigned low4_high4:a/b dbz=max,threshold_desc_guarded+abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/verilog/ex265_udiv_threshold_desc_guarded.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_threshold_desc_guarded_abc_g_aig.aig,1,1,0,,,,322,,,,0.285,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=threshold_desc_guarded; flow=abc_g_aig
ex265,ex265_udiv_threshold_desc_guarded_wreduce_abc_g_aig,unsigned low4_high4:a/b dbz=max,threshold_desc_guarded+wreduce_abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/verilog/ex265_udiv_threshold_desc_guarded.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_threshold_desc_guarded_wreduce_abc_g_aig.aig,1,1,0,,,,322,,,,0.281,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=threshold_desc_guarded; flow=wreduce_abc_g_aig
ex265,ex265_udiv_threshold_desc_guarded_synth_preset,unsigned low4_high4:a/b dbz=max,threshold_desc_guarded+synth_preset,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/verilog/ex265_udiv_threshold_desc_guarded.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_threshold_desc_guarded_synth_preset.aig,1,1,0,,,,322,,,,0.358,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=threshold_desc_guarded; flow=synth_preset
ex265,ex265_udiv_direct_gt_guard_default,unsigned low4_high4:a/b dbz=max,direct_gt_guard+default,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/verilog/ex265_udiv_direct_gt_guard.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_direct_gt_guard_default.aig,1,1,1,52,18,936,322,2.906832,0,0,0.271,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=direct_gt_guard; flow=default
ex265,ex265_udiv_direct_gt_guard_abc_g_aig,unsigned low4_high4:a/b dbz=max,direct_gt_guard+abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/verilog/ex265_udiv_direct_gt_guard.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_direct_gt_guard_abc_g_aig.aig,1,1,1,51,18,918,322,2.850932,0,0,0.263,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=direct_gt_guard; flow=abc_g_aig
