case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex265,ex265_udiv_case_denominator_manual_default,1,81,8,648,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_case_denominator_manual_default.aig,unsigned low4_high4:a/b dbz=max exact; source=case_denominator_manual; flow=default
ex265,ex265_udiv_case_denominator_manual_abc_g_aig,1,81,8,648,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_case_denominator_manual_abc_g_aig.aig,unsigned low4_high4:a/b dbz=max exact; source=case_denominator_manual; flow=abc_g_aig
ex265,ex265_udiv_case_denominator_manual_wreduce_abc_g_aig,1,81,8,648,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_case_denominator_manual_wreduce_abc_g_aig.aig,unsigned low4_high4:a/b dbz=max exact; source=case_denominator_manual; flow=wreduce_abc_g_aig
ex265,ex265_udiv_case_denominator_manual_synth_preset,1,82,18,1476,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_case_denominator_manual_synth_preset.aig,unsigned low4_high4:a/b dbz=max exact; source=case_denominator_manual; flow=synth_preset
ex265,ex265_udiv_case_dividend_ranges_default,1,105,11,1155,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_case_dividend_ranges_default.aig,unsigned low4_high4:a/b dbz=max exact; source=case_dividend_ranges; flow=default
ex265,ex265_udiv_case_dividend_ranges_abc_g_aig,1,105,10,1050,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_case_dividend_ranges_abc_g_aig.aig,unsigned low4_high4:a/b dbz=max exact; source=case_dividend_ranges; flow=abc_g_aig
ex265,ex265_udiv_case_dividend_ranges_wreduce_abc_g_aig,1,105,10,1050,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_case_dividend_ranges_wreduce_abc_g_aig.aig,unsigned low4_high4:a/b dbz=max exact; source=case_dividend_ranges; flow=wreduce_abc_g_aig
ex265,ex265_udiv_case_dividend_ranges_synth_preset,1,102,10,1020,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_case_dividend_ranges_synth_preset.aig,unsigned low4_high4:a/b dbz=max exact; source=case_dividend_ranges; flow=synth_preset
ex265,ex265_udiv_threshold_desc_default,0,,,,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_threshold_desc_default.aig,unsigned low4_high4:a/b dbz=max exact; source=threshold_desc; flow=default
ex265,ex265_udiv_threshold_desc_abc_g_aig,0,,,,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_threshold_desc_abc_g_aig.aig,unsigned low4_high4:a/b dbz=max exact; source=threshold_desc; flow=abc_g_aig
ex265,ex265_udiv_threshold_desc_wreduce_abc_g_aig,0,,,,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_threshold_desc_wreduce_abc_g_aig.aig,unsigned low4_high4:a/b dbz=max exact; source=threshold_desc; flow=wreduce_abc_g_aig
