case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,area,delay,adp,items,notes
ex281,ex281_primary_8_9_10_11_12_abc_g_aig,unknown_bit_hybrid,abc_g_aig,student/work/ex281_ex284_frontend_split_bdd_bit_hybrid_20260608_1608/ex281/verilog/ex281_unknown_bit_hybrid_primary_8_9_10_11_12.v,student/work/ex281_ex284_frontend_split_bdd_bit_hybrid_20260608_1608/synthflow/ex281/aigs/ex281_primary_8_9_10_11_12_abc_g_aig.aig,1676,22,36872,Yosys abc gate set aig,Yosys abc gate set aig
ex282,ex282_primary_9_10_11_12_13_synth_preset,unknown_bit_hybrid,synth_preset,student/work/ex281_ex284_frontend_split_bdd_bit_hybrid_20260608_1608/ex282/verilog/ex282_unknown_bit_hybrid_primary_9_10_11_12_13.v,student/work/ex281_ex284_frontend_split_bdd_bit_hybrid_20260608_1608/synthflow/ex282/aigs/ex282_primary_9_10_11_12_13_synth_preset.aig,1896,22,41712,Yosys synth preset with flatten,Yosys synth preset with flatten
ex283,ex283_primary_10_11_12_13_14_synth_preset,unknown_bit_hybrid,synth_preset,student/work/ex281_ex284_frontend_split_bdd_bit_hybrid_20260608_1608/ex283/verilog/ex283_unknown_bit_hybrid_primary_10_11_12_13_14.v,student/work/ex281_ex284_frontend_split_bdd_bit_hybrid_20260608_1608/synthflow/ex283/aigs/ex283_primary_10_11_12_13_14_synth_preset.aig,2361,25,59025,Yosys synth preset with flatten,Yosys synth preset with flatten
ex284,ex284_primary_11_12_13_15_abc_g_aig,unknown_bit_hybrid,abc_g_aig,student/work/ex281_ex284_frontend_split_bdd_bit_hybrid_20260608_1608/ex284/verilog/ex284_unknown_bit_hybrid_primary_11_12_13_15.v,student/work/ex281_ex284_frontend_split_bdd_bit_hybrid_20260608_1608/synthflow/ex284/aigs/ex284_primary_11_12_13_15_abc_g_aig.aig,2224,27,60048,Yosys abc gate set aig,Yosys abc gate set aig
