case,start,depth,score,sample_row_mismatches,gate,notes
ex289,identity,12,8226,1562,not(cnt14_15_ge1):swap2_4:delta-48,sampled static-feature controlled swap
ex289,pair_canonical,0,10020,1584,,sample_rows=1594; controls=242
ex289,pair_canonical,1,9684,1558,in0:swap12_13:delta-336,sampled static-feature controlled swap
ex289,pair_canonical,2,9370,1535,in12:swap0_1:delta-314,sampled static-feature controlled swap
ex289,pair_canonical,3,9156,1539,not(cnt14_15_ge2):swap3_13:delta-214,sampled static-feature controlled swap
ex289,pair_canonical,4,8976,1554,not(cnt0_3_eq2):swap6_9:delta-180,sampled static-feature controlled swap
ex289,pair_canonical,5,8834,1566,not(cnt0_6_eq3):swap8_11:delta-142,sampled static-feature controlled swap
ex289,pair_canonical,6,8704,1568,in3:swap4_15:delta-130,sampled static-feature controlled swap
ex289,pair_canonical,7,8580,1570,not(cnt0_2_eq2):swap5_14:delta-124,sampled static-feature controlled swap
ex289,pair_canonical,8,8468,1571,not(in13):swap1_7:delta-112,sampled static-feature controlled swap
ex289,pair_canonical,9,8362,1568,not(cnt14_15_ge1):swap2_12:delta-106,sampled static-feature controlled swap
ex289,pair_canonical,10,8274,1562,not(in14):swap5_10:delta-88,sampled static-feature controlled swap
ex289,pair_canonical,11,8188,1560,not(in3):swap4_10:delta-86,sampled static-feature controlled swap
ex289,pair_canonical,12,8124,1557,not(cnt12_15_ge1):swap0_14:delta-64,sampled static-feature controlled swap
