case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,items,runtime_sec,notes
ex286,ex286_unknown_bit_hybrid_primary_5,unknown_bit_hybrid,primary_5,student/work/ex286_frontend_bit_hybrid_20260608_1548/ex286/verilog/ex286_unknown_bit_hybrid_primary_5.v,student/work/ex286_frontend_bit_hybrid_20260608_1548/ex286/aigs/ex286_unknown_bit_hybrid_primary_5.aig,1,1,1,1896,14,26544,2376,11.171717,0,0,structural_exact,primary_bits=5; secondary_bits=0:1:2:3:4:6:7:8:9:10:11:12; hash=678c4c56ed1a,3.166,bit-hybrid of two verified exact Verilog sources
ex286,ex286_unknown_bit_hybrid_primary_5_6,unknown_bit_hybrid,primary_5_6,student/work/ex286_frontend_bit_hybrid_20260608_1548/ex286/verilog/ex286_unknown_bit_hybrid_primary_5_6.v,student/work/ex286_frontend_bit_hybrid_20260608_1548/ex286/aigs/ex286_unknown_bit_hybrid_primary_5_6.aig,1,1,1,1871,15,28065,2376,11.811869,0,0,structural_exact,primary_bits=5:6; secondary_bits=0:1:2:3:4:7:8:9:10:11:12; hash=df4123ffcdd4,3.255,bit-hybrid of two verified exact Verilog sources
ex286,ex286_unknown_bit_hybrid_primary_5_6_7,unknown_bit_hybrid,primary_5_6_7,student/work/ex286_frontend_bit_hybrid_20260608_1548/ex286/verilog/ex286_unknown_bit_hybrid_primary_5_6_7.v,student/work/ex286_frontend_bit_hybrid_20260608_1548/ex286/aigs/ex286_unknown_bit_hybrid_primary_5_6_7.aig,1,1,1,1826,15,27390,2376,11.527778,0,0,structural_exact,primary_bits=5:6:7; secondary_bits=0:1:2:3:4:8:9:10:11:12; hash=87d6910fb456,3.360,bit-hybrid of two verified exact Verilog sources
ex286,ex286_unknown_bit_hybrid_primary_6,unknown_bit_hybrid,primary_6,student/work/ex286_frontend_bit_hybrid_20260608_1548/ex286/verilog/ex286_unknown_bit_hybrid_primary_6.v,student/work/ex286_frontend_bit_hybrid_20260608_1548/ex286/aigs/ex286_unknown_bit_hybrid_primary_6.aig,1,1,1,1878,14,26292,2376,11.065657,0,0,structural_exact,primary_bits=6; secondary_bits=0:1:2:3:4:5:7:8:9:10:11:12; hash=079ca9228478,3.084,bit-hybrid of two verified exact Verilog sources
ex286,ex286_unknown_bit_hybrid_primary_6_7,unknown_bit_hybrid,primary_6_7,student/work/ex286_frontend_bit_hybrid_20260608_1548/ex286/verilog/ex286_unknown_bit_hybrid_primary_6_7.v,student/work/ex286_frontend_bit_hybrid_20260608_1548/ex286/aigs/ex286_unknown_bit_hybrid_primary_6_7.aig,1,1,1,1889,15,28335,2376,11.925505,0,0,structural_exact,primary_bits=6:7; secondary_bits=0:1:2:3:4:5:8:9:10:11:12; hash=604ee7db837f,3.579,bit-hybrid of two verified exact Verilog sources
ex286,ex286_unknown_bit_hybrid_primary_7,unknown_bit_hybrid,primary_7,student/work/ex286_frontend_bit_hybrid_20260608_1548/ex286/verilog/ex286_unknown_bit_hybrid_primary_7.v,student/work/ex286_frontend_bit_hybrid_20260608_1548/ex286/aigs/ex286_unknown_bit_hybrid_primary_7.aig,1,1,1,1867,14,26138,2376,11.000842,0,0,structural_exact,primary_bits=7; secondary_bits=0:1:2:3:4:5:6:8:9:10:11:12; hash=accadcb9a7ab,4.532,bit-hybrid of two verified exact Verilog sources
