case,candidate_id,evaluate_status,equivalent,area,delay,adp,verilog_path,aig_path,log_path,agent_id,notes,status,output_dir,evaluate_log,runtime_sec,shard_csv,domain
ex223,ex223_r68_nested_low14_hi4_abc_g_aig,,,10621,20,212420,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex223/aigs/ex223_r68_nested_low14_hi4_abc_g_aig.aig,,sub-fp16-int-r68,official evaluate.py equivalent,OK,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex223/official_eval/ex223_r68_nested_low14_hi4_abc_g_aig,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex223/logs/ex223_r68_nested_low14_hi4_abc_g_aig.evaluate.py.log,1.459,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp16-int-r68/evaluation_results.csv,
ex223,ex223_r68_expband_word_hi5lo5_abc_g_aig,,,13690,18,246420,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex223/aigs/ex223_r68_expband_word_hi5lo5_abc_g_aig.aig,,sub-fp16-int-r68,official evaluate.py equivalent,OK,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex223/official_eval/ex223_r68_expband_word_hi5lo5_abc_g_aig,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex223/logs/ex223_r68_expband_word_hi5lo5_abc_g_aig.evaluate.py.log,1.370,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp16-int-r68/evaluation_results.csv,
ex225,ex225_r68_nested_low14_hi4_abc_g_aig,,,11265,20,225300,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex225/aigs/ex225_r68_nested_low14_hi4_abc_g_aig.aig,,sub-fp16-int-r68,official evaluate.py equivalent,OK,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex225/official_eval/ex225_r68_nested_low14_hi4_abc_g_aig,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex225/logs/ex225_r68_nested_low14_hi4_abc_g_aig.evaluate.py.log,1.378,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp16-int-r68/evaluation_results.csv,
ex225,ex225_r68_expband_word_hi5lo5_abc_g_aig,,,13946,18,251028,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex225/aigs/ex225_r68_expband_word_hi5lo5_abc_g_aig.aig,,sub-fp16-int-r68,official evaluate.py equivalent,OK,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex225/official_eval/ex225_r68_expband_word_hi5lo5_abc_g_aig,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex225/logs/ex225_r68_expband_word_hi5lo5_abc_g_aig.evaluate.py.log,1.374,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp16-int-r68/evaluation_results.csv,
ex260,ex260_r68_native_signed_mul_abc_g_aig,,,116,20,2320,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex260/aigs/ex260_r68_native_signed_mul_abc_g_aig.aig,,sub-fp16-int-r68,official evaluate.py equivalent,OK,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex260/official_eval/ex260_r68_native_signed_mul_abc_g_aig,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex260/logs/ex260_r68_native_signed_mul_abc_g_aig.evaluate.py.log,0.174,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp16-int-r68/evaluation_results.csv,
ex260,ex260_r68_case_b_const_abc_g_aig,,,202,10,2020,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex260/aigs/ex260_r68_case_b_const_abc_g_aig.aig,,sub-fp16-int-r68,official evaluate.py equivalent,OK,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex260/official_eval/ex260_r68_case_b_const_abc_g_aig,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex260/logs/ex260_r68_case_b_const_abc_g_aig.evaluate.py.log,0.159,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp16-int-r68/evaluation_results.csv,
ex266,ex266_r68_const_divisor_case_abc_g_aig,,,243,12,2916,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex266/aigs/ex266_r68_const_divisor_case_abc_g_aig.aig,,sub-fp16-int-r68,official evaluate.py equivalent,OK,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex266/official_eval/ex266_r68_const_divisor_case_abc_g_aig,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex266/logs/ex266_r68_const_divisor_case_abc_g_aig.evaluate.py.log,0.198,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp16-int-r68/evaluation_results.csv,
ex266,ex266_r68_threshold_priority_abc_g_aig,,,611,41,25051,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex266/aigs/ex266_r68_threshold_priority_abc_g_aig.aig,,sub-fp16-int-r68,official evaluate.py equivalent,OK,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex266/official_eval/ex266_r68_threshold_priority_abc_g_aig,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp16-int-r68/ex266/logs/ex266_r68_threshold_priority_abc_g_aig.evaluate.py.log,0.151,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp16-int-r68/evaluation_results.csv,
ex240,ex240_r68_direct_cancel_formula,,1,650,47,30550,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex240/verilog/ex240_r68_direct_cancel_formula.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex240/aigs/ex240_r68_direct_cancel_formula.aig,,sub-fp8-mid-r68,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex240/logs/ex240_r68_direct_cancel_formula.yosys.log; synth_sec=0.510; eval_sec=0.852,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex240/logs/ex240_r68_direct_cancel_formula.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-mid-r68/evaluation_results.csv,float_fp8
ex240,ex240_r68_lowbit_overlay,,1,5307,51,270657,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex240/verilog/ex240_r68_lowbit_overlay.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex240/aigs/ex240_r68_lowbit_overlay.aig,,sub-fp8-mid-r68,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex240/logs/ex240_r68_lowbit_overlay.yosys.log; synth_sec=21.407; eval_sec=0.889,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex240/logs/ex240_r68_lowbit_overlay.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-mid-r68/evaluation_results.csv,float_fp8
ex240,ex240_r68_bit_predicate_network,,1,10683,40,427320,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex240/verilog/ex240_r68_bit_predicate_network.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex240/aigs/ex240_r68_bit_predicate_network.aig,,sub-fp8-mid-r68,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex240/logs/ex240_r68_bit_predicate_network.yosys.log; synth_sec=28.441; eval_sec=0.889,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex240/logs/ex240_r68_bit_predicate_network.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-mid-r68/evaluation_results.csv,float_fp8
ex241,ex241_r68_product_exception_formula,,1,582,40,23280,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex241/verilog/ex241_r68_product_exception_formula.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex241/aigs/ex241_r68_product_exception_formula.aig,,sub-fp8-mid-r68,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex241/logs/ex241_r68_product_exception_formula.yosys.log; synth_sec=0.733; eval_sec=0.499,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex241/logs/ex241_r68_product_exception_formula.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-mid-r68/evaluation_results.csv,float_fp8
ex241,ex241_r68_lowbit_overlay,,1,819,35,28665,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex241/verilog/ex241_r68_lowbit_overlay.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex241/aigs/ex241_r68_lowbit_overlay.aig,,sub-fp8-mid-r68,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex241/logs/ex241_r68_lowbit_overlay.yosys.log; synth_sec=2.183; eval_sec=0.498,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex241/logs/ex241_r68_lowbit_overlay.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-mid-r68/evaluation_results.csv,float_fp8
