case,hypothesis/function_guess,candidate_count,verified_truth_count,synthesized_count,equivalent_count,semantic_exact_count,semantic_hybrid_count,structural_exact_count,best_candidate_id,best_variant,best_classification,best_area,best_delay,best_adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,top5,notes
ex281,arbitrary_width_split_default,3,3,3,3,0,0,3,ex281_unknown_split_refine_rotate1_low12,rotate1_low12,structural_exact,15456,19,293664,2336,125.712329,0,0,rotate1_low12:15456/19/293664; rotate0_low12:15785/19/299915; rotate1_high12:15785/19/299915,exact split/default rows far worse than current best; do not repeat this width-minus-one split source form; current best ADP 25476
ex282,arbitrary_width_split_default,3,3,3,3,0,0,3,ex282_unknown_split_refine_rotate1_low13,rotate1_low13,structural_exact,31058,20,621160,2704,229.718935,0,0,rotate1_low13:31058/20/621160; rotate0_low13:31979/20/639580; rotate1_high13:31979/20/639580,exact split/default rows far worse than current best; do not repeat this width-minus-one split source form; current best ADP 31512
ex283,arbitrary_width_split_default,3,3,2,2,0,0,2,ex283_unknown_split_refine_rotate0_low14,rotate0_low14,structural_exact,58241,22,1281302,3168,404.451389,0,0,rotate0_low14:58241/22/1281302; rotate1_high14:58241/22/1281302,exact split/default rows far worse than current best; do not repeat this width-minus-one split source form; current best ADP 38844
ex284,arbitrary_width_split_default,3,0,0,0,0,0,0,,,,,,,4240,,,,,partial run: exact split/default rows were far worse than current best; ex284 not started after exit 143; current best ADP 50083
