case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex256,ex256_umul_csa_cla_low7_top_lut_abc_g_aig,1,409,18,7362,student/work/ex256_frontend_umul_highbit_hybrid_20260609_0158/ex256/aigs/ex256_umul_csa_cla_low7_top_lut_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_cla_low7_top_lut; flow=abc_g_aig
ex256,ex256_umul_csa_cla_low7_top_lut_wreduce_abc_g_aig,1,410,18,7380,student/work/ex256_frontend_umul_highbit_hybrid_20260609_0158/ex256/aigs/ex256_umul_csa_cla_low7_top_lut_wreduce_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_cla_low7_top_lut; flow=wreduce_abc_g_aig
ex256,ex256_umul_csa_cla_low7_top_lut_synth_preset_d13,1,397,18,7146,student/work/ex256_frontend_umul_highbit_hybrid_20260609_0158/ex256/aigs/ex256_umul_csa_cla_low7_top_lut_synth_preset_d13.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_cla_low7_top_lut; flow=synth_preset_d13
ex256,ex256_umul_csa_cla_low7_top_lut_synth_preset_d18,1,397,18,7146,student/work/ex256_frontend_umul_highbit_hybrid_20260609_0158/ex256/aigs/ex256_umul_csa_cla_low7_top_lut_synth_preset_d18.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_cla_low7_top_lut; flow=synth_preset_d18
ex256,ex256_umul_csa_cla_low8_top_lut_abc_g_aig,1,274,19,5206,student/work/ex256_frontend_umul_highbit_hybrid_20260609_0158/ex256/aigs/ex256_umul_csa_cla_low8_top_lut_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_cla_low8_top_lut; flow=abc_g_aig
ex256,ex256_umul_csa_cla_low8_top_lut_wreduce_abc_g_aig,1,264,19,5016,student/work/ex256_frontend_umul_highbit_hybrid_20260609_0158/ex256/aigs/ex256_umul_csa_cla_low8_top_lut_wreduce_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_cla_low8_top_lut; flow=wreduce_abc_g_aig
ex256,ex256_umul_csa_cla_low8_top_lut_synth_preset_d13,1,267,20,5340,student/work/ex256_frontend_umul_highbit_hybrid_20260609_0158/ex256/aigs/ex256_umul_csa_cla_low8_top_lut_synth_preset_d13.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_cla_low8_top_lut; flow=synth_preset_d13
ex256,ex256_umul_csa_cla_low8_top_lut_synth_preset_d18,1,267,20,5340,student/work/ex256_frontend_umul_highbit_hybrid_20260609_0158/ex256/aigs/ex256_umul_csa_cla_low8_top_lut_synth_preset_d18.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_cla_low8_top_lut; flow=synth_preset_d18
ex256,ex256_umul_csa_cla_low9_top_lut_abc_g_aig,1,190,20,3800,student/work/ex256_frontend_umul_highbit_hybrid_20260609_0158/ex256/aigs/ex256_umul_csa_cla_low9_top_lut_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_cla_low9_top_lut; flow=abc_g_aig
ex256,ex256_umul_csa_cla_low9_top_lut_wreduce_abc_g_aig,1,190,19,3610,student/work/ex256_frontend_umul_highbit_hybrid_20260609_0158/ex256/aigs/ex256_umul_csa_cla_low9_top_lut_wreduce_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_cla_low9_top_lut; flow=wreduce_abc_g_aig
ex256,ex256_umul_csa_cla_low9_top_lut_synth_preset_d13,1,187,20,3740,student/work/ex256_frontend_umul_highbit_hybrid_20260609_0158/ex256/aigs/ex256_umul_csa_cla_low9_top_lut_synth_preset_d13.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_cla_low9_top_lut; flow=synth_preset_d13
ex256,ex256_umul_csa_cla_low9_top_lut_synth_preset_d18,1,187,20,3740,student/work/ex256_frontend_umul_highbit_hybrid_20260609_0158/ex256/aigs/ex256_umul_csa_cla_low9_top_lut_synth_preset_d18.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_cla_low9_top_lut; flow=synth_preset_d18
ex256,ex256_umul_csa_androws_cla_abc_g_aig,1,159,18,2862,student/work/ex256_frontend_umul_highbit_hybrid_20260609_0158/ex256/aigs/ex256_umul_csa_androws_cla_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=abc_g_aig
ex256,ex256_umul_csa_androws_cla_wreduce_abc_g_aig,1,159,18,2862,student/work/ex256_frontend_umul_highbit_hybrid_20260609_0158/ex256/aigs/ex256_umul_csa_androws_cla_wreduce_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=wreduce_abc_g_aig
ex256,ex256_umul_csa_androws_cla_synth_preset_d13,1,156,20,3120,student/work/ex256_frontend_umul_highbit_hybrid_20260609_0158/ex256/aigs/ex256_umul_csa_androws_cla_synth_preset_d13.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=synth_preset_d13
ex256,ex256_umul_csa_androws_cla_synth_preset_d18,1,156,20,3120,student/work/ex256_frontend_umul_highbit_hybrid_20260609_0158/ex256/aigs/ex256_umul_csa_androws_cla_synth_preset_d18.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=csa_androws_cla; flow=synth_preset_d18
