case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex270,ex270_square_wallace_square_outside_hcla4_abc_lut3_to_aig,unsigned_square_x_times_x,wallace_square_outside_hcla4+abc_lut3_to_aig,student/work/ex270_ex274_square_lutflows_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_hcla4.v,student/work/ex270_ex274_square_lutflows_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_hcla4_abc_lut3_to_aig.aig,1,1,1,289,29,8381,2076,4.037091,0,0,0.446,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_hcla4; flow=abc_lut3_to_aig
ex270,ex270_square_wallace_square_outside_hcla4_abc_lut4_to_aig,unsigned_square_x_times_x,wallace_square_outside_hcla4+abc_lut4_to_aig,student/work/ex270_ex274_square_lutflows_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_hcla4.v,student/work/ex270_ex274_square_lutflows_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_hcla4_abc_lut4_to_aig.aig,1,1,1,353,36,12708,2076,6.121387,0,0,0.313,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_hcla4; flow=abc_lut4_to_aig
ex270,ex270_square_wallace_square_outside_hcla4_abc_lut5_to_aig,unsigned_square_x_times_x,wallace_square_outside_hcla4+abc_lut5_to_aig,student/work/ex270_ex274_square_lutflows_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_hcla4.v,student/work/ex270_ex274_square_lutflows_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_hcla4_abc_lut5_to_aig.aig,1,1,1,423,35,14805,2076,7.131503,0,0,0.335,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_hcla4; flow=abc_lut5_to_aig
ex270,ex270_square_wallace_square_outside_hcla6_abc_lut3_to_aig,unsigned_square_x_times_x,wallace_square_outside_hcla6+abc_lut3_to_aig,student/work/ex270_ex274_square_lutflows_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_hcla6.v,student/work/ex270_ex274_square_lutflows_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_hcla6_abc_lut3_to_aig.aig,1,1,1,291,34,9894,2076,4.765896,0,0,0.293,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_hcla6; flow=abc_lut3_to_aig
ex270,ex270_square_wallace_square_outside_hcla6_abc_lut4_to_aig,unsigned_square_x_times_x,wallace_square_outside_hcla6+abc_lut4_to_aig,student/work/ex270_ex274_square_lutflows_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_hcla6.v,student/work/ex270_ex274_square_lutflows_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_hcla6_abc_lut4_to_aig.aig,1,1,1,340,33,11220,2076,5.404624,0,0,0.316,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_hcla6; flow=abc_lut4_to_aig
ex270,ex270_square_wallace_square_outside_hcla6_abc_lut5_to_aig,unsigned_square_x_times_x,wallace_square_outside_hcla6+abc_lut5_to_aig,student/work/ex270_ex274_square_lutflows_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_hcla6.v,student/work/ex270_ex274_square_lutflows_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_hcla6_abc_lut5_to_aig.aig,1,1,1,425,34,14450,2076,6.960501,0,0,0.320,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_hcla6; flow=abc_lut5_to_aig
ex270,ex270_square_wallace_square_outside_abc_lut3_to_aig,unsigned_square_x_times_x,wallace_square_outside+abc_lut3_to_aig,student/work/ex270_ex274_square_lutflows_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside.v,student/work/ex270_ex274_square_lutflows_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_abc_lut3_to_aig.aig,1,1,1,286,33,9438,2076,4.546243,0,0,0.304,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside; flow=abc_lut3_to_aig
ex270,ex270_square_wallace_square_outside_abc_lut4_to_aig,unsigned_square_x_times_x,wallace_square_outside+abc_lut4_to_aig,student/work/ex270_ex274_square_lutflows_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside.v,student/work/ex270_ex274_square_lutflows_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_abc_lut4_to_aig.aig,1,1,1,347,36,12492,2076,6.017341,0,0,0.302,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside; flow=abc_lut4_to_aig
ex270,ex270_square_wallace_square_outside_abc_lut5_to_aig,unsigned_square_x_times_x,wallace_square_outside+abc_lut5_to_aig,student/work/ex270_ex274_square_lutflows_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside.v,student/work/ex270_ex274_square_lutflows_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_abc_lut5_to_aig.aig,1,1,1,426,36,15336,2076,7.387283,0,0,0.310,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside; flow=abc_lut5_to_aig
ex270,ex270_square_wallace_square_hcla4_abc_lut3_to_aig,unsigned_square_x_times_x,wallace_square_hcla4+abc_lut3_to_aig,student/work/ex270_ex274_square_lutflows_20260609_1138/ex270/verilog/ex270_square_wallace_square_hcla4.v,student/work/ex270_ex274_square_lutflows_20260609_1138/ex270/aigs/ex270_square_wallace_square_hcla4_abc_lut3_to_aig.aig,1,1,1,305,32,9760,2076,4.701349,0,0,0.317,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_hcla4; flow=abc_lut3_to_aig
ex270,ex270_square_wallace_square_hcla4_abc_lut4_to_aig,unsigned_square_x_times_x,wallace_square_hcla4+abc_lut4_to_aig,student/work/ex270_ex274_square_lutflows_20260609_1138/ex270/verilog/ex270_square_wallace_square_hcla4.v,student/work/ex270_ex274_square_lutflows_20260609_1138/ex270/aigs/ex270_square_wallace_square_hcla4_abc_lut4_to_aig.aig,1,1,1,396,38,15048,2076,7.248555,0,0,0.322,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_hcla4; flow=abc_lut4_to_aig
ex270,ex270_square_wallace_square_hcla4_abc_lut5_to_aig,unsigned_square_x_times_x,wallace_square_hcla4+abc_lut5_to_aig,student/work/ex270_ex274_square_lutflows_20260609_1138/ex270/verilog/ex270_square_wallace_square_hcla4.v,student/work/ex270_ex274_square_lutflows_20260609_1138/ex270/aigs/ex270_square_wallace_square_hcla4_abc_lut5_to_aig.aig,1,1,1,479,37,17723,2076,8.537091,0,0,0.348,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_hcla4; flow=abc_lut5_to_aig
ex270,ex270_square_wallace_square_hcla6_abc_lut3_to_aig,unsigned_square_x_times_x,wallace_square_hcla6+abc_lut3_to_aig,student/work/ex270_ex274_square_lutflows_20260609_1138/ex270/verilog/ex270_square_wallace_square_hcla6.v,student/work/ex270_ex274_square_lutflows_20260609_1138/ex270/aigs/ex270_square_wallace_square_hcla6_abc_lut3_to_aig.aig,1,1,1,297,34,10098,2076,4.864162,0,0,0.307,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_hcla6; flow=abc_lut3_to_aig
