case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex255,ex255_umul_split_half_synth_preset,unsigned low4_high4:a*b,split_half+synth_preset,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex255/verilog/ex255_umul_split_half.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex255/aigs/ex255_umul_split_half_synth_preset.aig,1,1,1,87,16,1392,836,1.665072,0,0,0.233,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=split_half; flow=synth_preset
ex255,ex255_umul_karatsuba_even_default,unsigned low4_high4:a*b,karatsuba_even+default,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex255/verilog/ex255_umul_karatsuba_even.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex255/aigs/ex255_umul_karatsuba_even_default.aig,1,1,1,154,28,4312,836,5.157895,0,0,0.243,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=karatsuba_even; flow=default
ex255,ex255_umul_karatsuba_even_abc_g_aig,unsigned low4_high4:a*b,karatsuba_even+abc_g_aig,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex255/verilog/ex255_umul_karatsuba_even.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex255/aigs/ex255_umul_karatsuba_even_abc_g_aig.aig,1,1,1,142,28,3976,836,4.755981,0,0,0.246,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=karatsuba_even; flow=abc_g_aig
ex255,ex255_umul_karatsuba_even_synth_preset,unsigned low4_high4:a*b,karatsuba_even+synth_preset,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex255/verilog/ex255_umul_karatsuba_even.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex255/aigs/ex255_umul_karatsuba_even_synth_preset.aig,1,1,1,141,25,3525,836,4.216507,0,0,0.278,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=karatsuba_even; flow=synth_preset
ex255,ex255_umul_sorted_operands_default,unsigned low4_high4:a*b,sorted_operands+default,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex255/verilog/ex255_umul_sorted_operands.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex255/aigs/ex255_umul_sorted_operands_default.aig,1,1,1,130,27,3510,836,4.198565,0,0,0.227,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=sorted_operands; flow=default
ex255,ex255_umul_sorted_operands_abc_g_aig,unsigned low4_high4:a*b,sorted_operands+abc_g_aig,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex255/verilog/ex255_umul_sorted_operands.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex255/aigs/ex255_umul_sorted_operands_abc_g_aig.aig,1,1,1,128,27,3456,836,4.133971,0,0,0.240,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=sorted_operands; flow=abc_g_aig
ex255,ex255_umul_sorted_operands_synth_preset,unsigned low4_high4:a*b,sorted_operands+synth_preset,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex255/verilog/ex255_umul_sorted_operands.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex255/aigs/ex255_umul_sorted_operands_synth_preset.aig,1,1,1,128,27,3456,836,4.133971,0,0,0.289,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=sorted_operands; flow=synth_preset
ex256,ex256_umul_balanced_rows_default,unsigned low5_high5:a*b,balanced_rows+default,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex256/verilog/ex256_umul_balanced_rows.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex256/aigs/ex256_umul_balanced_rows_default.aig,1,1,1,162,25,4050,1911,2.119309,0,0,0.238,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=balanced_rows; flow=default
ex256,ex256_umul_balanced_rows_abc_g_aig,unsigned low5_high5:a*b,balanced_rows+abc_g_aig,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex256/verilog/ex256_umul_balanced_rows.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex256/aigs/ex256_umul_balanced_rows_abc_g_aig.aig,1,1,1,151,25,3775,1911,1.975406,0,0,0.236,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=balanced_rows; flow=abc_g_aig
ex256,ex256_umul_balanced_rows_synth_preset,unsigned low5_high5:a*b,balanced_rows+synth_preset,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex256/verilog/ex256_umul_balanced_rows.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex256/aigs/ex256_umul_balanced_rows_synth_preset.aig,1,1,1,152,23,3496,1911,1.829409,0,0,0.266,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=balanced_rows; flow=synth_preset
