case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex256,ex256_umul_column_carry_default,1,162,57,9234,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex256/aigs/ex256_umul_column_carry_default.aig,exact unsigned low5 * high5 over 1024 inputs; source=column_carry; flow=default
ex256,ex256_umul_column_carry_abc_g_aig,1,153,57,8721,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex256/aigs/ex256_umul_column_carry_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; source=column_carry; flow=abc_g_aig
ex256,ex256_umul_column_carry_synth_preset,1,146,57,8322,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex256/aigs/ex256_umul_column_carry_synth_preset.aig,exact unsigned low5 * high5 over 1024 inputs; source=column_carry; flow=synth_preset
ex256,ex256_umul_split_half_default,1,152,21,3192,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex256/aigs/ex256_umul_split_half_default.aig,exact unsigned low5 * high5 over 1024 inputs; source=split_half; flow=default
ex256,ex256_umul_split_half_abc_g_aig,1,152,21,3192,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex256/aigs/ex256_umul_split_half_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; source=split_half; flow=abc_g_aig
ex256,ex256_umul_split_half_synth_preset,1,157,21,3297,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex256/aigs/ex256_umul_split_half_synth_preset.aig,exact unsigned low5 * high5 over 1024 inputs; source=split_half; flow=synth_preset
ex256,ex256_umul_sorted_operands_default,1,209,36,7524,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex256/aigs/ex256_umul_sorted_operands_default.aig,exact unsigned low5 * high5 over 1024 inputs; source=sorted_operands; flow=default
ex256,ex256_umul_sorted_operands_abc_g_aig,1,209,36,7524,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex256/aigs/ex256_umul_sorted_operands_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; source=sorted_operands; flow=abc_g_aig
ex256,ex256_umul_sorted_operands_synth_preset,1,209,35,7315,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex256/aigs/ex256_umul_sorted_operands_synth_preset.aig,exact unsigned low5 * high5 over 1024 inputs; source=sorted_operands; flow=synth_preset
ex257,ex257_umul_balanced_rows_default,1,222,29,6438,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/aigs/ex257_umul_balanced_rows_default.aig,exact unsigned low6 * high6 over 4096 inputs; source=balanced_rows; flow=default
ex257,ex257_umul_balanced_rows_abc_g_aig,1,222,29,6438,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/aigs/ex257_umul_balanced_rows_abc_g_aig.aig,exact unsigned low6 * high6 over 4096 inputs; source=balanced_rows; flow=abc_g_aig
ex257,ex257_umul_balanced_rows_synth_preset,1,229,27,6183,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/aigs/ex257_umul_balanced_rows_synth_preset.aig,exact unsigned low6 * high6 over 4096 inputs; source=balanced_rows; flow=synth_preset
ex257,ex257_umul_csa_vector_default,1,316,25,7900,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/aigs/ex257_umul_csa_vector_default.aig,exact unsigned low6 * high6 over 4096 inputs; source=csa_vector; flow=default
ex257,ex257_umul_csa_vector_abc_g_aig,1,241,25,6025,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/aigs/ex257_umul_csa_vector_abc_g_aig.aig,exact unsigned low6 * high6 over 4096 inputs; source=csa_vector; flow=abc_g_aig
ex257,ex257_umul_csa_vector_synth_preset,1,238,24,5712,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/aigs/ex257_umul_csa_vector_synth_preset.aig,exact unsigned low6 * high6 over 4096 inputs; source=csa_vector; flow=synth_preset
ex257,ex257_umul_column_carry_default,1,260,83,21580,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/aigs/ex257_umul_column_carry_default.aig,exact unsigned low6 * high6 over 4096 inputs; source=column_carry; flow=default
ex257,ex257_umul_column_carry_abc_g_aig,1,251,83,20833,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/aigs/ex257_umul_column_carry_abc_g_aig.aig,exact unsigned low6 * high6 over 4096 inputs; source=column_carry; flow=abc_g_aig
ex257,ex257_umul_column_carry_synth_preset,1,226,83,18758,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/aigs/ex257_umul_column_carry_synth_preset.aig,exact unsigned low6 * high6 over 4096 inputs; source=column_carry; flow=synth_preset
ex257,ex257_umul_split_half_default,1,235,27,6345,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/aigs/ex257_umul_split_half_default.aig,exact unsigned low6 * high6 over 4096 inputs; source=split_half; flow=default
ex257,ex257_umul_split_half_abc_g_aig,1,235,27,6345,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/aigs/ex257_umul_split_half_abc_g_aig.aig,exact unsigned low6 * high6 over 4096 inputs; source=split_half; flow=abc_g_aig
ex257,ex257_umul_split_half_synth_preset,1,254,27,6858,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/aigs/ex257_umul_split_half_synth_preset.aig,exact unsigned low6 * high6 over 4096 inputs; source=split_half; flow=synth_preset
ex257,ex257_umul_karatsuba_even_default,1,337,39,13143,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/aigs/ex257_umul_karatsuba_even_default.aig,exact unsigned low6 * high6 over 4096 inputs; source=karatsuba_even; flow=default
ex257,ex257_umul_karatsuba_even_abc_g_aig,1,332,39,12948,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/aigs/ex257_umul_karatsuba_even_abc_g_aig.aig,exact unsigned low6 * high6 over 4096 inputs; source=karatsuba_even; flow=abc_g_aig
ex257,ex257_umul_karatsuba_even_synth_preset,1,325,37,12025,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/aigs/ex257_umul_karatsuba_even_synth_preset.aig,exact unsigned low6 * high6 over 4096 inputs; source=karatsuba_even; flow=synth_preset
