case,input_width,output_width,onehot_valid,token_order,preference_style,output_transform,row_matches,total_rows,bit_matches,total_bits,exact,onehot_slots,order_bits,first_mismatch
ex286,13,13,1,natural,home_cw,identity,70,8192,59134,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x3:pred=0x60:exp=0xc
ex286,13,13,1,natural,home_cw,reverse,38,8192,58754,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x2:pred=0x80:exp=0x20
ex286,13,13,1,natural,home_cw,rotate_left1,17,8192,57296,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x1:pred=0x80:exp=0x40
ex286,13,13,1,natural,home_cw,rotate_right1,15,8192,57248,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x1:pred=0x20:exp=0x40
ex286,13,13,1,natural,home_ccw,identity,87,8192,58912,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x3:pred=0x60:exp=0xc
ex286,13,13,1,natural,home_ccw,reverse,35,8192,58410,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x2:pred=0x80:exp=0x20
ex286,13,13,1,natural,home_ccw,rotate_left1,26,8192,58538,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x1:pred=0x80:exp=0x40
ex286,13,13,1,natural,home_ccw,rotate_right1,3,8192,57346,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x1:pred=0x20:exp=0x40
ex286,13,13,1,natural,home_bidir,identity,73,8192,58974,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x3:pred=0x60:exp=0xc
ex286,13,13,1,natural,home_bidir,reverse,24,8192,58546,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x2:pred=0x80:exp=0x20
ex286,13,13,1,natural,home_bidir,rotate_left1,22,8192,57314,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x1:pred=0x80:exp=0x40
ex286,13,13,1,natural,home_bidir,rotate_right1,19,8192,57154,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x1:pred=0x20:exp=0x40
ex286,13,13,1,natural,home_bidir_rev,identity,86,8192,58738,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x3:pred=0x60:exp=0xc
ex286,13,13,1,natural,home_bidir_rev,reverse,33,8192,58190,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x2:pred=0x80:exp=0x20
ex286,13,13,1,natural,home_bidir_rev,rotate_left1,21,8192,58150,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x1:pred=0x80:exp=0x40
ex286,13,13,1,natural,home_bidir_rev,rotate_right1,5,8192,57464,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x1:pred=0x20:exp=0x40
ex286,13,13,1,natural,pair_freq,identity,79,8192,58772,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x3:pred=0x60:exp=0xc
ex286,13,13,1,natural,pair_freq,reverse,22,8192,58150,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x2:pred=0x80:exp=0x20
ex286,13,13,1,natural,pair_freq,rotate_left1,14,8192,57802,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x1:pred=0x80:exp=0x40
ex286,13,13,1,natural,pair_freq,rotate_right1,25,8192,56748,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x1:pred=0x20:exp=0x40
