case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex266,ex266_udiv_threshold_desc_abc_g_aig,1,585,41,23985,student/work/ex266_frontend_udiv_threshold_retry_20260609_0902/ex266/aigs/ex266_udiv_threshold_desc_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc; flow=abc_g_aig
ex266,ex266_udiv_threshold_desc_wreduce_abc_g_aig,1,719,42,30198,student/work/ex266_frontend_udiv_threshold_retry_20260609_0902/ex266/aigs/ex266_udiv_threshold_desc_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc; flow=wreduce_abc_g_aig
ex266,ex266_udiv_threshold_desc_synth_preset,1,616,42,25872,student/work/ex266_frontend_udiv_threshold_retry_20260609_0902/ex266/aigs/ex266_udiv_threshold_desc_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc; flow=synth_preset
ex266,ex266_udiv_threshold_desc_synth_preset_d8,1,616,42,25872,student/work/ex266_frontend_udiv_threshold_retry_20260609_0902/ex266/aigs/ex266_udiv_threshold_desc_synth_preset_d8.aig,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc; flow=synth_preset_d8
ex266,ex266_udiv_threshold_desc_synth_preset_d10,1,616,42,25872,student/work/ex266_frontend_udiv_threshold_retry_20260609_0902/ex266/aigs/ex266_udiv_threshold_desc_synth_preset_d10.aig,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc; flow=synth_preset_d10
ex266,ex266_udiv_threshold_desc_guarded_abc_g_aig,1,628,41,25748,student/work/ex266_frontend_udiv_threshold_retry_20260609_0902/ex266/aigs/ex266_udiv_threshold_desc_guarded_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc_guarded; flow=abc_g_aig
ex266,ex266_udiv_threshold_desc_guarded_wreduce_abc_g_aig,1,700,41,28700,student/work/ex266_frontend_udiv_threshold_retry_20260609_0902/ex266/aigs/ex266_udiv_threshold_desc_guarded_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc_guarded; flow=wreduce_abc_g_aig
ex266,ex266_udiv_threshold_desc_guarded_synth_preset,1,610,38,23180,student/work/ex266_frontend_udiv_threshold_retry_20260609_0902/ex266/aigs/ex266_udiv_threshold_desc_guarded_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc_guarded; flow=synth_preset
ex266,ex266_udiv_threshold_desc_guarded_synth_preset_d8,1,610,38,23180,student/work/ex266_frontend_udiv_threshold_retry_20260609_0902/ex266/aigs/ex266_udiv_threshold_desc_guarded_synth_preset_d8.aig,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc_guarded; flow=synth_preset_d8
ex266,ex266_udiv_threshold_desc_guarded_synth_preset_d10,1,610,38,23180,student/work/ex266_frontend_udiv_threshold_retry_20260609_0902/ex266/aigs/ex266_udiv_threshold_desc_guarded_synth_preset_d10.aig,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc_guarded; flow=synth_preset_d10
ex266,ex266_udiv_case_dividend_ranges_abc_g_aig,1,289,14,4046,student/work/ex266_frontend_udiv_threshold_retry_20260609_0902/ex266/aigs/ex266_udiv_case_dividend_ranges_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=case_dividend_ranges; flow=abc_g_aig
ex266,ex266_udiv_case_dividend_ranges_wreduce_abc_g_aig,1,282,14,3948,student/work/ex266_frontend_udiv_threshold_retry_20260609_0902/ex266/aigs/ex266_udiv_case_dividend_ranges_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=case_dividend_ranges; flow=wreduce_abc_g_aig
ex266,ex266_udiv_case_dividend_ranges_synth_preset,1,276,14,3864,student/work/ex266_frontend_udiv_threshold_retry_20260609_0902/ex266/aigs/ex266_udiv_case_dividend_ranges_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=case_dividend_ranges; flow=synth_preset
ex266,ex266_udiv_case_dividend_ranges_synth_preset_d8,1,276,14,3864,student/work/ex266_frontend_udiv_threshold_retry_20260609_0902/ex266/aigs/ex266_udiv_case_dividend_ranges_synth_preset_d8.aig,unsigned low5_high5:a/b dbz=max exact; source=case_dividend_ranges; flow=synth_preset_d8
ex266,ex266_udiv_case_dividend_ranges_synth_preset_d10,1,276,14,3864,student/work/ex266_frontend_udiv_threshold_retry_20260609_0902/ex266/aigs/ex266_udiv_case_dividend_ranges_synth_preset_d10.aig,unsigned low5_high5:a/b dbz=max exact; source=case_dividend_ranges; flow=synth_preset_d10
ex266,ex266_udiv_case_denominator_manual_abc_g_aig,1,246,12,2952,student/work/ex266_frontend_udiv_threshold_retry_20260609_0902/ex266/aigs/ex266_udiv_case_denominator_manual_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=case_denominator_manual; flow=abc_g_aig
