case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex289,ex289_bits_0_1_12_13_case_abc_g_aig,unknown_symmetry_cofactor_selector,bits_0_1_12_13_case_abc_g_aig,student/work/ex289_frontend_symcof_selector_20260609_0828/ex289/verilog/ex289_unknown_symcof_interleave_f00_bits_0_1_12_13_case_group.v,student/work/ex289_frontend_symcof_selector_synthflow_20260609_0831/ex289/aigs/ex289_bits_0_1_12_13_case_abc_g_aig.aig,1,1,1,1428,19,27132,0.840,outer_bits=0:1:12:13; mux=case; flow=abc_g_aig,selector bitset abc_g_aig
ex289,ex289_bits_0_1_12_13_case_abc_g_aig_d18,unknown_symmetry_cofactor_selector,bits_0_1_12_13_case_abc_g_aig_d18,student/work/ex289_frontend_symcof_selector_20260609_0828/ex289/verilog/ex289_unknown_symcof_interleave_f00_bits_0_1_12_13_case_group.v,student/work/ex289_frontend_symcof_selector_synthflow_20260609_0831/ex289/aigs/ex289_bits_0_1_12_13_case_abc_g_aig_d18.aig,1,1,1,1428,19,27132,0.833,outer_bits=0:1:12:13; mux=case; flow=abc_g_aig_d18,selector bitset abc_g_aig_d18
ex289,ex289_bits_0_1_12_13_case_abc_g_aig_d20,unknown_symmetry_cofactor_selector,bits_0_1_12_13_case_abc_g_aig_d20,student/work/ex289_frontend_symcof_selector_20260609_0828/ex289/verilog/ex289_unknown_symcof_interleave_f00_bits_0_1_12_13_case_group.v,student/work/ex289_frontend_symcof_selector_synthflow_20260609_0831/ex289/aigs/ex289_bits_0_1_12_13_case_abc_g_aig_d20.aig,1,1,1,1428,19,27132,0.818,outer_bits=0:1:12:13; mux=case; flow=abc_g_aig_d20,selector bitset abc_g_aig_d20
