case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex275,ex275_isqrt_qm_sop_abc_g_aig,unsigned_floor_isqrt,qm_sop+abc_g_aig,student/work/ex275_frontend_isqrt_qm_sop_20260609_1618/ex275/verilog/ex275_isqrt_qm_sop.v,student/work/ex275_frontend_isqrt_qm_sop_20260609_1618/ex275/aigs/ex275_isqrt_qm_sop_abc_g_aig.aig,1,1,1,52,8,416,204,2.039216,0,0,0.184,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=qm_sop; flow=abc_g_aig
ex275,ex275_isqrt_qm_sop_wreduce_abc_g_aig,unsigned_floor_isqrt,qm_sop+wreduce_abc_g_aig,student/work/ex275_frontend_isqrt_qm_sop_20260609_1618/ex275/verilog/ex275_isqrt_qm_sop.v,student/work/ex275_frontend_isqrt_qm_sop_20260609_1618/ex275/aigs/ex275_isqrt_qm_sop_wreduce_abc_g_aig.aig,1,1,1,52,8,416,204,2.039216,0,0,0.185,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=qm_sop; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_qm_sop_arith_wreduce_aig,unsigned_floor_isqrt,qm_sop+arith_wreduce_aig,student/work/ex275_frontend_isqrt_qm_sop_20260609_1618/ex275/verilog/ex275_isqrt_qm_sop.v,student/work/ex275_frontend_isqrt_qm_sop_20260609_1618/ex275/aigs/ex275_isqrt_qm_sop_arith_wreduce_aig.aig,1,1,1,52,8,416,204,2.039216,0,0,0.179,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=qm_sop; flow=arith_wreduce_aig
ex275,ex275_isqrt_qm_sop_synth_preset,unsigned_floor_isqrt,qm_sop+synth_preset,student/work/ex275_frontend_isqrt_qm_sop_20260609_1618/ex275/verilog/ex275_isqrt_qm_sop.v,student/work/ex275_frontend_isqrt_qm_sop_20260609_1618/ex275/aigs/ex275_isqrt_qm_sop_synth_preset.aig,1,1,1,49,8,392,204,1.921569,0,0,0.234,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=qm_sop; flow=synth_preset
ex275,ex275_isqrt_qm_sop_synth_preset_d6,unsigned_floor_isqrt,qm_sop+synth_preset_d6,student/work/ex275_frontend_isqrt_qm_sop_20260609_1618/ex275/verilog/ex275_isqrt_qm_sop.v,student/work/ex275_frontend_isqrt_qm_sop_20260609_1618/ex275/aigs/ex275_isqrt_qm_sop_synth_preset_d6.aig,1,1,1,49,8,392,204,1.921569,0,0,0.239,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=qm_sop; flow=synth_preset_d6
ex275,ex275_isqrt_qm_sop_synth_preset_d8,unsigned_floor_isqrt,qm_sop+synth_preset_d8,student/work/ex275_frontend_isqrt_qm_sop_20260609_1618/ex275/verilog/ex275_isqrt_qm_sop.v,student/work/ex275_frontend_isqrt_qm_sop_20260609_1618/ex275/aigs/ex275_isqrt_qm_sop_synth_preset_d8.aig,1,1,1,49,8,392,204,1.921569,0,0,0.238,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=qm_sop; flow=synth_preset_d8
ex275,ex275_isqrt_qm_sop_synth_preset_d10,unsigned_floor_isqrt,qm_sop+synth_preset_d10,student/work/ex275_frontend_isqrt_qm_sop_20260609_1618/ex275/verilog/ex275_isqrt_qm_sop.v,student/work/ex275_frontend_isqrt_qm_sop_20260609_1618/ex275/aigs/ex275_isqrt_qm_sop_synth_preset_d10.aig,1,1,1,49,8,392,204,1.921569,0,0,0.239,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=qm_sop; flow=synth_preset_d10
ex275,ex275_isqrt_bdd_outside_abc_g_aig,unsigned_floor_isqrt,bdd_outside+abc_g_aig,student/work/ex275_frontend_isqrt_qm_sop_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_frontend_isqrt_qm_sop_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_abc_g_aig.aig,1,1,1,53,8,424,204,2.078431,0,0,0.196,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=abc_g_aig
ex275,ex275_isqrt_bdd_outside_wreduce_abc_g_aig,unsigned_floor_isqrt,bdd_outside+wreduce_abc_g_aig,student/work/ex275_frontend_isqrt_qm_sop_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_frontend_isqrt_qm_sop_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_wreduce_abc_g_aig.aig,1,1,1,53,8,424,204,2.078431,0,0,0.202,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_bdd_outside_arith_wreduce_aig,unsigned_floor_isqrt,bdd_outside+arith_wreduce_aig,student/work/ex275_frontend_isqrt_qm_sop_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_frontend_isqrt_qm_sop_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_arith_wreduce_aig.aig,1,1,1,53,8,424,204,2.078431,0,0,0.199,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=arith_wreduce_aig
ex275,ex275_isqrt_bdd_outside_synth_preset,unsigned_floor_isqrt,bdd_outside+synth_preset,student/work/ex275_frontend_isqrt_qm_sop_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_frontend_isqrt_qm_sop_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_synth_preset.aig,1,1,1,42,8,336,204,1.647059,0,0,0.261,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=synth_preset
ex275,ex275_isqrt_bdd_outside_synth_preset_d6,unsigned_floor_isqrt,bdd_outside+synth_preset_d6,student/work/ex275_frontend_isqrt_qm_sop_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_frontend_isqrt_qm_sop_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_synth_preset_d6.aig,1,1,1,42,8,336,204,1.647059,0,0,0.264,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=synth_preset_d6
