case,selected_count,best_candidate_id,best_area,best_delay,best_adp,reference_adp,adp_ratio_to_reference,candidate_ids
ex200,5,ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation,3717,17,63189,40052,1.577674,ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation;ex200_bf16_exp_semantic_exp_default_one_casez_saturation;ex200_bf16_exp_semantic_exp_default_one_overrides;ex200_bf16_exp_semantic_exp_default_one_per_exp_mode;ex200_bf16_exp_semantic_exp_default_one_casez_active_first
ex201,4,ex201_bf16_exp2_hilo3_field_mode_bits_3_bh1,1647,14,23058,16300,1.414601,ex201_bf16_exp2_hilo3_field_mode_bits_3_bh1;ex201_bf16_exp2_hilo3_field_mode_bits_3_8_bh1;ex201_bf16_exp2_sep_fields_e3_m3_s0_bits_14_cmp;ex201_bf16_exp2_hilo2_field_mode
ex202,4,ex202_bf16_exp10_sep_fields_e3_m3_s0_bits_14_15_bh4,3478,16,55648,43344,1.283869,ex202_bf16_exp10_sep_fields_e3_m3_s0_bits_14_15_bh4;ex202_bf16_exp10_hilo3_field_mode_formula_bits_14;ex202_bf16_exp10_sep_fields_e3_m3_s0;ex202_bf16_exp10_hilo3_field_mode_bits_14_15_bh4
ex203,4,ex203_bf16_log_sep_fields_e3_m3_s2_bits_14_bh2,4544,17,77248,56948,1.356466,ex203_bf16_log_sep_fields_e3_m3_s2_bits_14_bh2;ex203_bf16_log_sep_fields_e3_m3_s2_bits_14_pla;ex203_bf16_log_sep_fields_e2_m3_s3;ex203_bf16_log_hilo3_word_mode_bits_14_bh3
ex204,5,ex204_bf16_log2_log2_arithbase_delta_hilo3_formula_bits_11_14,1545,17,26265,15180,1.730237,ex204_bf16_log2_log2_arithbase_delta_hilo3_formula_bits_11_14;ex204_bf16_log2_log2_arithbase_delta_hilo3_bits_9_11_14_pla;ex204_bf16_log2_delta_pair_first_hilo3_formula_bits_14;ex204_bf16_log2_delta_pair_first_hilo3_bits_14_bh3;ex204_bf16_log2_log2_arithbase_delta_hilo3_formulaeq_bits_9_11_14
ex205,5,ex205_bf16_log10_sep_fields_e3_m3_s0_bits_15_bh1,4463,17,75871,47128,1.609892,ex205_bf16_log10_sep_fields_e3_m3_s0_bits_15_bh1;ex205_bf16_log10_sep_fields_e3_m3_s0_bits_15_bh2;ex205_bf16_log10_bitplanes_h3;ex205_bf16_log10_hilo3_word_mode;ex205_bf16_log10_legacy_positive_default_exp_mant_case
ex206,5,ex206_bf16_sin_odd_pos_fullword_h4,26872,21,564312,539049,1.046866,ex206_bf16_sin_odd_pos_fullword_h4;ex206_bf16_sin_split_sign_word_mixed_h5_h6special;ex206_bf16_sin_split_sign_sep_fields_e3_m4_s3;ex206_bf16_sin_hilo4_word_mode;ex206_bf16_sin_default_in_excepts_h3
ex207,5,ex207_bf16_tan_odd_pos_fullword_expflip_h4,29873,21,627333,627817,0.999229,ex207_bf16_tan_odd_pos_fullword_expflip_h4;ex207_bf16_tan_split_sign_word_mixed_h5_h6special;ex207_bf16_tan_split_sign_sep_fields_e4_m4_s3;ex207_bf16_tan_delta_pair_first_hilo3;ex207_bf16_tan_default_in_excepts_h3
ex208,5,ex208_bf16_sinh_default_in_const_excepts_h4,2167,15,32505,24505,1.326464,ex208_bf16_sinh_default_in_const_excepts_h4;ex208_bf16_sinh_legacy_split_sign_exp_mant_case;ex208_bf16_sinh_odd_pos_fields_e3_m3;ex208_bf16_sinh_odd_pos_fullword_h4;ex208_bf16_sinh_delta_pair_first_hilo3
ex209,5,ex209_bf16_tanh_sign_exp_default_expr_casez,756,13,9828,7320,1.342623,ex209_bf16_tanh_sign_exp_default_expr_casez;ex209_bf16_tanh_legacy_sign_exp_default_expr_case;ex209_bf16_tanh_delta_pair_first_hilo3;ex209_bf16_tanh_odd_pos_word_h3;ex209_bf16_tanh_odd_pos_fields_e3_m3
ex210,5,ex210_bf16_sigmoid_const_default_3f80_h3,2232,15,33480,27053,1.237571,ex210_bf16_sigmoid_const_default_3f80_h3;ex210_bf16_sigmoid_const_default_0000_h3;ex210_bf16_sigmoid_const_default_3f00_h3_first;ex210_bf16_sigmoid_sep_fields_e3_m3_s0;ex210_bf16_sigmoid_aggr_semantic_field_reassembly
ex211,5,ex211_bf16_reciprocal_hand_recip_formula_signmag_lut,273,11,3003,2136,1.405899,ex211_bf16_reciprocal_hand_recip_formula_signmag_lut;ex211_bf16_reciprocal_aggr_semantic_positive_symmetry_fields;ex211_bf16_reciprocal_hand_recip_formula_mant_lut;ex211_bf16_reciprocal_hand_recip_formula_signmag_add_lut;ex211_bf16_reciprocal_legacy_exp_mant_delta_pair
ex212,5,ex212_bf16_square_delta_pair_mode_hilo4_bits_15_bh1,281,11,3091,2304,1.341580,ex212_bf16_square_delta_pair_mode_hilo4_bits_15_bh1;ex212_bf16_square_delta_pair_mode_hilo4;ex212_bf16_square_delta_pair_first_hilo4;ex212_bf16_square_legacy_exp_mant_delta_pair;ex212_bf16_square_arith_semantic_fields
ex213,5,ex213_bf16_sqrt_sep_fields_e2_m3_s3_bits_1_bh1,346,11,3806,2900,1.312414,ex213_bf16_sqrt_sep_fields_e2_m3_s3_bits_1_bh1;ex213_bf16_sqrt_sep_fields_e3_m3_s3_bits_1_bh1;ex213_bf16_sqrt_sep_fields_e3_m3_s3_bits_14_bh1;ex213_bf16_sqrt_sep_fields_e3_m3_s3;ex213_bf16_sqrt_arith_semantic_fields
