case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,tool_chain,selection_reason,source_kind,source_csv,source_verilog_path,source_aig_path,notes
ex200,ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation,bf16_exp_daz_rne_ftz / bf16_exp_daz_rne_ftz / bf16_exp_daz_rne_ftz / bf16_exp_daz_rne_ftz,semantic_exp_default_one_parallel_casez_saturation,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex200/aigs/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation.aig,1,1,3717,17,63189,40052,1.577674,0,0,run,,current_best,current_best,student/results/current_best_by_case.csv,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex200/aigs/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation.aig,truth table equals DAZ + exp + BF16 RNE + FTZ; semantic default-one parallel casez saturation items=3863; exact over 65536 inputs
ex200,ex200_bf16_exp_semantic_exp_default_one_casez_saturation,bf16_exp_daz_rne_ftz / bf16_exp_daz_rne_ftz,semantic_exp_default_one_casez_saturation,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_casez_saturation.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex200/aigs/ex200_bf16_exp_semantic_exp_default_one_casez_saturation.aig,1,1,3717,17,63189,40052,1.577674,0,0,,,diverse_semantic,seed,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/results/candidates.csv,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_casez_saturation.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex200/aigs/ex200_bf16_exp_semantic_exp_default_one_casez_saturation.aig,truth table equals DAZ + exp + BF16 RNE + FTZ; semantic default-one casez saturation items=3863; exact over 65536 inputs
ex200,ex200_bf16_exp_semantic_exp_default_one_overrides,bf16_exp_daz_rne_ftz / bf16_exp_daz_rne_ftz,semantic_exp_default_one_overrides,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_overrides.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex200/aigs/ex200_bf16_exp_semantic_exp_default_one_overrides.aig,1,1,3725,17,63325,40052,1.581070,0,0,,,top_adp,seed,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/results/candidates.csv,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_overrides.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex200/aigs/ex200_bf16_exp_semantic_exp_default_one_overrides.aig,truth table equals DAZ + exp + BF16 RNE + FTZ; semantic default-one override cases=4085; exact over 65536 inputs
ex200,ex200_bf16_exp_semantic_exp_default_one_per_exp_mode,bf16_exp_daz_rne_ftz / bf16_exp_daz_rne_ftz,semantic_exp_default_one_per_exp_mode,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_per_exp_mode.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex200/aigs/ex200_bf16_exp_semantic_exp_default_one_per_exp_mode.aig,1,1,3726,17,63342,40052,1.581494,0,0,,,top_adp,seed,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/results/candidates.csv,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_per_exp_mode.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex200/aigs/ex200_bf16_exp_semantic_exp_default_one_per_exp_mode.aig,truth table equals DAZ + exp + BF16 RNE + FTZ; semantic default-one per-exp mode exceptions items=3210; exact over 65536 inputs
ex200,ex200_bf16_exp_semantic_exp_default_one_casez_active_first,bf16_exp_daz_rne_ftz / bf16_exp_daz_rne_ftz,semantic_exp_default_one_casez_active_first,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_casez_active_first.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex200/aigs/ex200_bf16_exp_semantic_exp_default_one_casez_active_first.aig,1,1,3728,17,63376,40052,1.582343,0,0,,,top_adp,seed,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/results/candidates.csv,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_casez_active_first.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex200/aigs/ex200_bf16_exp_semantic_exp_default_one_casez_active_first.aig,truth table equals DAZ + exp + BF16 RNE + FTZ; semantic default-one casez active-first items=3863; exact over 65536 inputs
ex201,ex201_bf16_exp2_hilo3_field_mode_bits_3_bh1,bf16_exp2 / DAZ + 2^x + BF16 RNE + FTZ + canonical NaN / bf16_exp2 / DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hilo3_field_mode_bits_3_bh1,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex201/verilog/ex201_bf16_exp2_hilo3_field_mode_bits_3_bh1.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex201/aigs/ex201_bf16_exp2_hilo3_field_mode_bits_3_bh1.aig,1,1,1647,14,23058,16300,1.414601,1,0,run,,current_best,current_best,student/results/current_best_by_case.csv,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex201/verilog/ex201_bf16_exp2_hilo3_field_mode_bits_3_bh1.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex201/aigs/ex201_bf16_exp2_hilo3_field_mode_bits_3_bh1.aig,hilo3 field mode base with bit overrides bits=3 bit_hi_bits=1 items=3626
ex201,ex201_bf16_exp2_hilo3_field_mode_bits_3_8_bh1,bf16_exp2 / DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hilo3_field_mode_bits_3_8_bh1,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex201/verilog/ex201_bf16_exp2_hilo3_field_mode_bits_3_8_bh1.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex201/aigs/ex201_bf16_exp2_hilo3_field_mode_bits_3_8_bh1.aig,1,1,1655,14,23170,16300,1.421472,1,0,,,diverse_field,seed,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/results/candidates.csv,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex201/verilog/ex201_bf16_exp2_hilo3_field_mode_bits_3_8_bh1.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex201/aigs/ex201_bf16_exp2_hilo3_field_mode_bits_3_8_bh1.aig,hilo3 field mode base with bit overrides bits=3_8 bit_hi_bits=1 items=4305
ex201,ex201_bf16_exp2_sep_fields_e3_m3_s0_bits_14_cmp,bf16_exp2 / DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,sep_fields_e3_m3_s0_bits_14_cmp,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex201/verilog/ex201_bf16_exp2_sep_fields_e3_m3_s0_bits_14_cmp.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex201/aigs/ex201_bf16_exp2_sep_fields_e3_m3_s0_bits_14_cmp.aig,1,1,1620,15,24300,16300,1.490798,1,0,,,top_adp,seed,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/results/candidates.csv,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex201/verilog/ex201_bf16_exp2_sep_fields_e3_m3_s0_bits_14_cmp.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex201/aigs/ex201_bf16_exp2_sep_fields_e3_m3_s0_bits_14_cmp.aig,separate fields exp_hi=3 mant_hi=3 sign_hi=0 items=3122; sep bit overrides bits=14 bit_hi_bits=cmp bit_items=4
ex201,ex201_bf16_exp2_hilo2_field_mode,bf16_exp2 / DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hilo2_field_mode,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex201/verilog/ex201_bf16_exp2_hilo2_field_mode.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex201/aigs/ex201_bf16_exp2_hilo2_field_mode.aig,1,1,1629,15,24435,16300,1.499080,1,0,,,top_adp,seed,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/results/candidates.csv,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex201/verilog/ex201_bf16_exp2_hilo2_field_mode.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex201/aigs/ex201_bf16_exp2_hilo2_field_mode.aig,hi_lo split field_mode=True hi_bits=2 default_mode=default_override items=2769
ex202,ex202_bf16_exp10_sep_fields_e3_m3_s0_bits_14_15_bh4,bf16_exp10 / DAZ + 10^x + BF16 RNE + FTZ + canonical NaN / bf16_exp10 / DAZ + 10^x + BF16 RNE + FTZ + canonical NaN,sep_fields_e3_m3_s0_bits_14_15_bh4,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex202/verilog/ex202_bf16_exp10_sep_fields_e3_m3_s0_bits_14_15_bh4.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex202/aigs/ex202_bf16_exp10_sep_fields_e3_m3_s0_bits_14_15_bh4.aig,1,1,3478,16,55648,43344,1.283869,1,0,run,,current_best,current_best,student/results/current_best_by_case.csv,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex202/verilog/ex202_bf16_exp10_sep_fields_e3_m3_s0_bits_14_15_bh4.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex202/aigs/ex202_bf16_exp10_sep_fields_e3_m3_s0_bits_14_15_bh4.aig,separate fields exp_hi=3 mant_hi=3 sign_hi=0 items=3402; sep bit overrides bits=14_15 bit_hi_bits=4 bit_items=37
ex202,ex202_bf16_exp10_hilo3_field_mode_formula_bits_14,bf16_exp10 / DAZ + 10^x + BF16 RNE + FTZ + canonical NaN,hilo3_field_mode_formula_bits_14,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex202/verilog/ex202_bf16_exp10_hilo3_field_mode_formula_bits_14.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex202/aigs/ex202_bf16_exp10_hilo3_field_mode_formula_bits_14.aig,1,1,3488,16,55808,43344,1.287560,1,0,,,diverse_field,seed,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/results/candidates.csv,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex202/verilog/ex202_bf16_exp10_hilo3_field_mode_formula_bits_14.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex202/aigs/ex202_bf16_exp10_hilo3_field_mode_formula_bits_14.aig,hi_lo split field_mode=True hi_bits=3 default_mode=default_override items=2592; formula bit overrides bits=14 bit_items=1
ex202,ex202_bf16_exp10_sep_fields_e3_m3_s0,bf16_exp10 / DAZ + 10^x + BF16 RNE + FTZ + canonical NaN,sep_fields_e3_m3_s0,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex202/verilog/ex202_bf16_exp10_sep_fields_e3_m3_s0.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex202/aigs/ex202_bf16_exp10_sep_fields_e3_m3_s0.aig,1,1,3491,16,55856,43344,1.288667,1,0,,,top_adp,seed,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/results/candidates.csv,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex202/verilog/ex202_bf16_exp10_sep_fields_e3_m3_s0.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex202/aigs/ex202_bf16_exp10_sep_fields_e3_m3_s0.aig,separate fields exp_hi=3 mant_hi=3 sign_hi=0 items=3402
ex202,ex202_bf16_exp10_hilo3_field_mode_bits_14_15_bh4,bf16_exp10 / DAZ + 10^x + BF16 RNE + FTZ + canonical NaN,hilo3_field_mode_bits_14_15_bh4,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex202/verilog/ex202_bf16_exp10_hilo3_field_mode_bits_14_15_bh4.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex202/aigs/ex202_bf16_exp10_hilo3_field_mode_bits_14_15_bh4.aig,1,1,3493,16,55888,43344,1.289406,1,0,,,top_adp,seed,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/results/candidates.csv,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex202/verilog/ex202_bf16_exp10_hilo3_field_mode_bits_14_15_bh4.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex202/aigs/ex202_bf16_exp10_hilo3_field_mode_bits_14_15_bh4.aig,hilo3 field mode base with bit overrides bits=14_15 bit_hi_bits=4 items=2629
