case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_baugh_wooley_column_min_sop_abc_g_aig,signed low4_high4:a*b,baugh_wooley_column_min_sop+abc_g_aig,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex260/verilog/ex260_smul_baugh_wooley_column_min_sop.v,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex260/aigs/ex260_smul_baugh_wooley_column_min_sop_abc_g_aig.aig,1,1,1,103,19,1957,657,2.978691,0,0,0.235,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_column_min_sop; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_column_min_sop_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_column_min_sop+wreduce_abc_g_aig,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex260/verilog/ex260_smul_baugh_wooley_column_min_sop.v,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex260/aigs/ex260_smul_baugh_wooley_column_min_sop_wreduce_abc_g_aig.aig,1,1,1,103,19,1957,657,2.978691,0,0,0.237,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_column_min_sop; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_column_min_sop_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_column_min_sop+synth_preset_d13,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex260/verilog/ex260_smul_baugh_wooley_column_min_sop.v,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex260/aigs/ex260_smul_baugh_wooley_column_min_sop_synth_preset_d13.aig,1,1,1,102,20,2040,657,3.105023,0,0,0.317,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_column_min_sop; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_column_arith_abc_g_aig,signed low4_high4:a*b,baugh_wooley_column_arith+abc_g_aig,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex260/verilog/ex260_smul_baugh_wooley_column_arith.v,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex260/aigs/ex260_smul_baugh_wooley_column_arith_abc_g_aig.aig,1,1,1,80,31,2480,657,3.774734,0,0,0.234,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_column_arith; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_column_arith_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_column_arith+wreduce_abc_g_aig,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex260/verilog/ex260_smul_baugh_wooley_column_arith.v,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex260/aigs/ex260_smul_baugh_wooley_column_arith_wreduce_abc_g_aig.aig,1,1,1,80,31,2480,657,3.774734,0,0,0.239,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_column_arith; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_column_arith_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_column_arith+synth_preset_d13,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex260/verilog/ex260_smul_baugh_wooley_column_arith.v,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex260/aigs/ex260_smul_baugh_wooley_column_arith_synth_preset_d13.aig,1,1,1,79,27,2133,657,3.246575,0,0,0.280,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_column_arith; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+abc_g_aig,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,1,1,1,92,13,1196,657,1.820396,0,0,0.217,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+wreduce_abc_g_aig,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.246,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+synth_preset_d13,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d13.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.273,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_pfx4_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_pfx4+abc_g_aig,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx4.v,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx4_abc_g_aig.aig,1,1,1,90,14,1260,657,1.917808,0,0,0.215,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_pfx4_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_pfx4+wreduce_abc_g_aig,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx4.v,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx4_wreduce_abc_g_aig.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.225,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx4; flow=wreduce_abc_g_aig
