case,candidate_id,equivalent,area,delay,adp,notes
ex287,ex287_unknown_symcof_bits_6_7_5_8_4_9_3_10_2_11_1_12_0_13_f00_k4_onehot_group,1,12453,21,261513,unknown symmetry cofactor class-onehot Verilog seed
ex287,ex287_unknown_symcof_bits_6_7_5_8_4_9_3_10_2_11_1_12_0_13_f00_k4_case_group,1,12394,21,260274,unknown symmetry cofactor class-onehot Verilog seed
ex287,ex287_unknown_symcof_bits_6_7_5_8_4_9_3_10_2_11_1_12_0_13_f00_k5_onehot_group,1,12155,20,243100,unknown symmetry cofactor class-onehot Verilog seed
ex287,ex287_unknown_symcof_bits_6_7_5_8_4_9_3_10_2_11_1_12_0_13_f00_k5_case_group,1,12315,21,258615,unknown symmetry cofactor class-onehot Verilog seed
ex287,ex287_unknown_symcof_bits_6_7_5_8_4_9_3_10_2_11_1_12_0_13_f00_k6_onehot_group,1,12218,20,244360,unknown symmetry cofactor class-onehot Verilog seed
ex287,ex287_unknown_symcof_bits_6_7_5_8_4_9_3_10_2_11_1_12_0_13_f00_k6_case_group,1,12144,20,242880,unknown symmetry cofactor class-onehot Verilog seed
ex287,ex287_unknown_symcof_bits_6_7_5_8_4_9_3_10_2_11_1_12_0_13_f10_k4_onehot_group,1,12624,22,277728,unknown symmetry cofactor class-onehot Verilog seed
ex287,ex287_unknown_symcof_bits_6_7_5_8_4_9_3_10_2_11_1_12_0_13_f10_k4_case_group,1,12561,22,276342,unknown symmetry cofactor class-onehot Verilog seed
ex287,ex287_unknown_symcof_bits_6_7_5_8_4_9_3_10_2_11_1_12_0_13_f10_k5_onehot_group,1,12300,20,246000,unknown symmetry cofactor class-onehot Verilog seed
ex287,ex287_unknown_symcof_bits_6_7_5_8_4_9_3_10_2_11_1_12_0_13_f10_k5_case_group,1,12280,21,257880,unknown symmetry cofactor class-onehot Verilog seed
ex287,ex287_unknown_symcof_bits_6_7_5_8_4_9_3_10_2_11_1_12_0_13_f10_k6_onehot_group,1,12193,20,243860,unknown symmetry cofactor class-onehot Verilog seed
ex287,ex287_unknown_symcof_bits_6_7_5_8_4_9_3_10_2_11_1_12_0_13_f10_k6_case_group,1,12142,20,242840,unknown symmetry cofactor class-onehot Verilog seed
