case,candidate_id,verified_truth,synthesized,equivalent,area,delay,adp,verilog_exists,aig_exists,notes
ex280,ex280_unknown_key_cofactor_bdd_prefix_parity_reduce_top2,1,1,1,827,30,24810,1,1,unknown transformed-key cofactor-BDD Verilog seed
ex280,ex280_unknown_key_cofactor_bdd_prefix_parity_reduce_top3,1,1,1,755,29,21895,1,1,unknown transformed-key cofactor-BDD Verilog seed
ex281,ex281_unknown_key_cofactor_bdd_prefix_parity_reduce_top2,1,1,1,985,30,29550,1,1,unknown transformed-key cofactor-BDD Verilog seed
ex281,ex281_unknown_key_cofactor_bdd_prefix_parity_reduce_top3,1,1,1,869,37,32153,1,1,unknown transformed-key cofactor-BDD Verilog seed
ex282,ex282_unknown_key_cofactor_bdd_prefix_parity_reduce_top2,1,1,1,1201,34,40834,1,1,unknown transformed-key cofactor-BDD Verilog seed
ex282,ex282_unknown_key_cofactor_bdd_prefix_parity_reduce_top3,1,1,1,1081,33,35673,1,1,unknown transformed-key cofactor-BDD Verilog seed
ex283,ex283_unknown_key_cofactor_bdd_prefix_parity_reduce_top2,1,1,1,1346,36,48456,1,1,unknown transformed-key cofactor-BDD Verilog seed
ex283,ex283_unknown_key_cofactor_bdd_prefix_parity_reduce_top3,1,1,1,1169,38,44422,1,1,unknown transformed-key cofactor-BDD Verilog seed
ex284,ex284_unknown_key_cofactor_bdd_prefix_parity_reduce_top2,1,1,1,1551,40,62040,1,1,unknown transformed-key cofactor-BDD Verilog seed
ex284,ex284_unknown_key_cofactor_bdd_prefix_parity_reduce_top3,1,1,1,1385,38,52630,1,1,unknown transformed-key cofactor-BDD Verilog seed
