case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex268,ex268_udiv_denom_lz_range_smallcase_abc_g_aig,unsigned low7_high7:a/b dbz=max,denom_lz_range_smallcase+abc_g_aig,student/work/ex268_ex269_frontend_udiv_lz_smallcase_20260609_0925/ex268/verilog/ex268_udiv_denom_lz_range_smallcase.v,student/work/ex268_ex269_frontend_udiv_lz_smallcase_20260609_0925/ex268/aigs/ex268_udiv_denom_lz_range_smallcase_abc_g_aig.aig,1,1,1,408,58,23664,7446,3.178082,0,0,0.813,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=denom_lz_range_smallcase; flow=abc_g_aig
ex268,ex268_udiv_denom_lz_range_smallcase_wreduce_abc_g_aig,unsigned low7_high7:a/b dbz=max,denom_lz_range_smallcase+wreduce_abc_g_aig,student/work/ex268_ex269_frontend_udiv_lz_smallcase_20260609_0925/ex268/verilog/ex268_udiv_denom_lz_range_smallcase.v,student/work/ex268_ex269_frontend_udiv_lz_smallcase_20260609_0925/ex268/aigs/ex268_udiv_denom_lz_range_smallcase_wreduce_abc_g_aig.aig,1,1,1,408,58,23664,7446,3.178082,0,0,0.835,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=denom_lz_range_smallcase; flow=wreduce_abc_g_aig
ex268,ex268_udiv_denom_lz_range_smallcase_synth_preset,unsigned low7_high7:a/b dbz=max,denom_lz_range_smallcase+synth_preset,student/work/ex268_ex269_frontend_udiv_lz_smallcase_20260609_0925/ex268/verilog/ex268_udiv_denom_lz_range_smallcase.v,student/work/ex268_ex269_frontend_udiv_lz_smallcase_20260609_0925/ex268/aigs/ex268_udiv_denom_lz_range_smallcase_synth_preset.aig,1,1,1,403,58,23374,7446,3.139135,0,0,0.614,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=denom_lz_range_smallcase; flow=synth_preset
ex268,ex268_udiv_denom_lz_range_smallcase_synth_preset_d18,unsigned low7_high7:a/b dbz=max,denom_lz_range_smallcase+synth_preset_d18,student/work/ex268_ex269_frontend_udiv_lz_smallcase_20260609_0925/ex268/verilog/ex268_udiv_denom_lz_range_smallcase.v,student/work/ex268_ex269_frontend_udiv_lz_smallcase_20260609_0925/ex268/aigs/ex268_udiv_denom_lz_range_smallcase_synth_preset_d18.aig,1,1,1,403,58,23374,7446,3.139135,0,0,0.618,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=denom_lz_range_smallcase; flow=synth_preset_d18
ex268,ex268_udiv_denom_lz_range_smallcase_synth_preset_d24,unsigned low7_high7:a/b dbz=max,denom_lz_range_smallcase+synth_preset_d24,student/work/ex268_ex269_frontend_udiv_lz_smallcase_20260609_0925/ex268/verilog/ex268_udiv_denom_lz_range_smallcase.v,student/work/ex268_ex269_frontend_udiv_lz_smallcase_20260609_0925/ex268/aigs/ex268_udiv_denom_lz_range_smallcase_synth_preset_d24.aig,1,1,1,403,58,23374,7446,3.139135,0,0,0.616,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=denom_lz_range_smallcase; flow=synth_preset_d24
ex269,ex269_udiv_denom_lz_range_smallcase_abc_g_aig,unsigned low8_high8:a/b dbz=max,denom_lz_range_smallcase+abc_g_aig,student/work/ex268_ex269_frontend_udiv_lz_smallcase_20260609_0925/ex269/verilog/ex269_udiv_denom_lz_range_smallcase.v,student/work/ex268_ex269_frontend_udiv_lz_smallcase_20260609_0925/ex269/aigs/ex269_udiv_denom_lz_range_smallcase_abc_g_aig.aig,1,1,1,836,75,62700,11760,5.331633,0,0,1.965,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=denom_lz_range_smallcase; flow=abc_g_aig
ex269,ex269_udiv_denom_lz_range_smallcase_wreduce_abc_g_aig,unsigned low8_high8:a/b dbz=max,denom_lz_range_smallcase+wreduce_abc_g_aig,student/work/ex268_ex269_frontend_udiv_lz_smallcase_20260609_0925/ex269/verilog/ex269_udiv_denom_lz_range_smallcase.v,student/work/ex268_ex269_frontend_udiv_lz_smallcase_20260609_0925/ex269/aigs/ex269_udiv_denom_lz_range_smallcase_wreduce_abc_g_aig.aig,1,1,1,836,75,62700,11760,5.331633,0,0,1.946,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=denom_lz_range_smallcase; flow=wreduce_abc_g_aig
ex269,ex269_udiv_denom_lz_range_smallcase_synth_preset,unsigned low8_high8:a/b dbz=max,denom_lz_range_smallcase+synth_preset,student/work/ex268_ex269_frontend_udiv_lz_smallcase_20260609_0925/ex269/verilog/ex269_udiv_denom_lz_range_smallcase.v,student/work/ex268_ex269_frontend_udiv_lz_smallcase_20260609_0925/ex269/aigs/ex269_udiv_denom_lz_range_smallcase_synth_preset.aig,1,1,1,516,74,38184,11760,3.246939,0,0,0.854,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=denom_lz_range_smallcase; flow=synth_preset
ex269,ex269_udiv_denom_lz_range_smallcase_synth_preset_d18,unsigned low8_high8:a/b dbz=max,denom_lz_range_smallcase+synth_preset_d18,student/work/ex268_ex269_frontend_udiv_lz_smallcase_20260609_0925/ex269/verilog/ex269_udiv_denom_lz_range_smallcase.v,student/work/ex268_ex269_frontend_udiv_lz_smallcase_20260609_0925/ex269/aigs/ex269_udiv_denom_lz_range_smallcase_synth_preset_d18.aig,1,1,1,516,74,38184,11760,3.246939,0,0,0.869,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=denom_lz_range_smallcase; flow=synth_preset_d18
ex269,ex269_udiv_denom_lz_range_smallcase_synth_preset_d24,unsigned low8_high8:a/b dbz=max,denom_lz_range_smallcase+synth_preset_d24,student/work/ex268_ex269_frontend_udiv_lz_smallcase_20260609_0925/ex269/verilog/ex269_udiv_denom_lz_range_smallcase.v,student/work/ex268_ex269_frontend_udiv_lz_smallcase_20260609_0925/ex269/aigs/ex269_udiv_denom_lz_range_smallcase_synth_preset_d24.aig,1,1,1,516,74,38184,11760,3.246939,0,0,0.855,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=denom_lz_range_smallcase; flow=synth_preset_d24
