case,best_area,best_delay,best_adp,reference_adp,ratio_to_reference,within_1p5_reference,beats_reference,candidate_id,notes
ex268,403,58,23374,7446,3.139135,0,0,ex268_udiv_denom_lz_range_smallcase_synth_preset,unsigned low7_high7:a/b dbz=max exact; source=denom_lz_range_smallcase; flow=synth_preset
ex269,516,74,38184,11760,3.246939,0,0,ex269_udiv_denom_lz_range_smallcase_synth_preset,unsigned low8_high8:a/b dbz=max exact; source=denom_lz_range_smallcase; flow=synth_preset
