case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex265,ex265_udiv_bdd_b_msb_abc_g_aig,unsigned low4_high4:a/b dbz=max,bdd_b_msb+abc_g_aig,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/verilog/ex265_udiv_bdd_b_msb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_b_msb_abc_g_aig.aig,1,1,1,66,8,528,322,1.639752,0,0,0.204,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_msb; flow=abc_g_aig
ex265,ex265_udiv_bdd_b_msb_synth_preset,unsigned low4_high4:a/b dbz=max,bdd_b_msb+synth_preset,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/verilog/ex265_udiv_bdd_b_msb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_b_msb_synth_preset.aig,1,1,1,75,10,750,322,2.329193,0,0,0.260,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_msb; flow=synth_preset
ex265,ex265_udiv_bdd_b_msb_abc_g_aig_d18,unsigned low4_high4:a/b dbz=max,bdd_b_msb+abc_g_aig_d18,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/verilog/ex265_udiv_bdd_b_msb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_b_msb_abc_g_aig_d18.aig,1,1,1,66,8,528,322,1.639752,0,0,0.197,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_msb; flow=abc_g_aig_d18
ex265,ex265_udiv_bdd_b_msb_abc_g_aig_d24,unsigned low4_high4:a/b dbz=max,bdd_b_msb+abc_g_aig_d24,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/verilog/ex265_udiv_bdd_b_msb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_b_msb_abc_g_aig_d24.aig,1,1,1,66,8,528,322,1.639752,0,0,0.209,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_msb; flow=abc_g_aig_d24
ex265,ex265_udiv_bdd_b_msb_a_lsb_abc_g_aig,unsigned low4_high4:a/b dbz=max,bdd_b_msb_a_lsb+abc_g_aig,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/verilog/ex265_udiv_bdd_b_msb_a_lsb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_b_msb_a_lsb_abc_g_aig.aig,1,1,1,63,10,630,322,1.956522,0,0,0.200,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_msb_a_lsb; flow=abc_g_aig
ex265,ex265_udiv_bdd_b_msb_a_lsb_synth_preset,unsigned low4_high4:a/b dbz=max,bdd_b_msb_a_lsb+synth_preset,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/verilog/ex265_udiv_bdd_b_msb_a_lsb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_b_msb_a_lsb_synth_preset.aig,1,1,1,63,9,567,322,1.760870,0,0,0.241,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_msb_a_lsb; flow=synth_preset
ex265,ex265_udiv_bdd_b_msb_a_lsb_abc_g_aig_d18,unsigned low4_high4:a/b dbz=max,bdd_b_msb_a_lsb+abc_g_aig_d18,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/verilog/ex265_udiv_bdd_b_msb_a_lsb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_b_msb_a_lsb_abc_g_aig_d18.aig,1,1,1,63,10,630,322,1.956522,0,0,0.204,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_msb_a_lsb; flow=abc_g_aig_d18
ex265,ex265_udiv_bdd_b_msb_a_lsb_abc_g_aig_d24,unsigned low4_high4:a/b dbz=max,bdd_b_msb_a_lsb+abc_g_aig_d24,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/verilog/ex265_udiv_bdd_b_msb_a_lsb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_b_msb_a_lsb_abc_g_aig_d24.aig,1,1,1,63,10,630,322,1.956522,0,0,0.199,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_msb_a_lsb; flow=abc_g_aig_d24
ex265,ex265_udiv_bdd_interleave_msb_abc_g_aig,unsigned low4_high4:a/b dbz=max,bdd_interleave_msb+abc_g_aig,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/verilog/ex265_udiv_bdd_interleave_msb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_interleave_msb_abc_g_aig.aig,1,1,1,68,10,680,322,2.111801,0,0,0.201,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_interleave_msb; flow=abc_g_aig
ex265,ex265_udiv_bdd_interleave_msb_synth_preset,unsigned low4_high4:a/b dbz=max,bdd_interleave_msb+synth_preset,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/verilog/ex265_udiv_bdd_interleave_msb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_interleave_msb_synth_preset.aig,1,1,1,62,10,620,322,1.925466,0,0,0.273,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_interleave_msb; flow=synth_preset
ex265,ex265_udiv_bdd_interleave_msb_abc_g_aig_d18,unsigned low4_high4:a/b dbz=max,bdd_interleave_msb+abc_g_aig_d18,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/verilog/ex265_udiv_bdd_interleave_msb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_interleave_msb_abc_g_aig_d18.aig,1,1,1,68,10,680,322,2.111801,0,0,0.197,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_interleave_msb; flow=abc_g_aig_d18
