case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,notes
ex265,ex265_udiv_bdd_b_msb_abc_g_aig,unsigned low4_high4:a/b dbz=max,bdd_b_msb+abc_g_aig,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/verilog/ex265_udiv_bdd_b_msb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_b_msb_abc_g_aig.aig,66,8,528,322,1.639752,0,0,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_msb; flow=abc_g_aig
ex266,ex266_udiv_bdd_interleave_msb_synth_preset,unsigned low5_high5:a/b dbz=max,bdd_interleave_msb+synth_preset,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/verilog/ex266_udiv_bdd_interleave_msb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_interleave_msb_synth_preset.aig,152,12,1824,848,2.150943,0,0,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_msb; flow=synth_preset
ex267,ex267_udiv_bdd_interleave_msb_synth_preset,unsigned low6_high6:a/b dbz=max,bdd_interleave_msb+synth_preset,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex267/verilog/ex267_udiv_bdd_interleave_msb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex267/aigs/ex267_udiv_bdd_interleave_msb_synth_preset.aig,333,16,5328,2651,2.009808,0,0,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_interleave_msb; flow=synth_preset
ex268,ex268_udiv_bdd_interleave_msb_synth_preset,unsigned low7_high7:a/b dbz=max,bdd_interleave_msb+synth_preset,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex268/verilog/ex268_udiv_bdd_interleave_msb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex268/aigs/ex268_udiv_bdd_interleave_msb_synth_preset.aig,747,20,14940,7446,2.006446,0,0,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=bdd_interleave_msb; flow=synth_preset
ex269,ex269_udiv_bdd_interleave_msb_synth_preset,unsigned low8_high8:a/b dbz=max,bdd_interleave_msb+synth_preset,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex269/verilog/ex269_udiv_bdd_interleave_msb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex269/aigs/ex269_udiv_bdd_interleave_msb_synth_preset.aig,1679,22,36938,11760,3.140986,0,0,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=bdd_interleave_msb; flow=synth_preset
