case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex265,ex265_udiv_bdd_interleave_a_first_msb_abc_g_aig_d24,1,70,10,700,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_interleave_a_first_msb_abc_g_aig_d24.aig,unsigned low4_high4:a/b dbz=max exact; source=bdd_interleave_a_first_msb; flow=abc_g_aig_d24
ex265,ex265_udiv_bdd_b_lsb_a_msb_abc_g_aig,1,82,11,902,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_b_lsb_a_msb_abc_g_aig.aig,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_lsb_a_msb; flow=abc_g_aig
ex265,ex265_udiv_bdd_b_lsb_a_msb_synth_preset,1,82,11,902,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_b_lsb_a_msb_synth_preset.aig,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_lsb_a_msb; flow=synth_preset
ex265,ex265_udiv_bdd_b_lsb_a_msb_abc_g_aig_d18,1,82,11,902,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_b_lsb_a_msb_abc_g_aig_d18.aig,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_lsb_a_msb; flow=abc_g_aig_d18
ex265,ex265_udiv_bdd_b_lsb_a_msb_abc_g_aig_d24,1,82,11,902,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_b_lsb_a_msb_abc_g_aig_d24.aig,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_lsb_a_msb; flow=abc_g_aig_d24
ex266,ex266_udiv_bdd_b_msb_abc_g_aig,1,172,13,2236,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_b_msb_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_b_msb; flow=abc_g_aig
ex266,ex266_udiv_bdd_b_msb_synth_preset,1,164,13,2132,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_b_msb_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_b_msb; flow=synth_preset
ex266,ex266_udiv_bdd_b_msb_abc_g_aig_d18,1,172,13,2236,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_b_msb_abc_g_aig_d18.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_b_msb; flow=abc_g_aig_d18
ex266,ex266_udiv_bdd_b_msb_abc_g_aig_d24,1,172,13,2236,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_b_msb_abc_g_aig_d24.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_b_msb; flow=abc_g_aig_d24
ex266,ex266_udiv_bdd_b_msb_a_lsb_abc_g_aig,1,171,14,2394,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_b_msb_a_lsb_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_b_msb_a_lsb; flow=abc_g_aig
