case,best_area,best_delay,best_adp,reference_adp,ratio_to_reference,within_1p5_reference,beats_reference,candidate_id,notes
ex265,66,8,528,322,1.639752,0,0,ex265_udiv_bdd_b_msb_abc_g_aig,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_msb; flow=abc_g_aig
ex266,152,12,1824,848,2.150943,0,0,ex266_udiv_bdd_interleave_msb_synth_preset,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_msb; flow=synth_preset
ex267,333,16,5328,2651,2.009808,0,0,ex267_udiv_bdd_interleave_msb_synth_preset,unsigned low6_high6:a/b dbz=max exact; source=bdd_interleave_msb; flow=synth_preset
ex268,747,20,14940,7446,2.006446,0,0,ex268_udiv_bdd_interleave_msb_synth_preset,unsigned low7_high7:a/b dbz=max exact; source=bdd_interleave_msb; flow=synth_preset
ex269,1679,22,36938,11760,3.140986,0,0,ex269_udiv_bdd_interleave_msb_synth_preset,unsigned low8_high8:a/b dbz=max exact; source=bdd_interleave_msb; flow=synth_preset
